C79-A_1	C79-A_2	C79-A_3	C79-B_1	C79-B_2	C79-B_3	C79-C-T1_1	C79-C-T1_2	C79-C-T1_3	C79-D_1	C79-D_2	C79-D_3	C79-E_1	C79-E_2	C79-E_3	C79-F_1	C79-F_2	C79-F_3	C79-G_1	C79-G_2	C79-G_3	C79-H_1	C79-H_2	C79-H_3	C79-I_1	C79-I_2	C79-I_3	C79-J_1	C79-J_2	C79-J_3	C79-K_1	C79-K_2	C79-K_3	C79-L_1	C79-L_2	C79-L_3	C79-M_1	C79-M_2	C79-M_3	C79-N_1	C79-N_2	C79-N_3	C79-O_1	C79-O_2	C79-O_3
0	0	0	62	0	0	53	0	0	67	115	52	0	0	0	68	67	0	99	72	84	62	0	57	0	109	77	0	0	57	0	0	119	196	188	180	184	0	197	108	154	147	153	150	0
53	58	89	120	143	102	75	65	0	130	179	84	74	0	0	110	90	73	162	128	153	120	136	97	139	211	145	60	127	90	0	0	203	302	329	294	304	454	368	196	305	285	276	255	233
110	113	167	184	256	163	139	114	66	176	279	150	106	87	58	174	160	121	267	218	248	191	274	171	242	357	225	89	198	154	0	51	328	499	563	507	469	700	590	307	425	407	472	482	415
189	171	264	314	376	263	229	205	109	315	443	250	155	132	102	267	250	196	387	315	353	296	391	232	385	594	408	155	360	280	63	80	517	666	779	718	605	847	729	370	489	500	697	757	637
206	218	288	371	392	286	297	243	134	385	504	324	186	154	120	316	277	221	378	368	331	313	404	234	466	692	472	207	479	350	81	91	647	645	805	695	523	696	649	329	358	391	730	813	647
203	183	271	361	349	272	304	250	135	395	500	274	172	131	132	300	269	222	291	304	267	262	320	189	452	681	480	213	462	354	79	91	670	461	594	530	213	321	320	132	133	195	606	694	572
104	124	171	281	262	208	222	179	109	288	392	212	135	96	98	240	187	161	176	209	146	154	189	117	350	515	361	172	372	291	62	69	495	286	350	319	120	117	143	73	56	92	316	370	281
0	58	79	124	139	98	77	82	0	125	175	87	51	0	0	104	93	76	111	109	96	85	83	57	133	199	149	75	120	112	0	0	213	142	165	165	56	0	58	0	0	0	179	176	146
