C79-A_3	C79-B_2	C79-B_3	C79-C-T1_1	C79-C-T1_2	C79-C-T1_3	C79-D_3	C79-E_1	C79-E_2	C79-E_3	C79-F_1	C79-F_2	C79-F_3	C79-G_1	C79-G_3	C79-H_2	C79-H_3	C79-I_1	C79-I_2	C79-I_3	C79-J_1	C79-J_2	C79-J_3	C79-K_1	C79-K_2	C79-K_3	C79-L_1	C79-L_2	C79-L_3	C79-M_3	C79-N_3	C79-O_1	C79-O_2	C79-O_3
1077	2547	1850	4421	2678	1747	695	2254	2315	1339	4235	2944	1677	1842	1364	2007	2038	4193	3692	2834	2340	325	1047	1863	1576	1975	1654	4676	4919	0	112	3483	2393	2386
2169	4861	4549	8888	5521	3906	1494	4768	4896	2821	8167	5184	3325	3125	2308	4947	3810	9058	7480	6439	4356	628	2273	3689	3882	4645	3189	9315	8978	132	222	6339	4367	4821
3008	7759	7354	13812	8588	6002	2522	6611	6811	3954	11580	7035	5201	5637	4372	8405	7087	13980	11558	10158	8318	1243	4660	6031	6008	7630	4503	12923	13255	706	602	10514	6650	7885
3744	10399	10144	17580	11269	7791	3926	7823	8243	4976	12750	7667	6105	8373	6944	11582	10145	17415	14333	12758	12287	2036	6926	7698	7784	10035	4876	14143	15155	1448	941	13865	8962	10397
3486	10980	9923	17299	10681	7565	5113	5874	6364	4677	10184	6115	5116	9413	8134	11519	10395	15211	13149	11361	13371	2595	8278	7185	7704	9899	4047	11457	12227	2378	1429	13318	9041	10412
2817	6301	6617	11611	7110	4677	4491	2713	3446	2504	5138	3070	2534	7272	6928	7991	7382	8457	7235	5977	10485	2412	6492	4621	4775	6262	2291	5899	5715	2753	1721	9544	7309	6846
921	2462	2162	4381	2144	1350	2274	901	1518	1079	2196	1333	997	2702	3016	2246	1975	2336	1390	1316	3679	1459	2510	1633	1470	2087	1230	2533	2334	2277	1508	2965	2306	2401
259	519	619	832	256	313	453	227	367	170	476	326	334	652	595	590	610	567	426	444	1025	559	680	391	490	485	356	688	686	1302	928	894	663	508
