E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_2	E8P3_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_2	E8P7_3	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
1576	987	1252	1485	785	2702	896	1666	1242	674	755	1267	755	812	1428	1382	1730	828	652	740	2028	1905	316	2401	1744	982	1776	1361	1466	2516	1944	1667	2727	2334	1697	2254	2681	1485	2634	2462	1623	2212	2086	1658	2098	1480	1937	2553	897	1672	1077	693	702	2494	1611	1449	1876	2368	1752	2045	1334	157	1522	1659	1124	1845
3538	2219	2821	3522	1771	6401	2188	4144	2692	1501	1630	3067	1757	2011	3614	3267	3990	2080	1677	1775	5061	4571	692	5426	4374	2466	4041	3238	3517	5926	4665	3874	6694	5147	3789	5204	6140	3421	5782	5690	3730	5394	5290	3952	5339	3775	4843	6962	2120	3721	2407	1574	1676	5863	3619	3742	4481	5518	4428	4981	3095	552	3495	3839	2707	3915
8474	5009	6621	8010	3785	14365	5319	8987	5904	3793	3785	6588	3917	4960	9633	8512	8939	4984	4057	4609	11516	10666	1571	12648	10345	5397	8859	7721	7975	13116	10768	8988	14891	12145	9280	12000	13633	8132	12918	12231	9000	12063	11879	9508	12476	9344	11564	15442	5493	8440	5476	3506	4023	13065	8507	8770	10504	12538	10616	11805	6630	1612	7676	8868	6514	8818
13679	8194	10903	12685	6442	23076	9026	15207	9099	6127	6125	10773	6627	8198	16443	14543	14634	8295	6655	7770	18999	17710	2998	20679	16746	9023	14609	12762	13617	21120	17326	14489	22984	18984	14826	19026	21195	12935	20306	20388	14919	18996	20016	16164	20932	15897	19940	23901	8893	13259	8486	5778	6424	20995	13846	14058	17715	20688	17344	19637	11122	2822	12377	14701	10863	14407
16377	10056	12962	15050	8036	26800	11062	18509	10890	7191	7139	12856	8085	10120	20612	18279	17873	10285	8236	9493	22611	21494	3761	24902	19988	10980	17682	15671	16802	25857	20628	17117	26170	22383	17411	22699	24528	15157	23914	24997	18419	22944	25372	20110	26125	19732	25051	26356	10501	15717	9643	6958	7527	24672	16456	16704	21753	25469	21321	23947	13672	3395	14804	17586	12965	17065
14916	9144	11553	13159	7338	25577	10136	17088	9629	6397	6213	11644	7550	9343	19158	17047	16794	9570	7669	8768	20280	19815	3558	22917	18153	10216	16074	14616	15585	23372	18491	15493	23335	19721	15256	19956	21402	13454	21210	24016	17249	20894	24255	18882	24444	18582	23689	24135	9331	14011	8449	6228	6847	22138	15116	15189	20337	23332	19526	22145	12877	3214	13701	16094	11607	15965
9145	5300	6839	7977	4473	15521	6256	10585	5686	3626	3471	6947	4498	5585	11257	9920	10538	5943	4677	5307	12112	11802	2149	13485	10787	6202	9646	8961	9445	13848	11150	9659	13750	11997	8836	12072	12607	7905	13050	14626	10498	12189	15399	11608	15037	11096	14608	14133	5470	8252	4797	3717	3997	13044	9095	9206	12151	13872	11744	13139	7918	1930	8283	9669	6764	9497
3041	1667	2265	2590	1277	4976	1885	3475	1603	993	1070	2236	1368	1865	2932	2563	3294	1709	1294	1750	3875	3616	615	4737	3875	2143	3592	3068	2764	4393	4197	3761	5690	4648	3243	5010	5023	2979	5423	4215	2999	3834	4861	3392	4545	2955	4031	5454	1827	2939	1964	1351	1585	4932	3202	3398	3407	3412	3277	4122	1807	509	2047	2894	1970	3219
934	352	554	669	279	1295	411	842	449	240	321	377	332	443	638	614	717	367	297	491	1071	857	136	1151	1028	485	1065	687	817	1320	1111	843	1405	1292	799	1398	1548	812	1334	1247	579	722	1146	767	1079	721	1105	1252	418	664	497	247	394	1362	665	922	865	887	733	952	433	149	597	810	573	951
