E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_1	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_1	E8P3_2	E8P3_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_1	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
733	328	404	547	414	472	2568	1591	1852	534	377	382	761	491	465	6572	3617	4476	771	496	560	1725	1255	1838	1987	1827	3083	1700	1206	1659	2221	2337	3095	522	493	644	362	253	300	412	161	326	3780	1556	2499	4773	2658	3276	6729	3550	4580	1174	555	872	404	246	366	818	419	619	4325	2846	3072	4364	2312	2698	1359	684	1053	1192	255	1008
2127	1118	1375	1650	1087	1283	7372	5264	5935	1461	1121	1294	1837	1210	1341	16151	9401	11529	2126	1326	1225	4858	3462	5244	6194	5604	8389	3928	2986	3937	6729	6949	9134	1848	1464	2065	1079	775	1070	1013	653	1025	10529	4779	7152	13070	8069	8897	17428	9544	12280	3321	1816	2654	1089	735	958	2483	1258	1865	11298	8204	8669	11760	6472	7594	3752	1892	2760	3590	789	3182
3428	1679	1984	2226	1508	1690	10691	8004	9081	2178	1915	2090	2542	1643	1882	20378	12133	14890	2988	1858	1612	7206	5402	8170	8826	8101	11410	4982	4018	5171	10034	9978	12898	4670	4040	5215	3151	2209	2777	2760	1964	2697	15133	7204	10643	18371	11695	12171	23723	12954	16712	6035	3519	4843	2716	1729	2526	4664	2626	3570	15266	11380	12247	16161	9135	10431	5216	2691	3799	5703	1244	4954
2579	1236	1556	1205	928	955	6990	5101	5619	1687	1506	1552	2506	1521	1617	7147	3936	5195	1279	693	605	6383	5072	7125	5163	4585	6682	5116	3933	5281	5610	5483	7347	7449	6506	8249	4976	3785	4649	4530	3295	4573	7350	3580	5188	8506	5134	5840	10619	5286	7293	5605	3251	4554	3809	2456	3707	4667	2815	3700	6947	4882	5286	7373	4037	4342	2069	966	1589	3923	918	3424
2048	999	1232	794	659	602	5078	3836	4092	1487	1118	1135	2328	1449	1418	2217	1038	1706	590	262	267	5633	4650	6359	3565	3034	4248	4845	3676	4904	3652	3600	5095	7420	6482	8172	4917	3888	4733	4333	3284	4649	4444	2244	3154	4745	2694	3260	5671	2664	3672	5400	3038	3937	3904	2559	3819	4366	2665	3448	3685	2523	2794	3979	2022	2182	968	394	736	3106	744	3004
831	393	536	320	248	270	2350	1711	1925	830	466	519	1103	614	701	898	455	722	249	133	122	2651	2157	3025	1421	1283	1834	2279	1646	2533	1530	1533	2361	4285	3547	4912	2512	2056	2703	2259	1721	2544	2062	967	1378	2015	1266	1474	2511	1154	1718	2602	1364	2071	2079	1417	1975	2105	1179	1662	1818	1211	1363	1662	879	1078	397	183	298	1222	343	1344
574	314	459	303	160	193	1633	1255	1460	693	347	418	812	398	527	598	387	580	192	126	107	1937	1597	2174	1008	919	1447	1633	1184	1743	1130	1058	1654	2605	2061	2989	1458	1205	1747	1299	1018	1627	1497	736	993	1515	937	1109	1892	860	1225	1933	969	1519	1414	973	1312	1563	853	1260	1357	905	1021	1246	721	793	310	159	217	929	216	1008
332	177	217	168	103	107	830	707	765	402	193	263	438	231	260	337	198	313	121	59	55	882	818	1195	474	507	818	772	618	925	634	561	961	1255	979	1364	700	598	862	668	526	790	783	334	554	821	488	588	876	420	706	969	553	827	762	573	666	903	445	705	659	481	463	694	367	383	195	91	127	528	104	595
