E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B6_1	E8B6_2	E8B6_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_1	E8P3_2	E8P3_3	E8P4_1	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P7_1	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
2214	915	1718	1647	1216	1509	2735	1691	2164	2234	1770	1941	3734	2545	1118	2980	2673	2427	2251	2721	3137	2421	2126	2047	2569	1771	668	2345	375	633	314	377	2584	476	3097	2605	3573	3325	2963	3628	2720	2284	3523	2141	3857	2437	1597	1455	2637	2523	2465	3633	2714	3137	2760	2499	3064	2166	1696	2175
4854	1366	4046	3967	2961	3863	6009	3904	4896	4679	3835	4114	7561	5771	2499	6716	5868	5170	5279	6205	7033	5054	5239	5287	6801	3469	1416	4338	692	1137	528	696	4847	899	6872	5810	7627	6798	6333	7475	5507	5085	7755	1725	3286	5110	3595	3361	5182	5488	5321	6960	5603	7640	5229	4965	5881	4417	4009	4869
8634	2137	7177	7213	5432	6685	10339	7285	8560	8243	6753	7198	13994	10584	4834	11871	10445	9162	9620	11248	12835	8783	9058	9443	11427	5409	2289	6872	1096	1972	636	1247	7833	1464	12620	11095	13771	12032	11334	13893	9924	9519	14189	1990	2671	8849	6116	6045	9483	10202	10058	12974	10212	14071	9725	8947	10553	8073	7195	8869
10272	2469	8907	9061	6838	8258	12528	8976	10580	9697	8194	8701	17898	13888	6297	14991	13174	11091	12400	14176	15866	9972	11967	12333	14239	5689	2320	6067	1183	2111	750	1406	8413	1617	16783	14505	17429	15568	15320	17843	12451	12297	17580	2140	2602	11133	7327	6881	12179	13183	12516	16340	12809	18837	12209	11442	12520	9690	8527	10265
11522	3153	9963	9999	7560	8628	13554	9695	11129	9683	8912	8910	19284	15069	7152	15648	13573	11772	13768	15479	16827	10382	12840	13160	14246	5527	2418	6405	1344	2155	905	1446	8673	1550	18247	16516	18674	16659	16954	19754	13865	13690	19899	2038	1913	11183	7704	7568	13875	14306	13648	18561	14137	20092	13795	13020	14006	10689	9621	11347
4281	2034	2956	3270	2481	2080	3469	3156	2543	2706	3277	2527	5983	5396	2187	6012	5043	3872	4694	5494	4625	2181	3566	3995	3531	1829	680	1446	606	901	713	692	3258	625	7489	6791	7043	6358	6972	7078	4734	4793	6593	2285	2239	4806	2411	1876	4922	5240	4115	5882	5180	8118	6186	5191	4571	3600	2504	2312
2012	1844	1502	1685	1256	1226	1684	1387	1418	1220	1393	1100	2599	2061	865	2924	2482	2147	2105	2324	2352	1179	1802	1836	1718	1113	383	935	412	507	687	494	1774	449	3270	3050	2885	2524	2863	3136	1952	2086	2493	1829	2308	2493	1325	1200	2239	2455	1682	2856	2286	3224	2402	2063	1899	1790	1392	1331
834	1668	557	618	471	361	544	463	346	424	529	314	876	841	304	1190	1056	747	836	921	800	319	577	678	543	418	147	264	293	255	675	291	688	277	1364	1257	1156	989	1261	1181	712	705	897	1913	2047	1091	472	417	828	943	625	959	909	1480	1002	866	744	584	411	368
