E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_1	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_1	E8P3_2	E8P3_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_1	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
315	214	246	206	118	118	620	593	413	223	138	162	251	192	229	408	437	316	231	208	115	813	628	780	507	472	483	643	546	497	584	153	463	363	414	91	296	258	145	224	210	173	654	589	432	619	459	473	585	533	518	407	372	323	265	207	253	551	525	357	810	626	498	587	649	592	469	273	346	435	448	399
507	395	507	367	277	281	1045	982	914	424	324	375	540	447	581	725	830	770	464	518	339	1446	1103	1734	902	907	1066	1161	985	1103	1007	290	905	632	784	242	490	471	322	465	479	400	1188	1077	973	1224	910	993	1119	1131	1272	744	684	681	473	450	565	1031	970	835	1512	1290	1180	1094	1235	1365	902	611	737	730	833	822
948	614	566	679	388	278	2478	2194	1146	707	499	465	829	638	611	1545	1723	889	537	667	0	3554	2303	2119	2035	1664	1415	2575	1962	1410	2370	612	1242	1393	1584	282	1093	1008	393	879	1016	488	2490	2377	1290	2437	1968	1339	2424	1928	1487	1635	1371	934	924	800	680	2047	2077	1029	3238	2761	1422	2671	2852	2143	1569	940	980	1580	1724	1115
2688	1857	1683	2004	1248	830	6708	5950	3509	1890	1392	1293	2324	1973	1785	4402	5079	2727	2104	2447	971	9304	6046	5738	5556	4798	4268	6658	5369	4121	6612	1891	3640	3615	4273	850	2790	2717	1044	2473	2691	1326	6990	6627	3723	7156	5573	3824	7209	5901	4490	4359	3891	2670	2400	2267	1796	5407	5537	2920	8857	7483	4062	6788	7811	6061	4438	2798	2620	4377	4567	3022
2507	1613	1398	1761	1045	711	5415	4527	2650	1495	1057	925	1810	1499	1340	3250	4003	2032	2096	2130	776	6559	4309	3792	4656	4063	3368	4884	3841	2823	5506	1536	2920	2725	3003	558	2144	1999	669	1793	1908	845	5106	4844	2553	5217	4042	2706	5224	4075	3125	3445	3081	1983	1766	1749	1212	3913	4029	2096	5456	4438	2426	4066	4716	3381	3333	2085	1885	3597	3787	2421
2808	1733	1563	1837	1121	770	5296	4435	2595	1498	1017	892	1730	1437	1349	3600	4260	2334	2547	2713	975	4971	3540	3199	4876	4275	3706	4140	3292	2564	5719	1576	3131	2174	2455	509	1742	1592	582	1397	1471	693	4859	4587	2545	5120	4037	2667	5305	4397	3486	3442	2957	1921	1376	1447	935	3195	3611	1791	4650	3945	2135	3474	3884	2969	3174	2010	1861	3445	3625	2334
2160	1353	1160	1425	853	615	4097	3298	1870	1038	723	610	1115	866	800	3425	4174	2254	2476	2726	923	2104	1453	1354	3822	3366	2841	2151	1605	1212	4392	1126	2331	628	671	108	510	424	152	387	446	216	3715	3191	1766	3844	2949	1951	4555	3727	2862	2002	1631	1026	477	482	314	1510	1536	720	3941	3187	1837	2857	3146	2426	2629	1699	1618	2322	2380	1499
614	361	353	399	194	144	1220	899	496	309	195	177	316	128	214	1177	1339	689	805	872	262	449	298	291	1138	877	801	464	331	239	1294	288	624	54	55	0	54	41	0	42	51	48	1056	711	499	1063	732	579	1296	978	807	477	365	238	101	51	56	381	305	151	1269	817	598	1003	925	745	822	486	474	566	594	419
