C57M1b_2	C57M1b_3	C57M2_2	C57M3_1	C57M3_2	C57M4_2	C57M1a_2	C57M1a_3	C57N2_1	C57N2_2	C57N2_3	C57P1a_1	C57P1a_2	C57P1a_3	C57P1b_1	C57P1b_2	C57P1b_3	C57P1c_1	C57P1d_1	C57P1d_2	C57P1d_3	C57P1e_1	C57P1e_2	C57P1e_3	C57P1f_1	C57P1f_2	C57P1f_3
271	110	473	2258	346	538	2188	868	2292	1766	540	2507	2138	962	891	694	105	2114	994	1554	511	3410	2217	1120	2804	1706	758
670	296	1126	7105	1037	1395	5722	2670	7421	4779	1328	7208	5469	2512	2291	1972	399	4756	2747	4726	1610	10643	6474	2990	7713	4860	2044
1044	621	1763	17412	2497	3288	13556	5369	21578	11383	3148	18785	12667	5257	5288	3540	773	5812	7376	10098	3145	20365	14762	5913	21723	12225	4972
1426	964	2151	25394	3926	5048	20969	8746	23355	18044	4991	21842	20966	8388	10299	7133	1661	4744	11335	15490	4791	20127	20720	7665	21344	19624	8162
1614	1198	2144	25560	4297	5308	25055	9914	23406	20156	5683	22064	23996	9744	13942	9530	2313	2368	12099	17590	5116	20346	20908	7780	21700	23485	9539
1494	1090	1683	19573	3165	4509	22205	8588	23480	16569	4615	22069	21304	8888	14817	9679	2739	907	9881	14850	4241	20221	16062	5394	21328	19319	8627
950	583	1057	7044	1306	1895	12742	4628	16127	10800	2524	21775	14445	6048	12388	7591	2109	370	6764	11007	3114	17303	10010	3040	21101	11310	4840
471	341	685	2385	305	631	6757	2379	8891	8222	1737	12411	7900	3732	7825	4566	1251	121	4016	6986	1997	10662	6183	2144	9077	5654	2536
180	194	484	1048	59	342	3170	1270	6418	6656	1488	5391	4234	1900	2445	2070	468	50	1517	3608	917	4543	3344	1096	4431	2643	1106
