E1A1_1	E1A1_2	E1A1_3	E1B1_1	E1B1_2	E1B1_3	E1B2_1	E1B2_2	E1B2_3	E1B3_1	E1B3_2	E1B4_1	E1B4_2	E1B4_3	E1B6_1	E1B6_2	E1B6_3	E1B7_1	E1B7_2	E1B7_3	E1B8_1	E1B8_2	E1B8_3	E1L1_1	E1L1_2	E1L2_1	E1L2_2	E1L3_1	E1L3_2	E1L3_3	E1L6_1	E1L6_2	E1L6_3	E1L7_1	E1L7_2	E1L7_3	E1L8_1	E1L8_2	E1L8_3	E1N1_1	E1N1_2	E1N1_3	E1N2_1	E1N2_2	E1N2_3	E1P10_1	E1P10_2	E1P10_3	E1P11_1	E1P11_2	E1P11_3	E1P12_1	E1P12_2	E1P12_3	E1P1_1	E1P1_2	E1P1_3	E1P3_1	E1P3_2	E1P3_3	E1P4_1	E1P4_2	E1P4_3	E1P5_1	E1P5_2	E1P5_3	E1P6_1	E1P6_2	E1P6_3	E1P7_1	E1P7_2	E1P7_3	E1P8_1	E1P9_1	E1P9_2	E1P9_3	E1X1_1	E1X1_2	E1X1_3
102	69	104	0	41	57	155	110	111	61	59	151	99	73	129	177	211	114	133	158	131	98	99	55	0	65	50	58	164	0	103	57	53	58	51	0	70	53	53	164	135	133	130	74	84	117	82	51	99	96	0	187	121	50	101	106	105	122	51	51	95	69	51	103	112	36	151	124	125	58	153	57	0	0	0	36	157	118	116
100	77	78	82	108	146	274	277	256	160	125	259	243	176	456	542	692	308	305	447	378	327	365	77	44	93	62	133	130	0	197	106	131	148	126	98	298	185	206	178	149	123	128	72	75	495	254	154	284	241	114	382	270	108	396	349	307	323	176	111	203	166	110	269	333	100	423	377	390	182	420	148	31	37	51	47	530	356	429
299	268	360	252	405	628	761	828	991	596	519	1001	771	776	1587	1843	2211	1195	1108	1554	1342	1124	1338	213	156	332	258	449	470	192	689	409	522	503	512	417	1099	761	765	620	482	522	483	271	279	1578	1006	676	929	803	451	1169	842	389	1367	1181	1290	1084	665	559	775	655	435	923	1217	505	1367	1244	1515	616	1333	649	207	176	209	168	1758	1381	1411
544	534	632	304	389	446	916	912	1035	631	489	1118	883	637	1964	2091	2033	1460	1283	1436	1491	1245	978	243	185	433	394	460	418	185	759	441	410	548	521	289	1238	752	507	1083	918	1042	893	592	599	1887	1008	479	938	751	335	1113	899	402	1491	1254	918	1196	771	376	792	659	342	997	1326	337	1521	1553	1048	452	1220	419	227	173	213	94	2101	1513	1257
1170	938	868	1163	1476	1780	3613	3522	2734	2194	1727	4281	3317	2261	6390	7080	7460	5505	4708	5422	5311	4457	3682	913	535	1106	877	1803	1692	577	2786	1573	1327	1988	1956	1130	4239	2630	2006	2201	1711	1203	1516	969	706	6357	3529	1731	3984	3275	1151	5400	3677	1222	5175	4335	3445	4144	2611	1342	3093	2614	1206	3521	4733	1236	5553	5637	4058	2280	6218	1863	890	674	783	434	6684	4691	4394
2963	2392	2327	772	956	969	4300	3825	3108	1739	1342	4095	2955	2015	3200	3652	3410	4345	3579	4063	2930	2449	1851	1480	818	1823	1344	1574	1589	498	2622	1487	1224	1417	1240	732	2019	1288	818	6060	4596	3220	4213	2581	2032	3487	1883	865	3105	2557	992	6256	4265	1362	2811	2386	1751	2292	1489	720	2671	2138	916	2428	3202	774	4152	4291	2820	1821	5351	1426	466	409	476	253	3212	2206	1970
2218	1725	1616	320	372	302	2573	2192	1639	673	549	2035	1418	980	534	694	544	1954	1532	1617	818	679	412	1070	525	1137	814	846	792	215	1418	751	574	553	458	245	377	263	127	4636	3356	2220	3063	1807	1362	962	413	181	2334	1906	702	3728	2542	800	713	696	406	648	402	181	1361	1020	416	921	1137	282	1937	2028	1189	1431	4094	1040	118	143	146	67	569	265	237
1872	1404	1337	178	223	267	1711	1590	1324	452	311	1392	991	730	324	468	466	1300	1052	1263	539	416	353	845	437	845	590	633	552	154	1028	543	415	329	310	187	279	162	121	3594	2586	1790	2351	1379	1146	683	343	152	2397	2018	732	2892	1953	684	562	446	348	525	278	156	995	696	331	644	710	206	1477	1431	1093	1689	4270	1192	144	133	138	85	318	169	186
574	381	405	55	74	82	536	465	387	155	96	499	359	227	159	196	181	417	329	406	178	141	126	256	94	248	138	252	119	62	313	152	121	117	75	50	79	54	0	1146	706	563	603	381	287	261	117	54	757	585	200	908	559	170	198	148	104	164	76	43	336	184	84	221	252	67	502	448	340	537	1322	333	52	57	34	0	116	83	96
