E1A1_1	E1A1_2	E1A1_3	E1B1_1	E1B1_2	E1B1_3	E1B2_1	E1B2_2	E1B2_3	E1B3_1	E1B3_2	E1B3_3	E1B4_1	E1B4_2	E1B4_3	E1B5_1	E1B5_2	E1B5_3	E1B6_1	E1B6_2	E1B6_3	E1B7_1	E1B7_2	E1B7_3	E1B8_1	E1B8_2	E1L1_1	E1L1_2	E1L1_3	E1L2_1	E1L2_2	E1L3_1	E1L3_2	E1L3_3	E1L5_1	E1L5_2	E1L6_1	E1L6_2	E1L6_3	E1L7_1	E1L7_2	E1L7_3	E1L8_1	E1L8_2	E1L8_3	E1N1_1	E1N1_2	E1N1_3	E1N2_1	E1N2_2	E1N2_3	E1P10_1	E1P10_2	E1P10_3	E1P11_1	E1P11_2	E1P11_3	E1P12_1	E1P12_2	E1P12_3	E1P1_1	E1P1_2	E1P1_3	E1P3_1	E1P3_2	E1P3_3	E1P4_1	E1P4_2	E1P4_3	E1P5_1	E1P5_2	E1P5_3	E1P6_1	E1P6_2	E1P6_3	E1P7_1	E1P7_2	E1P7_3	E1P8_1	E1P8_2	E1P8_3	E1P9_1	E1P9_2	E1P9_3	E1X1_1	E1X1_2	E1X1_3
146	127	262	689	521	512	526	324	331	299	155	0	945	551	342	785	168	694	555	313	1194	325	98	279	281	202	452	127	153	96	0	1461	262	339	211	49	281	219	176	225	403	319	498	265	289	268	175	530	647	118	237	432	149	202	218	171	206	252	109	104	319	502	604	636	645	389	258	323	216	335	246	180	1128	364	378	897	128	194	986	491	527	1107	530	559	399	248	697
585	466	1200	2858	2201	1731	2186	1184	1279	1159	507	170	3851	2048	1456	2926	468	2210	2041	1315	4422	1265	545	1209	1213	649	1683	428	581	349	130	5520	978	1416	569	233	1150	842	626	919	1588	1270	1971	1125	1066	1019	612	1884	2261	445	849	1551	522	828	1022	713	871	1070	286	467	1414	2007	2369	1929	2752	1614	983	1215	834	1345	1021	631	4741	1489	1673	2674	577	804	4034	1926	1942	3913	2088	2058	1372	1106	2639
1788	1617	3508	8048	7018	4664	6015	3950	3606	3249	1643	587	11406	6573	4191	7599	1564	6049	6651	3988	12353	3681	1830	3389	3550	2131	4969	1496	1849	992	512	14996	3184	4020	1382	769	2986	2227	1803	3024	5192	3714	4874	3587	3052	3169	2031	5502	6526	1399	2600	4165	1596	2296	3122	2242	2600	2926	916	1534	4436	6748	6862	6017	8160	4616	3094	3841	2607	3817	3264	2097	12840	4472	4807	8000	1876	2644	12100	5846	6375	11124	6823	6555	4041	3200	6871
3292	2588	5730	11635	10925	6875	9746	6391	5611	5245	2698	890	17865	10550	6541	11577	2728	8760	10958	6726	18949	6111	2963	5689	5623	3420	7661	2516	2885	1698	923	23424	4963	6014	2722	1339	5555	4464	3142	4840	8270	5894	7551	5625	4550	5564	3373	8438	10963	2397	4046	8193	2889	4627	5046	3626	4081	4997	1626	2612	7156	11149	11202	9575	12721	7051	5035	6392	4267	6314	5208	3386	20717	7144	7395	12396	3107	4289	19589	10023	10351	19248	12018	10677	6033	4763	10070
2904	2043	3761	8514	7008	4369	7481	4515	3745	4910	3462	778	13454	7744	4450	9660	2613	6707	9025	5651	14442	5346	2503	4195	4507	2568	6035	2102	2139	1613	785	16294	3868	4034	2880	1292	5799	4572	2931	3896	6362	4217	5588	3943	3053	4782	2853	5796	9839	2118	3050	8377	2874	4675	4112	2834	3171	4115	1393	2098	5749	9163	8912	7803	10150	5674	4129	5272	3609	5124	4178	2455	17288	5383	5041	9110	2406	3156	17275	8946	8020	17030	10596	8965	4405	3326	6627
1494	876	1535	2373	1999	1020	3190	1438	976	1201	809	152	5085	2625	1192	2810	808	1486	3208	1724	4255	2210	955	1572	1552	727	2782	805	771	642	298	5984	1517	1143	1300	596	3352	2929	1712	1241	1639	1142	1203	716	511	2356	1366	2029	5243	1014	1074	5375	1718	3226	1312	984	1068	2143	667	927	1921	3312	2889	2910	3850	1776	1404	2126	1468	1949	1403	676	5843	1687	1194	2737	785	751	8925	4320	3515	8720	5333	4428	1270	585	1226
901	484	905	1217	1010	584	1709	709	609	666	590	79	2868	1332	765	1539	366	1065	1389	612	1915	1069	454	847	658	289	1491	426	424	433	158	3509	678	723	803	420	2217	1782	1026	505	735	538	520	277	253	1469	825	1439	2838	622	709	3404	937	2090	545	412	519	1335	366	536	865	1237	1096	1441	1712	1029	722	1027	713	1091	629	317	2849	778	663	1375	336	361	5557	2325	2086	5177	2924	2758	573	247	679
224	155	330	316	316	157	499	217	187	126	72	0	864	348	230	543	112	205	321	194	496	297	127	211	189	72	443	136	162	120	46	1123	182	197	220	95	590	531	312	115	216	177	170	91	91	432	237	441	944	188	201	936	247	592	159	103	111	375	125	173	229	358	331	472	459	329	188	293	256	285	161	101	914	196	161	399	102	66	1521	567	559	1640	884	728	196	76	141
