C159A1_1	C159A1_2	C159A1_3	C159A1w_1	C159A1w_2	C159A1w_3	C159A2a_1	C159A2a_2	C159A2a_3	C159A2b_1	C159A2b_2	C159A2b_3	C159A2w_2	C159A2w_3	C159Ab1_1	C159Ab1_2	C159Ab1_3	C159Ad1_1	C159Ad1_2	C159Ad1_3	C159Ad2_1	C159Ad2_2	C159Ad2_3	C159AR1w_1	C159AR1w_2	C159AR1w_3	C159B1_1	C159B1_2	C159B1_3	C159B3_1	C159B3_2	C159B3_3	C159B3w_1	C159B3w_2	C159B3w_3	C159B4_1	C159B4_2	C159B4_3	C159D1w_1	C159D1w_2	C159D1w_3	C159Di1_1	C159Di1_2	C159Di1_3	C159Di2_1	C159Di2_2	C159Di2_3	C159Di3_1	C159Di3_2	C159Di3_3	C159H1w_1	C159H1w_2	C159H1w_3	C159H3_1	C159H3_2	C159H3_3	C159H6b_1	C159H6b_2	C159H6b_3	C159H7a_1	C159H7a_2	C159H7a_3	C159H7b_1	C159H7b_2	C159H8_3	C159LD1_1	C159LD1_2	C159LD1_3	C159LD1w_1	C159LD1w_2	C159LD1w_3	C159LD2_1	C159LD2_2	C159LD2_3	C159LD2w_1	C159LD2w_2	C159LD2w_3	C159LD3_1	C159LD3_2	C159LD3_3	C159LD3w_1	C159LD3w_2	C159LD3w_3	C159LD4_1	C159LD4_2	C159LD4_3	C159LD5_1	C159LD5_2	C159LD5_3	C159LN1_1	C159LN1_2	C159LN1_3	C159LN13_1	C159LN13_2	C159LN13_3	C159LN2_1	C159LN2_2	C159LN2_3	C159LN4_1	C159LN4_2	C159LN4_3	C159LN5_1	C159LN5_2	C159LN5_3	C159LN6_1	C159LN6_2	C159LN6_3	C159LN7_1	C159LN7_2	C159Me1_1	C159Me1_2	C159Me1_3	C159N1_1	C159N1_2	C159N1_3	C159N1w_1	C159N1w_2	C159N1w_3	C159N2w_1	C159N2w_2	C159N2w_3	C159P10_1	C159P10_2	C159P1w_1	C159P1w_2	C159P1w_3	C159P2_1	C159P2_2	C159P2_3	C159P2w_1	C159P2w_2	C159P2w_3	C159P3_1	C159P3_2	C159P3_3	C159P3w_1	C159P3w_2	C159P3w_3	C159P4_1	C159P4_2	C159P4_3	C159P4w_1	C159P4w_2	C159P4w_3	C159P5_1	C159P5_2	C159P5_3	C159P6_1	C159P6_2	C159P6_3	C159P7_1	C159P7_2	C159P7_3	C159P8_1	C159P8_2	C159P8_3	C159P9_1	C159P9_2	C159P9_3	C159Pa1_1	C159Pa1_2	C159Pa1_3	C159Pg1_1	C159Pg1_2	C159Pg1_3	C159S1w_1	C159S1w_2	C159S1w_3	C159SB1_1	C159SB1_2	C159SB1_3	C159Sp1_1	C159Sp1_2	C159Sp1_3	C159TD1_1	C159TD1_2	C159TD1_3	C159X1a_1	C159X1a_2	C159X1a_3	C159X1b_1	C159X1b_3	C159X1c_1	C159X1c_2	C159X1c_3	C159X2w_1	C159X2w_2	C159X2w_3
452	300	910	1325	1159	3190	157	130	500	379	370	947	1683	4787	734	620	1784	673	430	1366	987	714	2046	312	0	703	701	520	1423	332	232	852	860	922	2192	826	724	1912	599	380	1673	344	343	920	586	627	1728	433	355	1118	196	153	566	649	679	1466	287	329	834	171	223	711	275	247	192	749	703	2263	1242	1077	3899	1163	938	1763	1120	935	2330	1002	904	2248	543	0	1315	647	661	1616	405	520	940	264	297	571	314	307	379	237	212	384	123	96	209	1049	1049	2136	157	162	276	479	521	609	420	1455	322	444	1183	565	0	1477	472	315	878	946	855	1679	1371	3967	566	617	1040	0	268	707	1092	821	1692	723	522	1783	217	288	716	650	601	1757	508	650	1299	584	362	1021	798	696	1513	709	756	1750	457	482	1026	367	342	919	483	337	955	1081	908	3485	0	409	1043	332	305	860	272	286	511	301	284	542	180	386	169	96	360	1241	1027	3170
754	454	1247	2283	1594	4472	266	193	754	639	610	1460	2634	8637	1206	933	2975	918	642	2501	1481	1120	3505	520	468	1202	1150	898	2333	514	352	1278	1463	1339	3699	1327	1279	2932	918	600	2388	510	605	1463	1015	1130	2724	730	636	1564	318	197	819	1213	1114	2173	459	508	1389	283	338	1091	496	360	292	1033	1035	3409	2131	1666	5583	1706	1435	2711	1662	1387	3861	1670	1224	3205	845	705	2058	1029	1027	2510	620	763	1389	443	470	863	498	515	703	441	371	629	177	157	370	1626	1740	3653	231	257	430	830	871	1003	614	2439	479	669	1872	953	915	2382	743	517	1453	1381	1432	2989	2157	6782	915	1013	1754	516	444	1037	1582	1346	2541	987	809	2535	358	463	1059	1055	985	3109	856	1055	2309	1009	611	1505	1163	1063	2339	1146	1195	2852	731	639	1387	620	550	1584	707	599	1788	1724	1587	5415	480	633	1729	527	482	1436	388	447	706	448	379	879	213	686	253	157	603	1995	1787	5002
1321	878	2116	4120	3246	8385	497	416	1381	1124	1198	2719	5260	14214	1953	1696	4818	1794	1293	3938	2648	2217	6181	934	1005	1972	2010	1604	3905	922	610	2133	2661	2657	6554	2010	2007	4831	1736	1093	3593	902	891	2478	1606	1802	4393	1231	1130	2853	602	387	1324	2139	1915	4151	736	816	2263	533	658	1857	759	667	465	1861	1825	5707	4164	3601	10644	3045	2566	4824	3352	2863	6702	2994	2396	5874	1366	1393	3514	1682	1858	4160	1066	1283	2447	671	769	1399	891	945	1081	589	596	957	363	297	502	2382	2393	5468	419	473	681	1445	1348	1881	1108	4033	1047	1435	3539	1876	1838	3996	1446	1097	2661	2268	2041	5303	4144	11088	1524	1638	2661	936	677	1722	2686	2182	4801	1495	1170	4165	543	750	1770	1620	1550	4729	1287	1814	3369	1655	1061	2632	1897	1688	3647	1685	1780	4581	1200	1084	2245	1174	935	2613	1333	1087	2967	2979	2520	8918	937	1124	2930	997	970	2336	679	845	1430	724	708	1645	388	1138	449	295	1066	2929	2794	7994
1696	1141	2528	5322	4345	10827	669	543	1653	1422	1513	3482	6903	17669	2932	2548	7051	2447	1703	5198	3249	2948	7819	1280	1312	2662	2490	2142	5189	1277	862	2544	3771	3927	9063	2957	2798	6580	2279	1482	4421	1253	1456	3563	2405	2812	6296	1553	1438	3597	785	549	1690	2776	2500	5502	1104	1200	2943	665	844	2384	1073	879	575	2266	2300	6942	5608	4829	13925	3868	3365	6388	4836	4115	9038	3874	3199	7500	2210	1972	4621	2343	2449	5421	1425	1575	3091	895	1036	1816	1127	1153	1349	965	955	1577	493	406	719	3719	3859	8064	538	631	854	1951	1855	2625	1684	5380	1402	1943	4458	2352	2268	4890	1856	1482	3426	3146	2915	7391	6020	14875	2038	2217	3542	1381	1130	2613	3458	3002	6383	2692	2149	6346	800	1055	2480	3023	2643	7133	1838	2619	4825	2153	1447	3417	2482	2520	4700	2445	2615	6448	1494	1329	2691	1534	1382	3345	1711	1496	3849	4268	3669	11822	1221	1492	3854	1275	1225	3061	920	1135	1841	924	836	2175	456	1390	578	425	1404	4905	4360	10724
1713	1131	2481	5397	4474	10840	654	549	1595	1398	1473	3326	7021	17149	3155	2782	7798	2447	1910	5249	3340	2873	7846	1367	1342	2813	2554	2222	5296	1311	923	2506	4202	4124	9508	3171	2919	7141	2493	1545	4300	1301	1545	3718	2661	2910	6473	1505	1414	3408	839	575	1630	2851	2466	5605	1264	1329	3020	675	940	2405	1219	939	590	2144	2210	6362	6151	4982	14270	3996	3460	6700	4862	4231	9219	3965	3317	7685	2524	2167	4844	2435	2511	5409	1420	1514	3179	921	1043	1830	1117	1094	1244	1093	1066	1781	497	413	737	4393	4403	9129	543	638	832	2126	2028	2757	1851	5603	1342	1816	4209	2402	2274	4659	1899	1502	3443	3330	3133	7813	6353	15286	2092	2220	3707	1565	1396	2924	3584	3079	6471	3272	2670	7365	845	1121	2539	3525	3330	8275	2030	2785	4989	2176	1467	3422	2554	2671	4754	2618	2995	6679	1460	1375	2554	1583	1576	3438	1709	1493	3829	4575	4129	12385	1181	1492	3976	1254	1250	3051	945	1152	1873	871	772	2096	446	1266	586	438	1460	5586	4800	11389
1519	978	2158	5298	4035	9874	510	382	1314	1166	1237	2722	6541	15483	2875	2542	6666	2103	1643	4567	2782	2424	6932	1195	1199	2503	2213	1864	4570	1123	772	2086	3594	3666	8239	2974	2632	6184	2250	1383	3698	1153	1321	3169	2279	2516	5839	1285	1197	2765	735	483	1312	2534	2135	4615	1061	1124	2484	557	794	2069	1050	801	496	1969	1902	5392	5623	4502	12896	3561	2970	5661	5040	4116	8703	3552	2854	6524	2269	2004	4273	2080	2204	4587	1197	1303	2553	802	906	1515	903	960	1039	952	899	1514	423	351	625	4069	4012	8324	445	553	660	1885	1743	2493	1565	4936	1093	1461	3372	2033	1950	4059	1657	1336	3086	3075	2823	7397	5934	14481	1774	1917	3207	1472	1298	2724	3178	2587	5451	3255	2571	7049	739	957	2155	3242	3247	7642	1774	2423	4550	1909	1234	2947	2289	2288	4108	2355	2658	5991	1264	1088	2153	1348	1241	2977	1479	1324	3120	4354	3827	11282	1002	1217	3295	1096	1041	2499	786	955	1477	692	602	1644	350	1004	480	358	1133	5085	4422	10511
1324	861	1774	5028	3759	9442	458	339	1033	1032	1070	2408	6264	15392	2418	2082	5843	1828	1370	3864	2520	2138	6128	1017	907	2054	1965	1625	3954	1006	646	1561	3287	3170	7591	2746	2312	5565	1844	1165	3201	991	1105	2634	2061	2293	5023	1103	1002	2416	610	382	951	2288	1791	3892	880	895	2021	469	606	1676	886	616	321	1756	1752	4860	5206	4198	12119	3371	2803	5282	4586	3993	8329	3328	2675	6106	2034	1728	3829	1923	1876	4046	965	1071	2139	751	774	1323	855	805	893	813	717	1305	353	305	534	3892	3989	7658	400	444	513	1660	1568	2065	1281	4272	942	1271	2998	1900	1677	3559	1441	1178	2753	2782	2512	7072	5345	14228	1550	1625	2751	1286	1130	2399	2838	2359	5073	2936	2537	6532	640	797	1810	3128	2937	6726	1590	2229	4063	1619	1137	2518	2051	2052	3517	2062	2411	5485	1017	930	1740	1110	1028	2423	1244	1080	2718	4139	3590	10921	836	1033	2829	861	861	1995	701	858	1299	521	426	1357	262	813	375	281	957	4812	4131	9671
877	533	1140	3278	2520	6524	314	260	709	647	689	1744	3727	10858	1753	1575	4424	1098	945	2613	1603	1269	4148	682	632	1560	1333	1039	2758	608	451	1182	2269	2088	5354	2105	1568	4024	1199	725	2249	674	859	1889	1427	1591	3634	664	653	1566	397	253	827	1559	1162	2785	635	625	1367	297	406	1125	635	397	222	1219	1231	3382	3191	2427	8001	2443	1936	3900	2782	2531	5458	2476	1914	4527	1422	1183	2911	1473	1337	2859	744	636	1470	515	531	950	528	464	620	585	539	1020	233	197	376	3441	3387	6737	273	304	328	1303	1156	1446	858	2996	607	773	2157	1030	1093	2454	869	673	1742	2257	1979	4492	3343	9765	1156	1109	2034	812	740	1743	2038	1779	3918	2203	1926	5096	480	574	1327	2428	2290	5627	1177	1700	3212	1178	861	1869	1427	1567	2582	1747	1989	4304	702	629	1319	707	681	1613	722	655	1767	2925	2435	8286	564	626	2005	500	535	1307	440	526	974	401	380	962	183	557	250	181	609	3712	3061	6831
427	231	608	1287	870	2692	94	72	276	214	240	711	1369	3739	1134	929	3027	712	495	1598	652	570	2027	332	328	922	686	550	1411	374	201	605	1120	958	2746	1368	855	2479	639	349	1203	445	555	1149	763	1023	2179	274	253	747	220	172	463	833	654	1402	411	394	878	162	240	645	399	293	124	462	336	1339	1383	1079	3863	1151	972	2005	1106	991	2458	1106	980	2247	830	586	1577	718	711	1705	449	296	707	334	336	665	222	167	240	413	326	630	123	76	231	2440	2396	4403	0	171	153	757	812	723	516	1931	161	237	715	360	337	921	262	200	640	1363	1251	1853	1425	4423	695	689	1372	467	382	944	1091	873	1869	1269	1030	3051	338	409	828	1574	1530	3669	776	1044	1861	627	470	1120	820	873	1581	1062	1258	2567	360	312	690	333	406	1027	451	297	923	1341	1146	4535	238	313	1090	290	271	844	212	226	439	181	151	405	74	245	131	101	371	2132	1706	4270
