	LN1	LN2	LN3	LN4	Lun1	Normal1	Per1	Per2	Per3	Per4	Per5	Per6	Per7	PT1	PT2	PT3	PT4	TD1
LN1	0	0.778436021401366	0.913778050927611	0.908233712852879	1.6342063530625	1.0471975511966	0.401424658281537	0.690847737461973	1.11085216507747	0.929103072628556	0.922307662151921	1.03697010303129	1.38905634371129	0.871077431912328	0.734215165111951	0.897725615540695	0.476633555169319	0.851318556958281
LN2	0.778436021401366	0	0.244941296478739	0.788165530204161	1.61622201978083	1.0471975511966	0.700844856912538	0.393619637827959	1.055371269451	0.256727523483377	0.271524195244048	0.332373244065933	0.774774326195285	0.514847410895382	0.285398561548198	0.484710890136738	0.527916896562261	0.461141699764855
LN3	0.913778050927611	0.244941296478739	0	0.813720294729766	1.61317897633568	1.0471975511966	0.844691268618741	0.514032767443477	1.0582074239587	0.295481023199855	0.349913273361563	0.329443088957507	0.693384205169943	0.58534499914873	0.310995949794651	0.48929363017215	0.672854639947974	0.598947089475238
LN4	0.908233712852879	0.788165530204161	0.813720294729766	0	1.10245371181308	1.0471975511966	0.948257271714871	0.787378487875309	1.59008890620062	0.828077146772541	0.680341072125662	0.779648912579496	0.832548367140966	1.13219277248127	0.813438402798646	0.980316779116531	0.902807506418258	0.895880716188224
Lun1	1.6342063530625	1.61622201978083	1.61317897633568	1.10245371181308	0	1.0471975511966	1.54672762876972	1.6209562374462	2.25411834158926	1.59268259769216	1.44412910745573	1.48549115186086	1.32743675478342	1.92115029445061	1.65860311669038	1.86640140993978	1.62852910082833	1.6645265676241
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.401424658281537	0.700844856912538	0.844691268618741	0.948257271714871	1.54672762876972	1.0471975511966	0	0.575182003447452	1.10273713582244	0.807959296283488	0.835574726067422	0.915872103280182	1.32348885121841	0.747051722673449	0.690826154595764	0.846044265597294	0.386176002510432	0.776963626389582
Per2	0.690847737461973	0.393619637827959	0.514032767443477	0.787378487875309	1.6209562374462	1.0471975511966	0.575182003447452	0	0.961484179925218	0.439825611841808	0.49218109733902	0.51454393796842	0.846694647957247	0.478600177918705	0.516904037969335	0.613307669951493	0.579556777628227	0.596834615788815
Per3	1.11085216507747	1.055371269451	1.0582074239587	1.59008890620062	2.25411834158926	1.0471975511966	1.10273713582244	0.961484179925218	0	1.05149292286508	1.19504535521618	1.16563851840872	1.36387926345182	0.715410251007304	1.06812916771923	1.0435929873827	1.12947713143862	1.22987751524584
Per4	0.929103072628556	0.256727523483377	0.295481023199855	0.828077146772541	1.59268259769216	1.0471975511966	0.807959296283488	0.439825611841808	1.05149292286508	0	0.252425364408683	0.209705461128168	0.660358919096916	0.532656054836304	0.417960057716841	0.495358052792729	0.650375635029522	0.506901516021178
Per5	0.922307662151921	0.271524195244048	0.349913273361563	0.680341072125662	1.44412910745573	1.0471975511966	0.835574726067422	0.49218109733902	1.19504535521618	0.252425364408683	0	0.215239326853447	0.615359289039602	0.660846413277357	0.453263039387287	0.597264868667554	0.669939233915786	0.50656077531515
Per6	1.03697010303129	0.332373244065933	0.329443088957507	0.779648912579496	1.48549115186086	1.0471975511966	0.915872103280182	0.51454393796842	1.16563851840872	0.209705461128168	0.215239326853447	0	0.509132576951973	0.642826451421626	0.51086915446484	0.590558456198437	0.767188030505988	0.571984165925854
Per7	1.38905634371129	0.774774326195285	0.693384205169943	0.832548367140966	1.32743675478342	1.0471975511966	1.32348885121841	0.846694647957247	1.36387926345182	0.660358919096916	0.615359289039602	0.509132576951973	0	1.00645935357918	0.91574179869437	0.962331309320845	1.22021355190649	0.978697386624238
PT1	0.871077431912328	0.514847410895382	0.58534499914873	1.13219277248127	1.92115029445061	1.0471975511966	0.747051722673449	0.478600177918705	0.715410251007304	0.532656054836304	0.660846413277357	0.642826451421626	1.00645935357918	0	0.581966273593552	0.568901616256118	0.704423791494369	0.6648191772428
PT2	0.734215165111951	0.285398561548198	0.310995949794651	0.813438402798646	1.65860311669038	1.0471975511966	0.690826154595764	0.516904037969335	1.06812916771923	0.417960057716841	0.453263039387287	0.51086915446484	0.91574179869437	0.581966273593552	0	0.472367742027447	0.476117302713301	0.550959469033159
PT3	0.897725615540695	0.484710890136738	0.48929363017215	0.980316779116531	1.86640140993978	1.0471975511966	0.846044265597294	0.613307669951493	1.0435929873827	0.495358052792729	0.597264868667554	0.590558456198437	0.962331309320845	0.568901616256118	0.472367742027447	0	0.623123990639566	0.438207562425752
PT4	0.476633555169319	0.527916896562261	0.672854639947974	0.902807506418258	1.62852910082833	1.0471975511966	0.386176002510432	0.579556777628227	1.12947713143862	0.650375635029522	0.669939233915786	0.767188030505988	1.22021355190649	0.704423791494369	0.476117302713301	0.623123990639566	0	0.578124394687836
TD1	0.851318556958281	0.461141699764855	0.598947089475238	0.895880716188224	1.6645265676241	1.0471975511966	0.776963626389582	0.596834615788815	1.22987751524584	0.506901516021178	0.50656077531515	0.571984165925854	0.978697386624238	0.6648191772428	0.550959469033159	0.438207562425752	0.578124394687836	0
