	Liv1a	Liv1b	Liv2	LN1	LN2	LN3	LN4	LN5	Normal1	PT1	PT2	PT3
Liv1a	0	0.147025138331475	0.510376470024499	0.940679080912513	1.06773680506944	0.728420834443017	0.817549216009686	0.559622880320654	1.0471975511966	0.415855800092732	0.579341076412224	0.564051443828335
Liv1b	0.147025138331475	0	0.495258332177184	0.984237966585965	1.16851767793579	0.81448760903909	0.874656048890705	0.59704267170684	1.0471975511966	0.484010446653359	0.625469165714813	0.635689391041282
Liv2	0.510376470024499	0.495258332177184	0	0.924697483134042	1.21283396059941	0.911454919901305	0.963735034019073	0.848414522540312	1.0471975511966	0.573350451345544	0.714639780839427	0.7093800549145
LN1	0.940679080912513	0.984237966585965	0.924697483134042	0	0.850802732088338	0.734010165593877	0.645049458449756	0.787144463521111	1.0471975511966	0.712502711815581	0.617391381279245	0.649374465492933
LN2	1.06773680506944	1.16851767793579	1.21283396059941	0.850802732088338	0	0.5379499845005	0.554967715798689	0.881212964268645	1.0471975511966	0.82072986182343	0.84800319922847	0.732029617661794
LN3	0.728420834443017	0.81448760903909	0.911454919901305	0.734010165593877	0.5379499845005	0	0.350964597800063	0.668706644879747	1.0471975511966	0.518575583549305	0.472664827087807	0.345601323399586
LN4	0.817549216009686	0.874656048890705	0.963735034019073	0.645049458449756	0.554967715798689	0.350964597800063	0	0.704390034672366	1.0471975511966	0.590665449586341	0.554617047048207	0.435992397141836
LN5	0.559622880320654	0.59704267170684	0.848414522540312	0.787144463521111	0.881212964268645	0.668706644879747	0.704390034672366	0	1.0471975511966	0.41456378712105	0.491567611460371	0.526318052611046
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.415855800092732	0.484010446653359	0.573350451345544	0.712502711815581	0.82072986182343	0.518575583549305	0.590665449586341	0.41456378712105	1.0471975511966	0	0.368405878415811	0.322690347337025
PT2	0.579341076412224	0.625469165714813	0.714639780839427	0.617391381279245	0.84800319922847	0.472664827087807	0.554617047048207	0.491567611460371	1.0471975511966	0.368405878415811	0	0.37439355432101
PT3	0.564051443828335	0.635689391041282	0.7093800549145	0.649374465492933	0.732029617661794	0.345601323399586	0.435992397141836	0.526318052611046	1.0471975511966	0.322690347337025	0.37439355432101	0
