	LN1	LN2	LN3	LN4	LN5	LN6	LN7	LN8	Normal1	Per1	Per10	Per11	Per12	Per13	Per14	Per15	Per16	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2	TD3
LN1	0	0.854558542844387	0.92741235637785	0.306828326873016	0.287525919363942	1.00639078830159	0.447253869236608	0.973385665373675	1.0471975511966	1.24145658178979	0.910246056871735	1.20402539451731	1.09995584247423	1.1759087402596	1.57490851701303	1.38023913100222	1.22605328534716	1.52914192698737	1.23618566314726	1.09146059620645	0.995403938728645	1.28123924146778	1.31485607079236	1.3958864196088	1.226298037889	1.40686526996351	1.47320609759473	1.29968917285565	0.852588187237408	0.895495780266113	1.4520043156442	1.36998296587119	1.04440327772296	1.00532169782327	1.16233296417421	1.02056682332279
LN2	0.854558542844387	0	0.727211179671018	0.756809711593326	0.809781004587486	0.840623956307959	0.746466086682253	0.727368300939755	1.0471975511966	0.844030639404837	0.732773690205305	0.838930689191427	0.809363388575981	0.816674013615099	1.1052919021641	0.983459220315693	0.759698068703178	1.07348439804349	0.866004273229082	0.687855732011059	0.76001868132834	0.86477165921289	0.921699642542289	0.937058018037972	0.824969400064502	1.00951643481373	1.08689679377236	0.970841400578048	0.754623810604133	0.707839056016384	1.05381443365029	1.01930247737962	0.763213193966026	0.719459032141837	0.886403427066768	0.737825034950001
LN3	0.92741235637785	0.727211179671018	0	0.789628796843279	0.837034558221348	0.414936531658897	0.785389055989095	0.370122565050284	1.0471975511966	0.509065769703162	0.255652051692053	0.582983124141534	0.439817328744042	0.480457307201613	0.956738910527301	0.636995881301579	0.585941582430852	0.986788620927201	0.48263536921334	0.462465945791785	0.245557687232851	0.586108710658263	0.601244540781155	0.744908359987424	0.453657152715072	0.684779470580934	0.821455305100734	0.552893729578475	1.18013440218213	0.250489219811705	0.789281515606477	0.617793798400543	0.466692977028229	0.435629981206902	0.451220169685999	0.343849974516079
LN4	0.306828326873016	0.756809711593326	0.789628796843279	0	0.350514068914839	0.899809309397126	0.346490085698861	0.835846969577134	1.0471975511966	1.08473790530064	0.785446655905744	1.07916158018711	0.96141399750299	1.03753078428966	1.42380220449856	1.24929303691229	1.08066168991945	1.33931429001955	1.08405052630583	0.944077183508107	0.865348735299335	1.15732630526835	1.18989002320129	1.24036211341805	1.08766982217636	1.26502101479168	1.33383252266406	1.17281076129621	0.872204438987917	0.782329136797127	1.30548733247219	1.2284915258773	0.918611335722743	0.850787073750947	1.02900426327026	0.869202140014659
LN5	0.287525919363942	0.809781004587486	0.837034558221348	0.350514068914839	0	0.958212421414917	0.55582139500463	0.909439279461381	1.0471975511966	1.18411796518342	0.825905508991685	1.12953113020986	1.04311355949668	1.12325732135917	1.54649608518798	1.31563817850556	1.17423706367409	1.51559383784645	1.16265009537285	1.04009876165184	0.91074007287356	1.22684648028278	1.23797756510903	1.36215215052647	1.15359189976787	1.32753564610877	1.40485348481569	1.2434807219491	0.86548586914189	0.831957608303798	1.37661933336743	1.29733711553838	1.01501178013258	0.957017459195423	1.09885406032039	0.951868236354244
LN6	1.00639078830159	0.840623956307959	0.414936531658897	0.899809309397126	0.958212421414917	0	0.782515764903965	0.371363582408072	1.0471975511966	0.554254863852182	0.385346400850715	0.590916540072888	0.405383841545297	0.468406421691584	0.912102253510956	0.603795949974851	0.593446957184389	0.971155041309766	0.458819065918	0.501708437836472	0.360036766328786	0.508810376316294	0.52213596608355	0.733366985178948	0.491443655900791	0.668904188409792	0.779015158240364	0.474535595453295	1.30186047417608	0.433453226068952	0.741787795012632	0.559924768437693	0.451397823130004	0.399132113386465	0.519066223201698	0.418366604301558
LN7	0.447253869236608	0.746466086682253	0.785389055989095	0.346490085698861	0.55582139500463	0.782515764903965	0	0.776662369439666	1.0471975511966	1.00859200238034	0.773468168575273	1.02042750516119	0.880403314437636	0.949716695847869	1.30820953319197	1.1526382362159	0.975521439938737	1.23750854098228	0.989103572924232	0.864305117757702	0.841238542683786	1.0405527830741	1.10560158326569	1.13426658769491	0.999092190254866	1.16501963213329	1.23507456073847	1.069445466058	0.967144928421021	0.773070430121496	1.18815960746876	1.13870454396089	0.787536363084918	0.752016150013512	0.972463661069434	0.824455445972548
LN8	0.973385665373675	0.727368300939755	0.370122565050284	0.835846969577134	0.909439279461381	0.371363582408072	0.776662369439666	0	1.0471975511966	0.425714245699185	0.263557884132462	0.436038847715958	0.337193332808572	0.435359336261593	0.855740386704971	0.52040925847998	0.450556743413954	0.849404315917642	0.446146409659276	0.373872490588329	0.262272642759839	0.465461943815645	0.483969147922384	0.623239123948221	0.368013322402351	0.588291969337707	0.707274345709408	0.451082767741769	1.1850122738224	0.3264079626256	0.683889455504213	0.532891611262926	0.343115832310418	0.309028651003929	0.431667252490476	0.302261756140502
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	1.24145658178979	0.844030639404837	0.509065769703162	1.08473790530064	1.18411796518342	0.554254863852182	1.00859200238034	0.425714245699185	1.0471975511966	0	0.463648022332801	0.472212823793286	0.325518469020088	0.316020250079461	0.706347744356273	0.378005129297634	0.335660819412291	0.716960058561602	0.430890432733959	0.327139428880182	0.413797732683568	0.359783021120101	0.414285542180018	0.475640836472184	0.257529141114092	0.424636695366794	0.550602063502652	0.392281128831719	1.32048579098521	0.518651123171543	0.532304218538403	0.455925012551296	0.359074285156219	0.376170868503554	0.439437187887154	0.394710219179749
