	LN1	LN10	LN11	LN2	LN3	LN4	LN5	LN6	LN7	LN8	LN9	Normal1	PT1	PT2	PT3	PT4
LN1	0	0.616476178948119	0.403713808214562	0.551198846338725	0.516508174763331	0.321848360153838	0.836592479132942	0.619376493865178	0.728048837014491	0.840995141460155	1.136195088131	1.0471975511966	0.400622536467557	0.403891300603608	0.28924035924372	0.637618745015476
LN10	0.616476178948119	0	0.658751786704	0.286919247411877	0.379651640440927	0.453255997718601	0.313918340818693	0.187994049974159	0.434137852237607	0.424972285903854	0.580357439595308	1.0471975511966	0.754945842294553	0.758595504967096	0.684294806999372	0.848743143930654
LN11	0.403713808214562	0.658751786704	0	0.581293520049022	0.534872552798904	0.414196366481652	0.841337846637041	0.645756025345556	0.719872577164133	0.890127322399101	1.11114180744333	1.0471975511966	0.493277868778134	0.501060390953908	0.463106865041963	0.642274393273486
LN2	0.551198846338725	0.286919247411877	0.581293520049022	0	0.296436284512644	0.370638855523853	0.438920101748576	0.297853411436692	0.440183843225984	0.511158393559706	0.701349784930761	1.0471975511966	0.679559607416716	0.635477287310532	0.602736412262521	0.773174061523951
LN3	0.516508174763331	0.379651640440927	0.534872552798904	0.296436284512644	0	0.362323586300033	0.483292038815992	0.361636774003702	0.4531579586505	0.624545559171904	0.793960576400721	1.0471975511966	0.58724767854738	0.593286174265365	0.589858660119465	0.635568797210262
LN4	0.321848360153838	0.453255997718601	0.414196366481652	0.370638855523853	0.362323586300033	0	0.698382528154893	0.438204291816669	0.613165138504126	0.783872575220651	0.995266160393533	1.0471975511966	0.516929803200578	0.519168150515786	0.395446042583281	0.645964947542036
LN5	0.836592479132942	0.313918340818693	0.841337846637041	0.438920101748576	0.483292038815992	0.698382528154893	0	0.324307544558225	0.436353307983576	0.35962295529826	0.332764911516256	1.0471975511966	0.928099451684205	0.921962363787632	0.929395802468097	0.978271702287972
LN6	0.619376493865178	0.187994049974159	0.645756025345556	0.297853411436692	0.361636774003702	0.438204291816669	0.324307544558225	0	0.408592096018083	0.505888248407327	0.591050362289667	1.0471975511966	0.766358596076634	0.774765995620109	0.720495001690562	0.846431759291251
LN7	0.728048837014491	0.434137852237607	0.719872577164133	0.440183843225984	0.4531579586505	0.613165138504126	0.436353307983576	0.408592096018083	0	0.536400489894897	0.607623244442924	1.0471975511966	0.6784271783402	0.666495246239896	0.781499718424835	0.682217068674884
LN8	0.840995141460155	0.424972285903854	0.890127322399101	0.511158393559706	0.624545559171904	0.783872575220651	0.35962295529826	0.505888248407327	0.536400489894897	0	0.472686139276119	1.0471975511966	0.908610778141632	0.892610017706145	0.889793021075655	1.02020304515862
LN9	1.136195088131	0.580357439595308	1.11114180744333	0.701349784930761	0.793960576400721	0.995266160393533	0.332764911516256	0.591050362289667	0.607623244442924	0.472686139276119	0	1.0471975511966	1.19502852177332	1.17706548325247	1.20894755162917	1.21174611026678
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.400622536467557	0.754945842294553	0.493277868778134	0.679559607416716	0.58724767854738	0.516929803200578	0.928099451684205	0.766358596076634	0.6784271783402	0.908610778141632	1.19502852177332	1.0471975511966	0	0.180843572203484	0.33993102237241	0.331248319031535
PT2	0.403891300603608	0.758595504967096	0.501060390953908	0.635477287310532	0.593286174265365	0.519168150515786	0.921962363787632	0.774765995620109	0.666495246239896	0.892610017706145	1.17706548325247	1.0471975511966	0.180843572203484	0	0.35178872298152	0.390178503398473
PT3	0.28924035924372	0.684294806999372	0.463106865041963	0.602736412262521	0.589858660119465	0.395446042583281	0.929395802468097	0.720495001690562	0.781499718424835	0.889793021075655	1.20894755162917	1.0471975511966	0.33993102237241	0.35178872298152	0	0.570696512846975
PT4	0.637618745015476	0.848743143930654	0.642274393273486	0.773174061523951	0.635568797210262	0.645964947542036	0.978271702287972	0.846431759291251	0.682217068674884	1.02020304515862	1.21174611026678	1.0471975511966	0.331248319031535	0.390178503398473	0.570696512846975	0
