	Liv1a	Liv1b	LN1	Normal1	PT1	PT2	PT3	PT4
Liv1a	0	0.821229022192733	1.68710071080709	1.0471975511966	0.739639022622766	0.77498864848666	1.44737084957045	1.35220738076643
Liv1b	0.821229022192733	0	1.46506884851277	1.0471975511966	0.797094878499395	0.759427104129663	1.09005795271586	0.95788762612824
LN1	1.68710071080709	1.46506884851277	0	1.0471975511966	1.66748551463606	1.65655359854804	1.42848356181243	1.35369806647273
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.739639022622766	0.797094878499395	1.66748551463606	1.0471975511966	0	0.299295010113442	0.879363835930542	0.908925063990738
PT2	0.77498864848666	0.759427104129663	1.65655359854804	1.0471975511966	0.299295010113442	0	0.809797921099991	0.790627305882457
PT3	1.44737084957045	1.09005795271586	1.42848356181243	1.0471975511966	0.879363835930542	0.809797921099991	0	0.550948756692075
PT4	1.35220738076643	0.95788762612824	1.35369806647273	1.0471975511966	0.908925063990738	0.790627305882457	0.550948756692075	0
