	Liv1	Liv2	Liv3	Liv4	Liv5	Liv6	LN1	LN2	Normal1	PT1	PT2	PT3	PT4	PT5	PT6	PT7
Liv1	0	0.221493370378878	0.233805996039392	0.200333019146582	0.268026997485574	0.297239011796113	0.240368831786368	0.249451705990184	1.0471975511966	0.19923595244361	0.229832259158569	0.253388719338078	0.226745392010405	0.277256107938022	0.250928862040225	0.208123170030556
Liv2	0.221493370378878	0	0.212759159820419	0.222537921839132	0.201968283571211	0.198396252679818	0.190133284726851	0.257294991213625	1.0471975511966	0.140955227116927	0.162601959783293	0.170568111219635	0.158456593451513	0.163252001622507	0.186500105084936	0.248815364590097
Liv3	0.233805996039392	0.212759159820419	0	0.170809853864526	0.188808887280948	0.215491928796723	0.193885899798024	0.222948543874843	1.0471975511966	0.188707123132257	0.192525082222001	0.164465105987755	0.181369940353942	0.161665115373281	0.214888903803805	0.228287441096043
Liv4	0.200333019146582	0.222537921839132	0.170809853864526	0	0.202271258268536	0.237334112025839	0.17243022417417	0.173560007427286	1.0471975511966	0.160738048577569	0.164457775973273	0.179308141510725	0.1903357277474	0.186461816417102	0.181275862772949	0.231278522258884
Liv5	0.268026997485574	0.201968283571211	0.188808887280948	0.202271258268536	0	0.0658630809205558	0.183033902701165	0.205257825465168	1.0471975511966	0.128342920900591	0.170350024900479	0.11379581271292	0.158670386237808	0.153393328374213	0.195633200820447	0.247836926021248
Liv6	0.297239011796113	0.198396252679818	0.215491928796723	0.237334112025839	0.0658630809205558	0	0.189607396465263	0.225250075538992	1.0471975511966	0.138949829442126	0.177361449987761	0.125400856997507	0.169592371260356	0.157381157964708	0.195063075394647	0.278004238713111
LN1	0.240368831786368	0.190133284726851	0.193885899798024	0.17243022417417	0.183033902701165	0.189607396465263	0	0.221043103690394	1.0471975511966	0.147041295317294	0.158507854571746	0.161646962154869	0.128092132587759	0.19043968318821	0.157411597530404	0.271258682729422
LN2	0.249451705990184	0.257294991213625	0.222948543874843	0.173560007427286	0.205257825465168	0.225250075538992	0.221043103690394	0	1.0471975511966	0.177274884280014	0.218432495150752	0.187198796202148	0.228458785156499	0.211374113918231	0.223894040914237	0.28855833423957
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.19923595244361	0.140955227116927	0.188707123132257	0.160738048577569	0.128342920900591	0.138949829442126	0.147041295317294	0.177274884280014	1.0471975511966	0	0.13428930441398	0.119553851502134	0.111206485927298	0.138730335997103	0.143202229102671	0.220116722151568
PT2	0.229832259158569	0.162601959783293	0.192525082222001	0.164457775973273	0.170350024900479	0.177361449987761	0.158507854571746	0.218432495150752	1.0471975511966	0.13428930441398	0	0.139590761861062	0.130880650049427	0.155192281665426	0.0975506362935532	0.276264277634877
PT3	0.253388719338078	0.170568111219635	0.164465105987755	0.179308141510725	0.11379581271292	0.125400856997507	0.161646962154869	0.187198796202148	1.0471975511966	0.119553851502134	0.139590761861062	0	0.128443771073348	0.0962706888026247	0.173561755104135	0.236874062389459
PT4	0.226745392010405	0.158456593451513	0.181369940353942	0.1903357277474	0.158670386237808	0.169592371260356	0.128092132587759	0.228458785156499	1.0471975511966	0.111206485927298	0.130880650049427	0.128443771073348	0	0.144388001835954	0.141357010715326	0.240073183769071
PT5	0.277256107938022	0.163252001622507	0.161665115373281	0.186461816417102	0.153393328374213	0.157381157964708	0.19043968318821	0.211374113918231	1.0471975511966	0.138730335997103	0.155192281665426	0.0962706888026247	0.144388001835954	0	0.164058939329721	0.260380282636467
PT6	0.250928862040225	0.186500105084936	0.214888903803805	0.181275862772949	0.195633200820447	0.195063075394647	0.157411597530404	0.223894040914237	1.0471975511966	0.143202229102671	0.0975506362935532	0.173561755104135	0.141357010715326	0.164058939329721	0	0.293595407580412
PT7	0.208123170030556	0.248815364590097	0.228287441096043	0.231278522258884	0.247836926021248	0.278004238713111	0.271258682729422	0.28855833423957	1.0471975511966	0.220116722151568	0.276264277634877	0.236874062389459	0.240073183769071	0.260380282636467	0.293595407580412	0
