	Liv1a	Liv1b	Liv1c	LN1	LN2	LN3	LN4	LN5	Normal1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8
Liv1a	0	0.132340910625005	0.139856380368745	0.277151902123646	0.292940003937468	0.432300319996013	0.425557047349677	0.455770574278371	1.0471975511966	0.208972650568657	0.304338142155203	1.29485117405623	0.358522037166585	0.437815561258529	0.314928015093644	0.424384539381309	0.197403074080535
Liv1b	0.132340910625005	0	0.196452491820297	0.235448751500119	0.261948766877826	0.401814286952472	0.381929892949713	0.405992236742853	1.0471975511966	0.24272438146571	0.246896642328049	1.36773495343303	0.28848023324915	0.387431002543579	0.274244148926101	0.394978961864778	0.19169237812739
Liv1c	0.139856380368745	0.196452491820297	0	0.337409791380778	0.347881573773253	0.48363168981005	0.49863929853494	0.518781332226008	1.0471975511966	0.300421381205647	0.373067889981975	1.25743810472201	0.410854071536093	0.510327945719018	0.356669421557657	0.436328747608924	0.286955129786165
LN1	0.277151902123646	0.235448751500119	0.337409791380778	0	0.304773155938335	0.419661822304618	0.373342316214569	0.406724411104761	1.0471975511966	0.286570211962624	0.307959015385422	1.35428091241793	0.318155740432175	0.366006633319915	0.25140111282337	0.42064078988521	0.22732861702716
LN2	0.292940003937468	0.261948766877826	0.347881573773253	0.304773155938335	0	0.202220221778329	0.205045951773285	0.232669596399588	1.0471975511966	0.241353296289625	0.355028326650221	1.44659773726062	0.163096928185325	0.229449472317907	0.205064415806	0.366701898807823	0.317367844672186
LN3	0.432300319996013	0.401814286952472	0.48363168981005	0.419661822304618	0.202220221778329	0	0.185729248840708	0.179261533550127	1.0471975511966	0.380541819847227	0.47688658991437	1.49461028222992	0.211305536679528	0.206458687152716	0.278231591606555	0.454224606444559	0.441793203798667
LN4	0.425557047349677	0.381929892949713	0.49863929853494	0.373342316214569	0.205045951773285	0.185729248840708	0	0.0952740172893786	1.0471975511966	0.356642979148796	0.416595618259066	1.54907381888758	0.177180871983701	0.108711689415627	0.245229036335797	0.399560774289303	0.391637984548916
LN5	0.455770574278371	0.405992236742853	0.518781332226008	0.406724411104761	0.232669596399588	0.179261533550127	0.0952740172893786	0	1.0471975511966	0.404624002111297	0.447090049395026	1.53363273708227	0.163696717720023	0.149530444939342	0.293092700933756	0.386215161919718	0.434222066190148
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.208972650568657	0.24272438146571	0.300421381205647	0.286570211962624	0.241353296289625	0.380541819847227	0.356642979148796	0.404624002111297	1.0471975511966	0	0.294190346069018	1.38365278346711	0.326227277346942	0.364705182338867	0.306213340987623	0.469313311738753	0.194861922109691
PT2	0.304338142155203	0.246896642328049	0.373067889981975	0.307959015385422	0.355028326650221	0.47688658991437	0.416595618259066	0.447090049395026	1.0471975511966	0.294190346069018	0	1.47282394551447	0.352954866615287	0.396290524663655	0.346453562790702	0.484201680592223	0.182678177241674
PT3	1.29485117405623	1.36773495343303	1.25743810472201	1.35428091241793	1.44659773726062	1.49461028222992	1.54907381888758	1.53363273708227	1.0471975511966	1.38365278346711	1.47282394551447	0	1.49842817702697	1.58302117196723	1.45999394337661	1.37755197484704	1.39555197594243
PT4	0.358522037166585	0.28848023324915	0.410854071536093	0.318155740432175	0.163096928185325	0.211305536679528	0.177180871983701	0.163696717720023	1.0471975511966	0.326227277346942	0.352954866615287	1.49842817702697	0	0.181033026059767	0.23620445156509	0.368131822869273	0.345426975600273
PT5	0.437815561258529	0.387431002543579	0.510327945719018	0.366006633319915	0.229449472317907	0.206458687152716	0.108711689415627	0.149530444939342	1.0471975511966	0.364705182338867	0.396290524663655	1.58302117196723	0.181033026059767	0	0.245412535174419	0.423477843192059	0.387290750017464
PT6	0.314928015093644	0.274244148926101	0.356669421557657	0.25140111282337	0.205064415806	0.278231591606555	0.245229036335797	0.293092700933756	1.0471975511966	0.306213340987623	0.346453562790702	1.45999394337661	0.23620445156509	0.245412535174419	0	0.407336100631162	0.291183762524961
PT7	0.424384539381309	0.394978961864778	0.436328747608924	0.42064078988521	0.366701898807823	0.454224606444559	0.399560774289303	0.386215161919718	1.0471975511966	0.469313311738753	0.484201680592223	1.37755197484704	0.368131822869273	0.423477843192059	0.407336100631162	0	0.48591760215573
PT8	0.197403074080535	0.19169237812739	0.286955129786165	0.22732861702716	0.317367844672186	0.441793203798667	0.391637984548916	0.434222066190148	1.0471975511966	0.194861922109691	0.182678177241674	1.39555197594243	0.345426975600273	0.387290750017464	0.291183762524961	0.48591760215573	0
