	Liv1	LN1	LN2	LN3	LN4	Normal1	Per1	Per2	Per3a	Per3b	Per3c	PTa1	PTa2	PTb1	PTb2	PTb3	PTb4	PTb5	PTb6	TD1
Liv1	0	0.299037931155503	0.398635432156944	0.332232312335039	0.337717178966402	1.0471975511966	0.385144802735567	0.453200228024239	0.358799996395044	0.342343139709394	0.236030035472906	0.485976992044148	0.364340111227264	0.210264258720099	0.339565244320632	0.372995100494627	0.273021003834191	0.228534617686413	0.300980235077532	0.276609273361809
LN1	0.299037931155503	0	0.351117133669841	0.230853420386399	0.40844025015876	1.0471975511966	0.433653555620241	0.496534370836626	0.276927095993729	0.403872786117735	0.394501444725095	0.377016335468362	0.256505369840221	0.374109112994708	0.418869684947917	0.445653935521526	0.37030024586439	0.34858104939171	0.429240610452606	0.34420334913005
LN2	0.398635432156944	0.351117133669841	0	0.313774400354007	0.576628875883934	1.0471975511966	0.298942182251206	0.307221980554082	0.378701369236646	0.288790327506362	0.455129048589954	0.384534305551434	0.334669222291974	0.44876824249457	0.273479604312612	0.333694246123204	0.300649332006397	0.332491694000015	0.404737280377116	0.291488684740295
LN3	0.332232312335039	0.230853420386399	0.313774400354007	0	0.498387667580187	1.0471975511966	0.348252353039061	0.408046314290215	0.293167632153738	0.313214289205741	0.344725812223878	0.319679446292957	0.245658823722098	0.370946239744051	0.342408653409978	0.366172237684427	0.304191521163127	0.326813218817338	0.371290786507803	0.294793765417009
LN4	0.337717178966402	0.40844025015876	0.576628875883934	0.498387667580187	0	1.0471975511966	0.627785249132083	0.720982273284025	0.525506341166905	0.569199255790246	0.434575499954454	0.68491512649017	0.547325551377992	0.429387917619807	0.601841831481045	0.611565264912289	0.531416401748809	0.490000882796969	0.557122550510106	0.525362744713163
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.385144802735567	0.433653555620241	0.298942182251206	0.348252353039061	0.627785249132083	1.0471975511966	0	0.193790591685983	0.399080433273471	0.103937855974849	0.319088650062467	0.39890032061545	0.396159048532789	0.333111714353151	0.108223961602122	0.181545289607815	0.146880216133021	0.216047206374735	0.224421320824628	0.141380566952001
Per2	0.453200228024239	0.496534370836626	0.307221980554082	0.408046314290215	0.720982273284025	1.0471975511966	0.193790591685983	0	0.451501826172442	0.236026849998606	0.417770774812508	0.407361266364566	0.43787086855735	0.455830057026109	0.213622696864882	0.224356031297294	0.251554701853899	0.322835553536836	0.320581474958374	0.271648394522328
Per3a	0.358799996395044	0.276927095993729	0.378701369236646	0.293167632153738	0.525506341166905	1.0471975511966	0.399080433273471	0.451501826172442	0	0.36593503067156	0.386644313328651	0.299986288386444	0.184462975364639	0.389885994338145	0.393258672765697	0.418989950020051	0.365401733163333	0.349794375627499	0.390997441975084	0.321841646465052
Per3b	0.342343139709394	0.403872786117735	0.288790327506362	0.313214289205741	0.569199255790246	1.0471975511966	0.103937855974849	0.236026849998606	0.36593503067156	0	0.283097306912179	0.397399481620542	0.374404210316286	0.31414216563777	0.120905381842254	0.214137054108331	0.140609835496446	0.197667331570814	0.187764720729708	0.132203569866473
Per3c	0.236030035472906	0.394501444725095	0.455129048589954	0.344725812223878	0.434575499954454	1.0471975511966	0.319088650062467	0.417770774812508	0.386644313328651	0.283097306912179	0	0.479232097375274	0.42778083220083	0.207680179348193	0.313727490431565	0.327361700456147	0.242335373083418	0.24261522417322	0.241993432676058	0.253512269738622
PTa1	0.485976992044148	0.377016335468362	0.384534305551434	0.319679446292957	0.68491512649017	1.0471975511966	0.39890032061545	0.407361266364566	0.299986288386444	0.397399481620542	0.479232097375274	0	0.206636009328526	0.535513478113825	0.426294173787451	0.442449981707392	0.431573507830573	0.452346194052894	0.469201075213883	0.398655133587836
PTa2	0.364340111227264	0.256505369840221	0.334669222291974	0.245658823722098	0.547325551377992	1.0471975511966	0.396159048532789	0.43787086855735	0.184462975364639	0.374404210316286	0.42778083220083	0.206636009328526	0	0.435397191559727	0.396524311528819	0.427241072900616	0.378984040025896	0.379328054123744	0.436533148114752	0.338306797166002
PTb1	0.210264258720099	0.374109112994708	0.44876824249457	0.370946239744051	0.429387917619807	1.0471975511966	0.333111714353151	0.455830057026109	0.389885994338145	0.31414216563777	0.207680179348193	0.535513478113825	0.435397191559727	0	0.295490850770398	0.322916850897885	0.218965497796598	0.162639640966257	0.23780835589297	0.219216442298389
PTb2	0.339565244320632	0.418869684947917	0.273479604312612	0.342408653409978	0.601841831481045	1.0471975511966	0.108223961602122	0.213622696864882	0.393258672765697	0.120905381842254	0.313727490431565	0.426294173787451	0.396524311528819	0.295490850770398	0	0.195371982647671	0.110665417476477	0.165965331067369	0.190373790543502	0.123667588419601
PTb3	0.372995100494627	0.445653935521526	0.333694246123204	0.366172237684427	0.611565264912289	1.0471975511966	0.181545289607815	0.224356031297294	0.418989950020051	0.214137054108331	0.327361700456147	0.442449981707392	0.427241072900616	0.322916850897885	0.195371982647671	0	0.174362401382602	0.213056333478916	0.250747524163523	0.192578114246991
PTb4	0.273021003834191	0.37030024586439	0.300649332006397	0.304191521163127	0.531416401748809	1.0471975511966	0.146880216133021	0.251554701853899	0.365401733163333	0.140609835496446	0.242335373083418	0.431573507830573	0.378984040025896	0.218965497796598	0.110665417476477	0.174362401382602	0	0.106174395394173	0.169074883463802	0.072352044014057
PTb5	0.228534617686413	0.34858104939171	0.332491694000015	0.326813218817338	0.490000882796969	1.0471975511966	0.216047206374735	0.322835553536836	0.349794375627499	0.197667331570814	0.24261522417322	0.452346194052894	0.379328054123744	0.162639640966257	0.165965331067369	0.213056333478916	0.106174395394173	0	0.144612808009522	0.10392007732095
PTb6	0.300980235077532	0.429240610452606	0.404737280377116	0.371290786507803	0.557122550510106	1.0471975511966	0.224421320824628	0.320581474958374	0.390997441975084	0.187764720729708	0.241993432676058	0.469201075213883	0.436533148114752	0.23780835589297	0.190373790543502	0.250747524163523	0.169074883463802	0.144612808009522	0	0.179468626804137
