	Liv1a	Liv1b	LN1	LN2	Normal1	PT1	PT2	PT3
Liv1a	0	0.153134424654973	0.352797496025908	0.477940860182216	1.0471975511966	0.411743854675648	0.214569419192822	0.349980061149554
Liv1b	0.153134424654973	0	0.398804817697542	0.508995981140213	1.0471975511966	0.44393447514039	0.300261286469709	0.405968283148774
LN1	0.352797496025908	0.398804817697542	0	0.560343201286621	1.0471975511966	0.503753264887791	0.217548065183882	0.359936291441882
LN2	0.477940860182216	0.508995981140213	0.560343201286621	0	1.0471975511966	0.424364877393154	0.508609332736052	0.513055083708158
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.411743854675648	0.44393447514039	0.503753264887791	0.424364877393154	1.0471975511966	0	0.452214376715408	0.252194076306503
PT2	0.214569419192822	0.300261286469709	0.217548065183882	0.508609332736052	1.0471975511966	0.452214376715408	0	0.332137219921848
PT3	0.349980061149554	0.405968283148774	0.359936291441882	0.513055083708158	1.0471975511966	0.252194076306503	0.332137219921848	0
