	Liv1	LN1	LN2	Normal1	Per1	Per2	Per3	Per4	Per5	Per6	Per7	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1a	TD1b	TD2	TD3
Liv1	0	0.340414352549509	0.312211228760909	1.0471975511966	0.280416368279017	0.809863416580339	0.381855201642009	0.254660752382682	0.26125302606081	0.330035771122805	0.328215101427097	0.399059970137378	0.420019372281118	0.430029898607977	0.730873841565529	0.644758580503318	0.26261624321509	0.311429668552841	0.760461182785018	0.71046598900023	0.674181923478989	0.298943165874407	0.289937824453142	0.282219041067563	0.24344397451385
LN1	0.340414352549509	0	0.235721071225822	1.0471975511966	0.397599163584191	0.908178991921436	0.413991618435299	0.41066621752137	0.366501523476251	0.305854728420695	0.402250612461245	0.343745214057992	0.584013462790294	0.474464915262957	0.879405058149882	0.799178441212882	0.341095733446661	0.421809650701452	0.854788338429001	0.774148207856039	0.75467818344487	0.354905890612921	0.364194557198992	0.419858593680159	0.223452822257273
LN2	0.312211228760909	0.235721071225822	0	1.0471975511966	0.298687471235225	0.837370944878732	0.401303151664502	0.388340785037218	0.327301621921526	0.283320226788463	0.408444039632611	0.368695355844231	0.488785034474154	0.406732068915054	0.7837898164708	0.714369573114697	0.259628006554093	0.367352814206694	0.808404748691208	0.755908833608847	0.735796212855331	0.273663710623023	0.290498045145241	0.311713756534678	0.238870695090337
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.280416368279017	0.397599163584191	0.298687471235225	1.0471975511966	0	0.77272081018436	0.393408353182117	0.340063198442729	0.276299242430057	0.33520774867743	0.488159860223738	0.398772815903045	0.401330069987907	0.32365088427519	0.69526336779599	0.660751384006043	0.218587282303876	0.33431360521491	0.778630003638417	0.720868986506752	0.696550013119225	0.228829389390003	0.176974138719994	0.166686737052363	0.323572764543368
Per2	0.809863416580339	0.908178991921436	0.837370944878732	1.0471975511966	0.77272081018436	0	0.837078821846911	0.818513623384607	0.816635590168023	0.809533608403238	0.915922972302934	0.821217746510311	0.755415429427405	0.783075728893128	0.862639075049244	0.842856920983162	0.749916856095805	0.77733910954434	0.886095668645492	0.891440874240939	0.845760530065019	0.767351236845145	0.788595231547396	0.769232395372911	0.833750043526726
Per3	0.381855201642009	0.413991618435299	0.401303151664502	1.0471975511966	0.393408353182117	0.837078821846911	0	0.391056173944709	0.33125500618233	0.320297206965827	0.465110452141202	0.39406860883293	0.521120321619392	0.431396590936938	0.743275283073662	0.700553045843785	0.351359558167602	0.392621310242229	0.772955454167047	0.763569021340437	0.781193241604716	0.323015193341117	0.382922372078411	0.384305116849449	0.350416280856791
Per4	0.254660752382682	0.41066621752137	0.388340785037218	1.0471975511966	0.340063198442729	0.818513623384607	0.391056173944709	0	0.283029579444096	0.391454648022988	0.394425131922933	0.445962541406721	0.441936719458693	0.436393455570788	0.718816901524315	0.641111280725289	0.297659951332737	0.346966541187351	0.796433991732188	0.768979500337846	0.771675837911515	0.357198108222039	0.397759828226774	0.330663376277509	0.336632615870606
Per5	0.26125302606081	0.366501523476251	0.327301621921526	1.0471975511966	0.276299242430057	0.816635590168023	0.33125500618233	0.283029579444096	0	0.323936004940723	0.373068387454971	0.380699297142661	0.420035633447937	0.350348989978567	0.698359913166755	0.636237551170332	0.211611058529089	0.310039973896089	0.782335024278141	0.747166324911008	0.715993660980607	0.264948942593696	0.312878873992258	0.243054821921597	0.302365119324182
Per6	0.330035771122805	0.305854728420695	0.283320226788463	1.0471975511966	0.33520774867743	0.809533608403238	0.320297206965827	0.391454648022988	0.323936004940723	0	0.418247297413944	0.265401188573121	0.45681577481576	0.360038780184954	0.709846386739018	0.650029285666894	0.240164825592569	0.303325878128645	0.683674117711426	0.63361542577466	0.660176323413979	0.230981265581625	0.284839574957912	0.355290532886985	0.193898086621136
