	LN1	LN2	LN3	LN4	LN5	LN6	LN7	LN8	LN9	Normal1	PT1	PT2	PT3	PT4	PT5	PT6
LN1	0	0.532844039393011	0.632286355134169	0.579670406111038	0.692134234492769	0.597267362944155	0.699232499406198	0.618478364896655	0.629963226989226	1.0471975511966	0.728722417382462	0.6108719838619	0.517331685487065	0.56636847986868	0.497771839641786	0.563854720675912
LN2	0.532844039393011	0	0.425536631166026	0.336450826121095	0.297379492475625	0.621798051099847	0.583143990093514	0.666270132377444	0.213223335716334	1.0471975511966	0.587755436714566	0.513814970512948	0.227585362385884	0.174905362288456	0.411390815969	0.460745472136028
LN3	0.632286355134169	0.425536631166026	0	0.352304377253566	0.339301663995955	0.652467637512617	0.572992581996717	0.676918531458687	0.484101811267341	1.0471975511966	0.587137204938611	0.402645129296206	0.506481518148566	0.508965997442266	0.650445166753663	0.453651478993466
LN4	0.579670406111038	0.336450826121095	0.352304377253566	0	0.353373298943951	0.533911463342669	0.507244897161067	0.620381909676375	0.354387416021406	1.0471975511966	0.690130019936028	0.517932999595941	0.403398902763499	0.359293332162161	0.541322868547726	0.522825432511027
LN5	0.692134234492769	0.297379492475625	0.339301663995955	0.353373298943951	0	0.60768071448533	0.496596184974589	0.712623349684428	0.286360805472069	1.0471975511966	0.559890466657445	0.397318357250971	0.375038683931325	0.355908214998617	0.58525468767187	0.51529416281498
LN6	0.597267362944155	0.621798051099847	0.652467637512617	0.533911463342669	0.60768071448533	0	0.379680996080642	0.609324731566052	0.600941753876613	1.0471975511966	0.723878014340882	0.526224771164167	0.593291262020533	0.594070035855147	0.665035567222495	0.638344749200454
LN7	0.699232499406198	0.583143990093514	0.572992581996717	0.507244897161067	0.496596184974589	0.379680996080642	0	0.619059406380188	0.530850525032561	1.0471975511966	0.779756892130496	0.472593397825496	0.553040559996033	0.577334134453662	0.626446372941458	0.535981980889681
LN8	0.618478364896655	0.666270132377444	0.676918531458687	0.620381909676375	0.712623349684428	0.609324731566052	0.619059406380188	0	0.699003713987992	1.0471975511966	0.823012454589338	0.657155863108797	0.711929882344961	0.729452930244176	0.713132880950544	0.540108119732877
LN9	0.629963226989226	0.213223335716334	0.484101811267341	0.354387416021406	0.286360805472069	0.600941753876613	0.530850525032561	0.699003713987992	0	1.0471975511966	0.656645212835248	0.544045235931741	0.323073031592184	0.230282645471368	0.472781260438054	0.522939307123087
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.728722417382462	0.587755436714566	0.587137204938611	0.690130019936028	0.559890466657445	0.723878014340882	0.779756892130496	0.823012454589338	0.656645212835248	1.0471975511966	0	0.521187440833872	0.688776153011566	0.661585086704369	0.859972598725718	0.641951908462921
PT2	0.6108719838619	0.513814970512948	0.402645129296206	0.517932999595941	0.397318357250971	0.526224771164167	0.472593397825496	0.657155863108797	0.544045235931741	1.0471975511966	0.521187440833872	0	0.560444804330371	0.583353615857184	0.717910052117738	0.438138670718975
PT3	0.517331685487065	0.227585362385884	0.506481518148566	0.403398902763499	0.375038683931325	0.593291262020533	0.553040559996033	0.711929882344961	0.323073031592184	1.0471975511966	0.688776153011566	0.560444804330371	0	0.199122788787926	0.281680495891885	0.522800495084955
PT4	0.56636847986868	0.174905362288456	0.508965997442266	0.359293332162161	0.355908214998617	0.594070035855147	0.577334134453662	0.729452930244176	0.230282645471368	1.0471975511966	0.661585086704369	0.583353615857184	0.199122788787926	0	0.370197809658143	0.529220298832862
PT5	0.497771839641786	0.411390815969	0.650445166753663	0.541322868547726	0.58525468767187	0.665035567222495	0.626446372941458	0.713132880950544	0.472781260438054	1.0471975511966	0.859972598725718	0.717910052117738	0.281680495891885	0.370197809658143	0	0.584702619499642
PT6	0.563854720675912	0.460745472136028	0.453651478993466	0.522825432511027	0.51529416281498	0.638344749200454	0.535981980889681	0.540108119732877	0.522939307123087	1.0471975511966	0.641951908462921	0.438138670718975	0.522800495084955	0.529220298832862	0.584702619499642	0
