	Ld1	LN1	LN2	LN3	LN4	Normal1	OvH1	Per10	Per1a	Per1b	Per2a	Per2b	Per2c	Per3	Per4a	Per4b	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PT1	PT10	PT11	PT12	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Ld1	0	0.257646275153934	0.429746959101002	0.52692867013496	0.157094152430964	1.0471975511966	0.395129960543844	0.448992695594041	0.751068192102612	0.25436907163304	0.254142563490682	0.285842473125761	0.552108753873403	0.258049605757197	0.158601927476582	0.150522033290721	0.276316465098809	0.259237673578024	0.558764249344716	0.345426158030021	0.437477193115039	0.790942920806752	0.291522727862362	0.275594774597929	0.289429820971942	0.183402236543821	0.268159293445306	0.214534095497608	0.242445864122136	0.218899550196698	0.451926039937612	0.277260308919733	0.153376641078151	0.242673925184875	0.23568899246993	0.207980801102985
LN1	0.257646275153934	0	0.420220572953609	0.471959005000363	0.24632752226675	1.0471975511966	0.347687905295823	0.443962359490012	0.705815532720555	0.253100398235519	0.172881715929508	0.293238850086457	0.547775706805248	0.307706131726301	0.310423847223262	0.212133502083115	0.276784749220991	0.248373232632498	0.571445298097412	0.321539225322154	0.303920724060207	0.774571042177928	0.247210338766723	0.238108419680848	0.339219721519844	0.25284198560352	0.306099743349427	0.303425649646324	0.310537300543088	0.345442061011751	0.362456988287446	0.334396874412502	0.306221058311453	0.309772592284409	0.284086549674766	0.291037744415789
LN2	0.429746959101002	0.420220572953609	0	0.656189083623964	0.43796020347817	1.0471975511966	0.556504045662187	0.643565933085588	0.741788188966704	0.502991578769717	0.469472562842641	0.541328428908825	0.734884662496112	0.509362044727584	0.464831589700856	0.455680249661557	0.501401374315418	0.510692448131779	0.743326913197716	0.550757150159237	0.567007558211773	0.932126023691877	0.512435051145737	0.405731604509567	0.549842713225138	0.507819663418326	0.551756438016426	0.505461632702213	0.535478974868704	0.542902074412233	0.63049845018537	0.518523381664901	0.501346104348698	0.516380416427614	0.51083480576156	0.535754298230152
LN3	0.52692867013496	0.471959005000363	0.656189083623964	0	0.498165283353032	1.0471975511966	0.607046554895861	0.308316760996879	0.907408870749749	0.377540148766385	0.527425316078698	0.425300688955499	0.772805011621819	0.546884094304878	0.526000566646612	0.490395066121235	0.4788058006749	0.553071183191423	0.851589344338509	0.496087088937456	0.518208309526325	0.984759355909349	0.415899678699236	0.427039260390394	0.480016170508057	0.463127933601155	0.362511408131261	0.493572667523353	0.471348920430547	0.52116382301605	0.690390895809098	0.568746062022189	0.491062791889204	0.435137150221107	0.471429334992648	0.433929119441066
LN4	0.157094152430964	0.24632752226675	0.43796020347817	0.498165283353032	0	1.0471975511966	0.390829667742012	0.414259358990927	0.781313976849821	0.246524822322438	0.23194373465188	0.264046926581611	0.495910012422585	0.226064263454888	0.108260821682525	0.109146214255291	0.246864916055016	0.254157771541134	0.524163023737819	0.293328259443697	0.411484933446839	0.734494535529373	0.307505984765019	0.28922577103713	0.290122331340773	0.240684271316339	0.302032276006873	0.262680896707343	0.26761474949604	0.265867976493812	0.485889562006407	0.31541867387379	0.237256240408697	0.246241082658992	0.240880651363795	0.193631839716985
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1	0.395129960543844	0.347687905295823	0.556504045662187	0.607046554895861	0.390829667742012	1.0471975511966	0	0.55691386384654	0.67320211377726	0.391235638762788	0.368098982055329	0.316322348897405	0.494615580665806	0.295214424913971	0.42856678944372	0.395683951698124	0.244030244903734	0.371536537988923	0.489977349723932	0.325074955154653	0.346674429746557	0.728926496561993	0.424292808591544	0.40212408687527	0.410362765151013	0.443448266336039	0.495751239846327	0.421465857399786	0.388144610871231	0.408522074146517	0.531733884377122	0.35746294278932	0.403453023348528	0.399993594088567	0.378785576259815	0.440990458721287
Per10	0.448992695594041	0.443962359490012	0.643565933085588	0.308316760996879	0.414259358990927	1.0471975511966	0.55691386384654	0	0.852542750034897	0.322303302999318	0.425429093198822	0.389554186061444	0.627059373035647	0.476202255603934	0.441993681758836	0.410851902502026	0.428528407135571	0.440851977542469	0.711492777449501	0.455604883431571	0.469890537733011	0.7974344704609	0.389879824854878	0.422819730929443	0.453100958886606	0.405971162707613	0.367613013923735	0.455517285115422	0.43091851173981	0.4738859327769	0.633768223624478	0.544998604580112	0.42331705436211	0.35890587838519	0.44618950243607	0.368812822492987
Per1a	0.751068192102612	0.705815532720555	0.741788188966704	0.907408870749749	0.781313976849821	1.0471975511966	0.67320211377726	0.852542750034897	0	0.8170064086049	0.718075323084214	0.780028397169166	0.919962792141025	0.754569232092193	0.787010569040357	0.753828452639832	0.742776266698392	0.773468192003765	0.84887558212128	0.795562791466491	0.580548235366779	1.05097811061709	0.767654641034533	0.766028268352828	0.881687803834009	0.809668736713336	0.812025840963679	0.721353650921404	0.817275372894713	0.863381164939126	0.833815273998192	0.850315710809553	0.777478461021203	0.772966235759438	0.836063438430582	0.839489110328001
Per1b	0.25436907163304	0.253100398235519	0.502991578769717	0.377540148766385	0.246524822322438	1.0471975511966	0.391235638762788	0.322303302999318	0.8170064086049	0	0.268627214640562	0.268296045473696	0.571905206218642	0.30733641088954	0.269284415205054	0.217029492959824	0.245505399773599	0.299903084326206	0.634051047671405	0.317659033955647	0.402830479313435	0.799724437667703	0.19096859237532	0.274080347607325	0.317277506198886	0.21787860085078	0.256721825309884	0.295417946398915	0.29241865947267	0.304212328282105	0.462509064697692	0.345597109930017	0.277545596026184	0.272187265941288	0.283918287235584	0.2338506750246
