	Lun1	Lun2a	Lun2b	Lun2c	Normal1	PTb2	PTb3	PTb4	PTb1	PTb5
Lun1	0	0.43812266515153	0.382315650559209	0.261465064288356	1.0471975511966	0.386777512482658	0.49106156918922	0.409939755051275	0.321895146374584	0.462771078214513
Lun2a	0.43812266515153	0	0.161180323555087	0.309033941662133	1.0471975511966	0.343958756780222	0.636335089892014	0.435534870443742	0.475709598150084	0.438894318226243
Lun2b	0.382315650559209	0.161180323555087	0	0.22520370038658	1.0471975511966	0.329120296336619	0.582834286560407	0.391452577084113	0.425338281404125	0.429065258831322
Lun2c	0.261465064288356	0.309033941662133	0.22520370038658	0	1.0471975511966	0.33376087756763	0.497489712941284	0.391754234939219	0.34337317864614	0.476906244136538
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PTb2	0.386777512482658	0.343958756780222	0.329120296336619	0.33376087756763	1.0471975511966	0	0.476364185241518	0.266483421497231	0.265609089155824	0.341517883152393
PTb3	0.49106156918922	0.636335089892014	0.582834286560407	0.497489712941284	1.0471975511966	0.476364185241518	0	0.481944295360199	0.405936925658716	0.702734247184947
PTb4	0.409939755051275	0.435534870443742	0.391452577084113	0.391754234939219	1.0471975511966	0.266483421497231	0.481944295360199	0	0.240766632673826	0.50289386977734
PTb1	0.321895146374584	0.475709598150084	0.425338281404125	0.34337317864614	1.0471975511966	0.265609089155824	0.405936925658716	0.240766632673826	0	0.483363805549217
PTb5	0.462771078214513	0.438894318226243	0.429065258831322	0.476906244136538	1.0471975511966	0.341517883152393	0.702734247184947	0.50289386977734	0.483363805549217	0
