	Liv1a	Liv1b	Liv2a	Liv2b	Liv3a	Liv3b	LN1	Normal1	OvH1	Per1	Per2	Per3	Per4	Per5a	Per5b	Per5c	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1
Liv1a	0	0.378718167577679	0.307150261022024	0.267953774807806	0.287053632313753	0.317597604264736	0.418357434501404	1.0471975511966	0.315907368834646	0.351135903996561	0.395006104207884	0.384949488475742	0.296594952557359	0.307588441318275	0.324538853165466	0.611699449047536	0.368603643514512	0.327918183598555	0.325574732994745	0.405963562747978	0.519847520138378	0.338093160381115	0.445631078349442	0.318082190370112	0.429934470723437	0.523142271225278
Liv1b	0.378718167577679	0	0.414801958492205	0.44522114611353	0.47248518319948	0.501574829274569	0.517123462846568	1.0471975511966	0.44748407849142	0.514933848020796	0.464408107301524	0.458665464908651	0.461545054154835	0.493955731028721	0.505419300554749	0.654935826202771	0.487945319964783	0.433506552083253	0.494223270188144	0.547501233055154	0.598218977610335	0.455869333017727	0.494660163104533	0.444678806068262	0.445642095518585	0.417497211313582
Liv2a	0.307150261022024	0.414801958492205	0	0.122595842446967	0.176414040287577	0.191820317243464	0.336473571974518	1.0471975511966	0.230361512432119	0.305773999687282	0.366500893428519	0.252747394716971	0.229776809088646	0.27949369514898	0.239864121684812	0.649432256745593	0.277299849274787	0.241338993157124	0.196142573651417	0.321034884817111	0.50770713479251	0.279202375661787	0.442380127920152	0.265217773709773	0.341165582154801	0.486492275198372
Liv2b	0.267953774807806	0.44522114611353	0.122595842446967	0	0.119626331085771	0.182079437499087	0.327605162803093	1.0471975511966	0.192954808522025	0.282991486880253	0.379345183173731	0.280067357271379	0.207224113283515	0.265001357822695	0.180816061666584	0.634071811136888	0.269925949862125	0.24465731896759	0.176348148365739	0.285334553793894	0.498012635275357	0.275958140672593	0.447897316050766	0.25701488378193	0.372483926146424	0.47574618927842
Liv3a	0.287053632313753	0.47248518319948	0.176414040287577	0.119626331085771	0	0.184710854636287	0.325633199968731	1.0471975511966	0.217468017001416	0.288022301959866	0.391683988220681	0.309056458574514	0.221621783085173	0.282202225701704	0.231944939477034	0.609702768426386	0.306818185595214	0.251082891296083	0.179153986621127	0.295992512315932	0.508250579297238	0.274804200462899	0.463628173043756	0.304750102912659	0.417722519089051	0.471467478803731
Liv3b	0.317597604264736	0.501574829274569	0.191820317243464	0.182079437499087	0.184710854636287	0	0.361264719927808	1.0471975511966	0.227855376697005	0.253541215462327	0.3564789513359	0.220178862293704	0.168303666975895	0.238297455110528	0.205818568527919	0.643147425935434	0.294759012761599	0.272800175273215	0.153537717426039	0.30678258676372	0.529037757622322	0.246520508937781	0.47306110853684	0.311650926591315	0.400059836222425	0.540656919502806
LN1	0.418357434501404	0.517123462846568	0.336473571974518	0.327605162803093	0.325633199968731	0.361264719927808	0	1.0471975511966	0.258073611638182	0.391347868200177	0.424847185967929	0.339798529784386	0.312109019225761	0.378480650112941	0.341698456386998	0.669670234302521	0.349563875273705	0.362106261242582	0.328966211560161	0.33599023461738	0.571996627415847	0.352163063487459	0.509392023002166	0.341710306732445	0.401833187290001	0.543824047287747
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1	0.315907368834646	0.44748407849142	0.230361512432119	0.192954808522025	0.217468017001416	0.227855376697005	0.258073611638182	1.0471975511966	0	0.266647903751445	0.311949275720551	0.256700035559407	0.173274712214452	0.264127495605225	0.18365652602607	0.571257843228582	0.287054369452417	0.271273043236766	0.236193946475998	0.290518979020542	0.501352635440673	0.281761001041638	0.42366598909356	0.24656686505095	0.363728328815736	0.483201657530384
Per1	0.351135903996561	0.514933848020796	0.305773999687282	0.282991486880253	0.288022301959866	0.253541215462327	0.391347868200177	1.0471975511966	0.266647903751445	0	0.225622184601348	0.247874103366437	0.203101038123058	0.311436973454946	0.251951307809238	0.512516528771066	0.291456206119219	0.308023242120478	0.237205475088645	0.315784519545619	0.341706761838419	0.226173894621871	0.308461279736944	0.326851893425495	0.391647539517363	0.559324015977353
Per2	0.395006104207884	0.464408107301524	0.366500893428519	0.379345183173731	0.391683988220681	0.3564789513359	0.424847185967929	1.0471975511966	0.311949275720551	0.225622184601348	0	0.250453580844622	0.279001003925959	0.342896677309898	0.349551609859589	0.523444105231391	0.305151638058754	0.292128439599712	0.33467857942344	0.371020750540785	0.372507033926937	0.264161437303122	0.26814868605024	0.337441706425425	0.341967901641699	0.557092233935127
Per3	0.384949488475742	0.458665464908651	0.252747394716971	0.280067357271379	0.309056458574514	0.220178862293704	0.339798529784386	1.0471975511966	0.256700035559407	0.247874103366437	0.250453580844622	0	0.197477834163069	0.282525641971206	0.244113222696228	0.629877032002369	0.235483946050571	0.260289533974958	0.196758333364496	0.287048412634678	0.508011510816155	0.172168817025346	0.422880018769795	0.298529367103628	0.313238500435899	0.546862820648131
Per4	0.296594952557359	0.461545054154835	0.229776809088646	0.207224113283515	0.221621783085173	0.168303666975895	0.312109019225761	1.0471975511966	0.173274712214452	0.203101038123058	0.279001003925959	0.197477834163069	0	0.238191746072385	0.178073847583718	0.587239038895725	0.228531039774871	0.231580473215575	0.177237509905338	0.297212209041676	0.465935888381482	0.224164854402268	0.387144747847644	0.243387261290165	0.325476691727798	0.504010046485336
Per5a	0.307588441318275	0.493955731028721	0.27949369514898	0.265001357822695	0.282202225701704	0.238297455110528	0.378480650112941	1.0471975511966	0.264127495605225	0.311436973454946	0.342896677309898	0.282525641971206	0.238191746072385	0	0.284853290136015	0.687483046896443	0.275232009938768	0.258738688798747	0.254695855159079	0.293826005645036	0.545962652531385	0.232054459077399	0.464508764105651	0.234405955345521	0.353005230131801	0.606018898242699
Per5b	0.324538853165466	0.505419300554749	0.239864121684812	0.180816061666584	0.231944939477034	0.205818568527919	0.341698456386998	1.0471975511966	0.18365652602607	0.251951307809238	0.349551609859589	0.244113222696228	0.178073847583718	0.284853290136015	0	0.615979894513727	0.247772497454387	0.297347604223766	0.160717157911351	0.266002693889098	0.507835030843827	0.263363816433122	0.476535815395235	0.283178039697153	0.373062178792804	0.541756142399572
Per5c	0.611699449047536	0.654935826202771	0.649432256745593	0.634071811136888	0.609702768426386	0.643147425935434	0.669670234302521	1.0471975511966	0.571257843228582	0.512516528771066	0.523444105231391	0.629877032002369	0.587239038895725	0.687483046896443	0.615979894513727	0	0.644643599830604	0.63591161681083	0.639978239966714	0.68474002768797	0.54779036027436	0.596099298678612	0.529169569754062	0.631359378483122	0.678971871800681	0.707397198719195
PT1	0.368603643514512	0.487945319964783	0.277299849274787	0.269925949862125	0.306818185595214	0.294759012761599	0.349563875273705	1.0471975511966	0.287054369452417	0.291456206119219	0.305151638058754	0.235483946050571	0.228531039774871	0.275232009938768	0.247772497454387	0.644643599830604	0	0.182356085893593	0.220108873217075	0.219772608572477	0.476082478447529	0.212444607345364	0.433054682222029	0.186750176408742	0.199960464588811	0.576904671352199
PT2	0.327918183598555	0.433506552083253	0.241338993157124	0.24465731896759	0.251082891296083	0.272800175273215	0.362106261242582	1.0471975511966	0.271273043236766	0.308023242120478	0.292128439599712	0.260289533974958	0.231580473215575	0.258738688798747	0.297347604223766	0.63591161681083	0.182356085893593	0	0.242181896142554	0.272329242196343	0.489515483544849	0.237107227237439	0.409725043284168	0.213920061413071	0.23855749046336	0.502143661480877
PT3	0.325574732994745	0.494223270188144	0.196142573651417	0.176348148365739	0.179153986621127	0.153537717426039	0.328966211560161	1.0471975511966	0.236193946475998	0.237205475088645	0.33467857942344	0.196758333364496	0.177237509905338	0.254695855159079	0.160717157911351	0.639978239966714	0.220108873217075	0.242181896142554	0	0.23262346513243	0.504062527068651	0.180282928695935	0.470203155359026	0.297032263566356	0.364320316794759	0.535412985006256
PT4	0.405963562747978	0.547501233055154	0.321034884817111	0.285334553793894	0.295992512315932	0.30678258676372	0.33599023461738	1.0471975511966	0.290518979020542	0.315784519545619	0.371020750540785	0.287048412634678	0.297212209041676	0.293826005645036	0.266002693889098	0.68474002768797	0.219772608572477	0.272329242196343	0.23262346513243	0	0.505860271140332	0.245028397886287	0.505654303967811	0.283250598770073	0.341369909661662	0.632968549199535
PT5	0.519847520138378	0.598218977610335	0.50770713479251	0.498012635275357	0.508250579297238	0.529037757622322	0.571996627415847	1.0471975511966	0.501352635440673	0.341706761838419	0.372507033926937	0.508011510816155	0.465935888381482	0.545962652531385	0.507835030843827	0.54779036027436	0.476082478447529	0.489515483544849	0.504062527068651	0.505860271140332	0	0.48290729794656	0.229784420057692	0.491669056302728	0.502791547056063	0.653266992697292
