	Liv1a	Liv1b	Liv2	Liv3	Liv4	Normal1	PT1	PT2	PT3	PT4	PT5
Liv1a	0	0.326105195779974	0.475196386403995	0.466253933695008	0.298844291485458	1.0471975511966	0.45664163473857	0.763613245130825	0.285522574778431	0.27831260034923	0.391125811646969
Liv1b	0.326105195779974	0	0.364793033299165	0.344379136656983	0.296128678817425	1.0471975511966	0.414585221431553	0.822730465900783	0.385254159284503	0.397241827782662	0.474056775836765
Liv2	0.475196386403995	0.364793033299165	0	0.430496933398837	0.351070675364822	1.0471975511966	0.587970299243393	0.830570896939212	0.450823137433005	0.409496901535194	0.494862209776831
Liv3	0.466253933695008	0.344379136656983	0.430496933398837	0	0.271395889178064	1.0471975511966	0.520105642579925	0.963249679935684	0.510428462961102	0.449168743681984	0.577053727553109
Liv4	0.298844291485458	0.296128678817425	0.351070675364822	0.271395889178064	0	1.0471975511966	0.446848234916865	0.86528679393651	0.363450180667885	0.247437455165907	0.419994028721053
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.45664163473857	0.414585221431553	0.587970299243393	0.520105642579925	0.446848234916865	1.0471975511966	0	0.823742572112215	0.447035036453149	0.484774920742912	0.603032947707192
PT2	0.763613245130825	0.822730465900783	0.830570896939212	0.963249679935684	0.86528679393651	1.0471975511966	0.823742572112215	0	0.653920845728836	0.847430647338232	0.596595903918433
PT3	0.285522574778431	0.385254159284503	0.450823137433005	0.510428462961102	0.363450180667885	1.0471975511966	0.447035036453149	0.653920845728836	0	0.279729373845295	0.386342747352218
PT4	0.27831260034923	0.397241827782662	0.409496901535194	0.449168743681984	0.247437455165907	1.0471975511966	0.484774920742912	0.847430647338232	0.279729373845295	0	0.39382391286725
PT5	0.391125811646969	0.474056775836765	0.494862209776831	0.577053727553109	0.419994028721053	1.0471975511966	0.603032947707192	0.596595903918433	0.386342747352218	0.39382391286725	0
