	Liv1a	Liv1b	Liv2	Liv3	LN1	Normal1	PT1	PT2	PT3	PT4
Liv1a	0	0.111475676629824	0.239813435401474	0.719609071243344	0.761553421039849	1.0471975511966	0.660217239163289	0.588134514325184	0.572687394102987	0.750437346458465
Liv1b	0.111475676629824	0	0.206241728421651	0.715002682043013	0.761159484705409	1.0471975511966	0.664306206118637	0.60431134821201	0.592623207285734	0.739638224974195
Liv2	0.239813435401474	0.206241728421651	0	0.663861759299163	0.705335875562384	1.0471975511966	0.586620606235429	0.587944515325317	0.532018098558231	0.650995274988118
Liv3	0.719609071243344	0.715002682043013	0.663861759299163	0	0.668172238715325	1.0471975511966	0.421721905988357	0.516875387999551	0.608241239701606	0.463577959471173
LN1	0.761553421039849	0.761159484705409	0.705335875562384	0.668172238715325	0	1.0471975511966	0.57681315496141	0.636818600205763	0.542418139079923	0.469725827187141
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.660217239163289	0.664306206118637	0.586620606235429	0.421721905988357	0.57681315496141	1.0471975511966	0	0.519103980958208	0.372007223223353	0.330853330362038
PT2	0.588134514325184	0.60431134821201	0.587944515325317	0.516875387999551	0.636818600205763	1.0471975511966	0.519103980958208	0	0.54254738921191	0.609342375989837
PT3	0.572687394102987	0.592623207285734	0.532018098558231	0.608241239701606	0.542418139079923	1.0471975511966	0.372007223223353	0.54254738921191	0	0.523157040766796
PT4	0.750437346458465	0.739638224974195	0.650995274988118	0.463577959471173	0.469725827187141	1.0471975511966	0.330853330362038	0.609342375989837	0.523157040766796	0
