	Per1	LN1	TD1	TD2	Normal1	PTa1	PTa2	PTa3	PTa4	PTa5
Per1	0	0.357491254161604	0.377146313347188	0.434639580054679	1.0471975511966	0.373556974156342	0.444391073329425	0.421359294786511	0.273890490012274	0.377044894590987
LN1	0.357491254161604	0	0.22994307910601	0.277569466364319	1.0471975511966	0.343346441015036	0.334024658528676	0.249165669692073	0.257657794668302	0.20304776116277
TD1	0.377146313347188	0.22994307910601	0	0.124889849913964	1.0471975511966	0.378241185173843	0.367624110969908	0.332112476160131	0.344679086763849	0.185640317615982
TD2	0.434639580054679	0.277569466364319	0.124889849913964	0	1.0471975511966	0.427093739767757	0.441010631923305	0.347050560930496	0.422488410018042	0.258364830026404
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PTa1	0.373556974156342	0.343346441015036	0.378241185173843	0.427093739767757	1.0471975511966	0	0.405912840274137	0.237382592928512	0.296791063579635	0.334685529314383
PTa2	0.444391073329425	0.334024658528676	0.367624110969908	0.441010631923305	1.0471975511966	0.405912840274137	0	0.406416394501818	0.258400521716832	0.230210323105539
PTa3	0.421359294786511	0.249165669692073	0.332112476160131	0.347050560930496	1.0471975511966	0.237382592928512	0.406416394501818	0	0.319753255896648	0.279228946683228
PTa4	0.273890490012274	0.257657794668302	0.344679086763849	0.422488410018042	1.0471975511966	0.296791063579635	0.258400521716832	0.319753255896648	0	0.232801204676165
PTa5	0.377044894590987	0.20304776116277	0.185640317615982	0.258364830026404	1.0471975511966	0.334685529314383	0.230210323105539	0.279228946683228	0.232801204676165	0
