	Liv1a	Liv1b	Liv1c	Liv2a	Liv2b	Normal1	PT1	PT2	PT3	PT4	PT5
Liv1a	0	1.27547763934629	1.41546022847854	0.386734188650954	0.875299919884907	1.0471975511966	1.72373304954609	1.25218354936851	1.49130149527697	1.61211024563393	1.80692815396764
Liv1b	1.27547763934629	0	0.841141870778082	1.32412528502963	1.08851495726159	1.0471975511966	1.10711478270601	0.924690432246225	1.08377510558173	1.14685542180355	0.983561291301324
Liv1c	1.41546022847854	0.841141870778082	0	1.49913799386434	0.8429274562386	1.0471975511966	0.989185398446919	0.692694710605218	0.797711777395462	0.854471293629102	1.11873379926544
Liv2a	0.386734188650954	1.32412528502963	1.49913799386434	0	0.913125265666702	1.0471975511966	1.66688260396335	1.29297391248008	1.50722691253288	1.72116000591684	1.92647053140302
Liv2b	0.875299919884907	1.08851495726159	0.8429274562386	0.913125265666702	0	1.0471975511966	1.17616036457101	0.753050527837743	0.981250752494494	1.2257201496961	1.49577839896686
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	1.72373304954609	1.10711478270601	0.989185398446919	1.66688260396335	1.17616036457101	1.0471975511966	0	0.792452525749116	0.67177483300862	0.790817029214177	0.967672742420821
PT2	1.25218354936851	0.924690432246225	0.692694710605218	1.29297391248008	0.753050527837743	1.0471975511966	0.792452525749116	0	0.527770149979419	0.740263594127563	0.979968278837469
PT3	1.49130149527697	1.08377510558173	0.797711777395462	1.50722691253288	0.981250752494494	1.0471975511966	0.67177483300862	0.527770149979419	0	0.702653964988093	0.954395722916153
PT4	1.61211024563393	1.14685542180355	0.854471293629102	1.72116000591684	1.2257201496961	1.0471975511966	0.790817029214177	0.740263594127563	0.702653964988093	0	0.770722283319552
PT5	1.80692815396764	0.983561291301324	1.11873379926544	1.92647053140302	1.49577839896686	1.0471975511966	0.967672742420821	0.979968278837469	0.954395722916153	0.770722283319552	0
