	Liv1a	Liv1b	Liv1c	Liv1d	Liv2a	Liv2b	Liv2c	LN1	Normal1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8
Liv1a	0	0.0948437967871234	0.115215804897587	0.126392855890723	0.340313043880188	0.368997659058959	0.354485992385521	0.617273912740493	1.0471975511966	0.581461517331863	0.476386205456308	0.552141450596423	0.506950916754372	0.467699897053587	0.573987247225186	0.506798180475089	0.604655381732852
Liv1b	0.0948437967871234	0	0.0817932553916692	0.107921953662058	0.313751519665417	0.340893814625475	0.318736103672614	0.597437085885294	1.0471975511966	0.561812534612684	0.448810184708894	0.514340003818226	0.467217862066837	0.421856482073157	0.561446278075801	0.472894110999313	0.584127609317012
Liv1c	0.115215804897587	0.0817932553916692	0	0.0624809486702984	0.333736467999383	0.347463425291379	0.342841346521748	0.600232492942448	1.0471975511966	0.559907673181835	0.459317471765007	0.527950965498083	0.485951426561313	0.423503132252002	0.564222051175921	0.46675581711072	0.581253105152315
Liv1d	0.126392855890723	0.107921953662058	0.0624809486702984	0	0.300570932848655	0.308374652236355	0.313275794789691	0.595597354629249	1.0471975511966	0.539800671786782	0.447035498108598	0.530564682311348	0.490373410137898	0.403585438694631	0.540574760236345	0.448814767071564	0.560314493227775
Liv2a	0.340313043880188	0.313751519665417	0.333736467999383	0.300570932848655	0	0.1007007087403	0.0515432104163996	0.49992888517163	1.0471975511966	0.388054804228677	0.317186709173625	0.420507021430095	0.389113863175226	0.279066943296627	0.356544633069748	0.330508946665307	0.456984730883772
Liv2b	0.368997659058959	0.340893814625475	0.347463425291379	0.308374652236355	0.1007007087403	0	0.100437985489355	0.527247635929954	1.0471975511966	0.39927300108463	0.33725906695946	0.451396765804828	0.42210174237167	0.270062906925328	0.376854076959683	0.325768404730681	0.471712909332741
Liv2c	0.354485992385521	0.318736103672614	0.342841346521748	0.313275794789691	0.0515432104163996	0.100437985489355	0	0.506072611664224	1.0471975511966	0.395731448355263	0.310115724534578	0.412260960230612	0.378071154895805	0.259389338195014	0.370120480901883	0.324522028983114	0.466777858198468
LN1	0.617273912740493	0.597437085885294	0.600232492942448	0.595597354629249	0.49992888517163	0.527247635929954	0.506072611664224	0	1.0471975511966	0.19866864239464	0.258510956274408	0.24436265628692	0.263723014867743	0.419608874335146	0.261633996293736	0.2880238920544	0.246922229960419
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.581461517331863	0.561812534612684	0.559907673181835	0.539800671786782	0.388054804228677	0.39927300108463	0.395731448355263	0.19866864239464	1.0471975511966	0	0.188564732090651	0.251372992212028	0.263874161065137	0.300304101403501	0.112822783597154	0.170079167948296	0.179895947986011
PT2	0.476386205456308	0.448810184708894	0.459317471765007	0.447035498108598	0.317186709173625	0.33725906695946	0.310115724534578	0.258510956274408	1.0471975511966	0.188564732090651	0	0.178084535219437	0.156204214807657	0.200585462689922	0.219354298598192	0.123468802634989	0.282342061664022
PT3	0.552141450596423	0.514340003818226	0.527950965498083	0.530564682311348	0.420507021430095	0.451396765804828	0.412260960230612	0.24436265628692	1.0471975511966	0.251372992212028	0.178084535219437	0	0.0700578048951283	0.297555047122804	0.27455034784322	0.228562250501246	0.339393109408911
PT4	0.506950916754372	0.467217862066837	0.485951426561313	0.490373410137898	0.389113863175226	0.42210174237167	0.378071154895805	0.263723014867743	1.0471975511966	0.263874161065137	0.156204214807657	0.0700578048951283	0	0.273133633992855	0.291600171753165	0.221470613581229	0.340634114699689
PT5	0.467699897053587	0.421856482073157	0.423503132252002	0.403585438694631	0.279066943296627	0.270062906925328	0.259389338195014	0.419608874335146	1.0471975511966	0.300304101403501	0.200585462689922	0.297555047122804	0.273133633992855	0	0.313725528431967	0.157390716978778	0.359903637851486
PT6	0.573987247225186	0.561446278075801	0.564222051175921	0.540574760236345	0.356544633069748	0.376854076959683	0.370120480901883	0.261633996293736	1.0471975511966	0.112822783597154	0.219354298598192	0.27455034784322	0.291600171753165	0.313725528431967	0	0.219290938045254	0.238276388138417
PT7	0.506798180475089	0.472894110999313	0.46675581711072	0.448814767071564	0.330508946665307	0.325768404730681	0.324522028983114	0.2880238920544	1.0471975511966	0.170079167948296	0.123468802634989	0.228562250501246	0.221470613581229	0.157390716978778	0.219290938045254	0	0.255774432394108
PT8	0.604655381732852	0.584127609317012	0.581253105152315	0.560314493227775	0.456984730883772	0.471712909332741	0.466777858198468	0.246922229960419	1.0471975511966	0.179895947986011	0.282342061664022	0.339393109408911	0.340634114699689	0.359903637851486	0.238276388138417	0.255774432394108	0
