	LN1	LN10	LN11	LN12	LN2	LN3	LN4	LN5	LN6	LN7	LN8	LN9	Normal1	PT1	PT2	PT3	PT4
LN1	0	0.298106651439911	0.343446379476357	0.514984310495011	0.420782231890305	0.410585904657687	0.475108458392292	0.448487526305803	0.433196228270494	0.397614719086261	0.440481128572476	0.467632991576499	1.0471975511966	0.439992064712216	0.441240922770182	0.519427123423966	0.430079716534314
LN10	0.298106651439911	0	0.292202695761725	0.631517257903044	0.373818946866835	0.509556211507243	0.479620456731963	0.475310466369291	0.456524240878091	0.490980043751606	0.302213970363093	0.520589260347271	1.0471975511966	0.393561722191432	0.424489931330863	0.404491243934904	0.402635745127132
LN11	0.343446379476357	0.292202695761725	0	0.534941718177069	0.249758314884047	0.396312050354575	0.289384569320664	0.33538596636493	0.27331301187344	0.327175539975145	0.356944071622414	0.356105359889769	1.0471975511966	0.226838902579971	0.337588604965213	0.272047256166224	0.205125555098475
LN12	0.514984310495011	0.631517257903044	0.534941718177069	0	0.611449946938018	0.549895486215575	0.655596395561155	0.572599869784744	0.596770832755011	0.506787964840208	0.722500722677695	0.660646438970525	1.0471975511966	0.525821749129648	0.478636159241551	0.603918028891505	0.631346710844144
LN2	0.420782231890305	0.373818946866835	0.249758314884047	0.611449946938018	0	0.386475180633036	0.357556514200058	0.435438469522109	0.377506226159956	0.478112319727958	0.344334198643689	0.382404392066842	1.0471975511966	0.275858794839703	0.302035180616684	0.359425665584239	0.277171550054657
LN3	0.410585904657687	0.509556211507243	0.396312050354575	0.549895486215575	0.386475180633036	0	0.398142265592575	0.501573138491515	0.428351865361	0.471764580471847	0.472137123250636	0.418041413720173	1.0471975511966	0.362365495809265	0.38520224266082	0.471919358968122	0.387173342327101
LN4	0.475108458392292	0.479620456731963	0.289384569320664	0.655596395561155	0.357556514200058	0.398142265592575	0	0.47529747786594	0.265362530588061	0.450090734439776	0.462314387709606	0.233626698141898	1.0471975511966	0.329779373577538	0.431094899328639	0.314278031294014	0.226090322867957
LN5	0.448487526305803	0.475310466369291	0.33538596636493	0.572599869784744	0.435438469522109	0.501573138491515	0.47529747786594	0	0.370191956837841	0.303678913367638	0.476064104544017	0.3977691812516	1.0471975511966	0.471133544119386	0.43175546704612	0.464866643832383	0.383417674213006
LN6	0.433196228270494	0.456524240878091	0.27331301187344	0.596770832755011	0.377506226159956	0.428351865361	0.265362530588061	0.370191956837841	0	0.367126034664503	0.469711406435604	0.307854702719519	1.0471975511966	0.368073025367822	0.438763295382329	0.357929766248999	0.285326501959426
LN7	0.397614719086261	0.490980043751606	0.327175539975145	0.506787964840208	0.478112319727958	0.471764580471847	0.450090734439776	0.303678913367638	0.367126034664503	0	0.589167132529778	0.431217751045716	1.0471975511966	0.405875527882209	0.522111920065698	0.482947682132083	0.342339938048653
LN8	0.440481128572476	0.302213970363093	0.356944071622414	0.722500722677695	0.344334198643689	0.472137123250636	0.462314387709606	0.476064104544017	0.469711406435604	0.589167132529778	0	0.486112905244307	1.0471975511966	0.429447108648988	0.403642967052356	0.383889405598356	0.412760510472006
LN9	0.467632991576499	0.520589260347271	0.356105359889769	0.660646438970525	0.382404392066842	0.418041413720173	0.233626698141898	0.3977691812516	0.307854702719519	0.431217751045716	0.486112905244307	0	1.0471975511966	0.412253909451491	0.409094015073443	0.395091654304015	0.265875387098272
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.439992064712216	0.393561722191432	0.226838902579971	0.525821749129648	0.275858794839703	0.362365495809265	0.329779373577538	0.471133544119386	0.368073025367822	0.405875527882209	0.429447108648988	0.412253909451491	1.0471975511966	0	0.329940190859685	0.242551356160254	0.231836520562359
PT2	0.441240922770182	0.424489931330863	0.337588604965213	0.478636159241551	0.302035180616684	0.38520224266082	0.431094899328639	0.43175546704612	0.438763295382329	0.522111920065698	0.403642967052356	0.409094015073443	1.0471975511966	0.329940190859685	0	0.337205798852248	0.406783651668603
PT3	0.519427123423966	0.404491243934904	0.272047256166224	0.603918028891505	0.359425665584239	0.471919358968122	0.314278031294014	0.464866643832383	0.357929766248999	0.482947682132083	0.383889405598356	0.395091654304015	1.0471975511966	0.242551356160254	0.337205798852248	0	0.284317601239431
PT4	0.430079716534314	0.402635745127132	0.205125555098475	0.631346710844144	0.277171550054657	0.387173342327101	0.226090322867957	0.383417674213006	0.285326501959426	0.342339938048653	0.412760510472006	0.265875387098272	1.0471975511966	0.231836520562359	0.406783651668603	0.284317601239431	0
