	LN1	LN2	LN3	Normal1	Per10a	Per10b	Per11	Per12	Per13	Per14	Per15	Per16	Per17	Per18	Per19	Per1a	Per1b	Per2	Per20	Per21	Per22	Per23	Per24	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2
LN1	0	0.678099349086945	0.831484741552637	1.0471975511966	0.413695456176251	0.379617362001481	0.337162222784242	0.433106641092975	0.368243343222904	0.431434261225225	0.295237859176412	0.359836475038449	0.418176636086003	0.371536545783852	0.342197605383839	0.366933515298234	0.436891121129054	0.336809342836568	0.322169006093217	0.32011114556614	0.321023490171222	0.413686751699487	0.458559388419339	0.408221694690351	0.420312942794893	0.369100829893779	0.329041045618545	0.421469434492077	0.390716681977305	0.307143867979975	0.603021609723692	0.343983832399546	0.363280365701189	0.290577427524218	0.371112288663391	0.315291107535136	0.292264612722461	0.3211198505132	0.375929131983212	0.627873424024941	0.390393572243041
LN2	0.678099349086945	0	0.979107562585777	1.0471975511966	0.70704925569593	0.675993930189229	0.761764374752227	0.641893220193135	0.632230999530735	0.805219775600773	0.711624566523094	0.696781266906162	0.717088287687205	0.689569581240254	0.714996108678833	0.69809979849131	0.775380186005428	0.660237892298703	0.712454328441518	0.6632419959281	0.684107704007752	0.578832490549773	0.70952702602022	0.804955288744589	0.570802482466882	0.753468825400598	0.713748451099987	0.728196844059285	0.733959576601456	0.708761094603481	0.976745714026969	0.699959665556739	0.72391764287702	0.629257259359493	0.615087335278027	0.679633032986989	0.661033149607526	0.721871809592715	0.760161220347618	0.761018485413138	0.719489486454928
LN3	0.831484741552637	0.979107562585777	0	1.0471975511966	0.785164010528712	0.7647095233481	0.778209057609156	0.733941528901104	0.722044572683619	0.868182656527868	0.802088236735315	0.738117278339786	0.677967715602775	0.785912147150427	0.798848280181193	0.868647327508104	0.696766596665321	0.777072541090745	0.875374266042395	0.859106883734447	0.798794616736072	0.866850419564954	0.807371580417787	0.799252390802115	0.836516204140906	0.766570505730464	0.867865092293396	0.825761354335246	0.619510686415376	0.783911486455719	0.577694204595904	0.703866263117118	0.69739203144409	0.773816342522305	0.758611843023174	0.703685300940694	0.714007836970715	0.713241464388219	0.685371009665073	0.831681634200987	0.804271562370505
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per10a	0.413695456176251	0.70704925569593	0.785164010528712	1.0471975511966	0	0.16715886194067	0.310265411548516	0.406612653219937	0.264598211507191	0.458949568104012	0.308081189770503	0.238859825586546	0.395011161678047	0.278369422495078	0.259021728789657	0.389491264517672	0.293688513492571	0.272528107183753	0.29610307272487	0.3029775463127	0.30535785743806	0.368576717064291	0.273440557937056	0.372608608573751	0.330676475931727	0.292122670003341	0.349376907962475	0.326683361163111	0.375523681646744	0.281076055940533	0.531812392452817	0.255820937775756	0.256445977292507	0.224690422064627	0.263860311658422	0.31327534203087	0.242657517865615	0.264961007251537	0.354701642112913	0.362077956993379	0.267186994722908
Per10b	0.379617362001481	0.675993930189229	0.7647095233481	1.0471975511966	0.16715886194067	0	0.263621862875285	0.380408002298663	0.233145328534728	0.418403486255954	0.270312011854352	0.184142448252744	0.357818950471457	0.218034694325283	0.261410844045083	0.379977575139884	0.313056963590824	0.27409004249535	0.247315702044984	0.23820943669937	0.251246744205924	0.342370260564573	0.204286063415312	0.389202643202966	0.35889398088075	0.262151175195189	0.310762674439814	0.273418391339755	0.361603763540772	0.216918667937504	0.542024656204554	0.24969355236497	0.274790141547881	0.224972583795008	0.225132898241451	0.296654434679716	0.262165443488234	0.231697273619122	0.374318840170676	0.453994645483827	0.282339528958832
Per11	0.337162222784242	0.761764374752227	0.778209057609156	1.0471975511966	0.310265411548516	0.263621862875285	0	0.422928527205629	0.296150605856033	0.349733334639052	0.186879395635718	0.235604485878557	0.315458913186452	0.259065685436259	0.216015222756498	0.378776398689567	0.353176348644468	0.303565640794068	0.196555751866417	0.250909227749958	0.181563598265396	0.389871877691871	0.298563467975742	0.366066493680591	0.440550484314966	0.22961321954483	0.255706121441655	0.230431289444542	0.293595775459441	0.205514203110723	0.528874421620881	0.288893497211518	0.314514084864938	0.287972030333917	0.30383557932129	0.308291530152116	0.293683393747179	0.235272020161824	0.371600547430311	0.554612839683552	0.332353861219177
Per12	0.433106641092975	0.641893220193135	0.733941528901104	1.0471975511966	0.406612653219937	0.380408002298663	0.422928527205629	0	0.322535770031209	0.430268309845242	0.363794732663885	0.362721136862327	0.44881964018924	0.37232869855676	0.357498643973296	0.328649717099002	0.443025835108937	0.384822112901995	0.366487156577658	0.348638066963468	0.334333935455492	0.45004201403831	0.458022791384974	0.481959050210507	0.435908640195349	0.328081033722903	0.342570414936616	0.44842985832002	0.430126828678746	0.38381345617527	0.554094894207009	0.392333556395175	0.412171900055164	0.36095264677254	0.381279375492442	0.364436848502431	0.354529687573667	0.368144129859529	0.483546378054037	0.521392767377179	0.439130379923885
Per13	0.368243343222904	0.632230999530735	0.722044572683619	1.0471975511966	0.264598211507191	0.233145328534728	0.296150605856033	0.322535770031209	0	0.381539996339362	0.246997473147891	0.195884859813668	0.360537820073632	0.236967895063402	0.253136150818552	0.347756688131613	0.336272486319658	0.24397465606115	0.273796288089905	0.268010627379442	0.272222496963122	0.408129543512748	0.306814660727025	0.361084431829543	0.339796778891948	0.274727746104508	0.317710496060512	0.347313462481583	0.348531899420048	0.245535483134801	0.569451790079179	0.247399533728875	0.262292051728918	0.197809015681149	0.226804023909009	0.245062385371337	0.18656545559203	0.227759041512846	0.331011108490469	0.390196211157418	0.348773930910965
Per14	0.431434261225225	0.805219775600773	0.868182656527868	1.0471975511966	0.458949568104012	0.418403486255954	0.349733334639052	0.430268309845242	0.381539996339362	0	0.259947498979568	0.339807389113719	0.515721943989205	0.420021530234619	0.289745974796489	0.378847877729387	0.480100857808925	0.430398160284615	0.305064624015043	0.311053106402787	0.3009754369811	0.537027631796756	0.460248349556596	0.462663289165757	0.531185012161653	0.303977342280844	0.30013970120429	0.415309033695819	0.483635179673397	0.402752364172598	0.649373390850144	0.473524879521116	0.447695123291864	0.431696356749536	0.426351175239686	0.435682256331476	0.425794079062416	0.410139606902555	0.554156570848058	0.599855720945874	0.424730682070158
