	LN1	LN2	LN3	LN4	LN5	LN6	LN7	LN8	LN9	Normal1	PT1	PT2
LN1	0	0.24659423305832	0.272262341351359	0.232326344113365	0.281745785281243	0.129011774637301	0.211050974064649	0.1993390243736	0.216676006557009	1.0471975511966	0.1734149869841	0.200967697883155
LN2	0.24659423305832	0	0.133285364668315	0.153422141720261	0.17328892850176	0.214703537393826	0.155111213979145	0.132965998241255	0.12418574528547	1.0471975511966	0.222871931933312	0.145572447869463
LN3	0.272262341351359	0.133285364668315	0	0.14825745065697	0.119905638827227	0.244998617071533	0.141408439467307	0.161559917845003	0.131350701885516	1.0471975511966	0.257864267296263	0.153915795260991
LN4	0.232326344113365	0.153422141720261	0.14825745065697	0	0.120138233983901	0.177668499587713	0.0920595009025263	0.0937665248559867	0.123074003329256	1.0471975511966	0.174094180450434	0.0745713463033281
LN5	0.281745785281243	0.17328892850176	0.119905638827227	0.120138233983901	0	0.236271593973009	0.137164599246994	0.144547208480131	0.107428908353778	1.0471975511966	0.224297711051901	0.123741416570137
LN6	0.129011774637301	0.214703537393826	0.244998617071533	0.177668499587713	0.236271593973009	0	0.180978704039071	0.143092682434092	0.186669654173334	1.0471975511966	0.149372393486005	0.150073598283627
LN7	0.211050974064649	0.155111213979145	0.141408439467307	0.0920595009025263	0.137164599246994	0.180978704039071	0	0.0975844370384508	0.100466815386006	1.0471975511966	0.18204761568841	0.0717788871953574
LN8	0.1993390243736	0.132965998241255	0.161559917845003	0.0937665248559867	0.144547208480131	0.143092682434092	0.0975844370384508	0	0.0943535341564056	1.0471975511966	0.14091619100085	0.0535241116558052
LN9	0.216676006557009	0.12418574528547	0.131350701885516	0.123074003329256	0.107428908353778	0.186669654173334	0.100466815386006	0.0943535341564056	0	1.0471975511966	0.175514122885959	0.0872755157451117
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966
PT1	0.1734149869841	0.222871931933312	0.257864267296263	0.174094180450434	0.224297711051901	0.149372393486005	0.18204761568841	0.14091619100085	0.175514122885959	1.0471975511966	0	0.14308179075164
PT2	0.200967697883155	0.145572447869463	0.153915795260991	0.0745713463033281	0.123741416570137	0.150073598283627	0.0717788871953574	0.0535241116558052	0.0872755157451117	1.0471975511966	0.14308179075164	0
