	Liv1	Liv2	Liv3a	Liv3b	Liv3c	LN1	Normal1	PT1	PT2	PT3	PT4	PT5	PT6
Liv1	0	0.346981668836245	0.471461194822587	0.520404395147769	0.419521321767131	0.651471125700361	1.0471975511966	0.820448926378067	0.887460359360549	0.88701529068826	0.932392695141273	0.89191067523091	0.931617153013785
Liv2	0.346981668836245	0	0.251803240835109	0.431750059309512	0.433536650744926	0.776351267931517	1.0471975511966	0.693100472844232	0.839516344409419	0.839976781399161	0.808276219677258	0.833798683694274	0.869041133015553
Liv3a	0.471461194822587	0.251803240835109	0	0.375834712312381	0.415756742625183	0.857092506841199	1.0471975511966	0.632247509384441	0.757531949728234	0.761652467422447	0.723108244527724	0.751947364406253	0.791846985300743
Liv3b	0.520404395147769	0.431750059309512	0.375834712312381	0	0.241122363877318	0.898138642358613	1.0471975511966	0.771217146766751	0.860208266999106	0.880682481920445	0.848451122687036	0.821673097097517	0.807816520905996
Liv3c	0.419521321767131	0.433536650744926	0.415756742625183	0.241122363877318	0	0.767181743646031	1.0471975511966	0.799122093304977	0.872915846053685	0.885237351573581	0.872022709373649	0.787117171764073	0.808287322052604
LN1	0.651471125700361	0.776351267931517	0.857092506841199	0.898138642358613	0.767181743646031	0	1.0471975511966	1.14837979718623	1.1464524838093	1.2025881594492	1.21740072869655	1.0822401246137	1.15291481865814
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.820448926378067	0.693100472844232	0.632247509384441	0.771217146766751	0.799122093304977	1.14837979718623	1.0471975511966	0	0.315651114442955	0.28190914862728	0.171293528348083	0.507220904824306	0.372363405048889
PT2	0.887460359360549	0.839516344409419	0.757531949728234	0.860208266999106	0.872915846053685	1.1464524838093	1.0471975511966	0.315651114442955	0	0.177691260008676	0.316554321335749	0.485910979019226	0.352151957043563
PT3	0.88701529068826	0.839976781399161	0.761652467422447	0.880682481920445	0.885237351573581	1.2025881594492	1.0471975511966	0.28190914862728	0.177691260008676	0	0.268366720552752	0.467085878833849	0.383257228838309
PT4	0.932392695141273	0.808276219677258	0.723108244527724	0.848451122687036	0.872022709373649	1.21740072869655	1.0471975511966	0.171293528348083	0.316554321335749	0.268366720552752	0	0.481698187193881	0.350970420808048
PT5	0.89191067523091	0.833798683694274	0.751947364406253	0.821673097097517	0.787117171764073	1.0822401246137	1.0471975511966	0.507220904824306	0.485910979019226	0.467085878833849	0.481698187193881	0	0.569587150093091
PT6	0.931617153013785	0.869041133015553	0.791846985300743	0.807816520905996	0.808287322052604	1.15291481865814	1.0471975511966	0.372363405048889	0.352151957043563	0.383257228838309	0.350970420808048	0.569587150093091	0
