	Liv1	LN1	LN2	LN3	LN5	Normal1	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Liv1	0	0.147619159236452	0.233200630165723	0.21612253392069	0.204405378306276	1.0471975511966	0.205063194127386	0.0988602537879021	0.133020395739054	0.10447922204516	0.208425622091233	0.17225032315866	0.203253314570082	0.147440062490624	0.0974784846114336	0.182906850051909
LN1	0.147619159236452	0	0.163947573120118	0.160384057700329	0.203568576754806	1.0471975511966	0.153541626493476	0.131920491911742	0.152441340387624	0.122800024038873	0.124472220210917	0.11690342007902	0.158661137871247	0.146193939976871	0.161638998560743	0.121635113090416
LN2	0.233200630165723	0.163947573120118	0	0.0390231370986077	0.115181677545752	1.0471975511966	0.110455787051855	0.212423080370736	0.200738087407429	0.171757775948824	0.117987092997716	0.168856519756338	0.126031273334778	0.215451308379717	0.235564890908168	0.143937530322072
LN3	0.21612253392069	0.160384057700329	0.0390231370986077	0	0.0959552902738267	1.0471975511966	0.0942462487284308	0.192101479894995	0.186636951012689	0.152162160857948	0.108834081642696	0.155356025540694	0.114352464494137	0.194785426861917	0.217634354110233	0.141574739051496
LN5	0.204405378306276	0.203568576754806	0.115181677545752	0.0959552902738267	0	1.0471975511966	0.121523808336266	0.189993225725963	0.17814622462705	0.164481382493051	0.15489628049723	0.200161828944567	0.127548724482868	0.208335587474461	0.218155104059021	0.172096067923438
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.205063194127386	0.153541626493476	0.110455787051855	0.0942462487284308	0.121523808336266	1.0471975511966	0	0.167025065423695	0.160877103132104	0.148591715353362	0.111286428593873	0.128487412381105	0.115525245577753	0.168903442778044	0.197560180713266	0.134284502524861
PT10	0.0988602537879021	0.131920491911742	0.212423080370736	0.192101479894995	0.189993225725963	1.0471975511966	0.167025065423695	0	0.126520539516101	0.117522421660352	0.171211324544606	0.118297501330908	0.173840629714911	0.0809088020174336	0.137674277268862	0.144390535068265
PT2	0.133020395739054	0.152441340387624	0.200738087407429	0.186636951012689	0.17814622462705	1.0471975511966	0.160877103132104	0.126520539516101	0	0.128116987028354	0.162988473383092	0.137013028646771	0.152793382175303	0.145413601955148	0.167007284029261	0.183629305784205
PT3	0.10447922204516	0.122800024038873	0.171757775948824	0.152162160857948	0.164481382493051	1.0471975511966	0.148591715353362	0.117522421660352	0.128116987028354	0	0.160131379079471	0.140136047950485	0.160928332472093	0.152640925933641	0.0966128046550021	0.13830784737148
PT4	0.208425622091233	0.124472220210917	0.117987092997716	0.108834081642696	0.15489628049723	1.0471975511966	0.111286428593873	0.171211324544606	0.162988473383092	0.160131379079471	0	0.128044415026236	0.0908518282514456	0.167645008619266	0.227702535266999	0.156019941618675
PT5	0.17225032315866	0.11690342007902	0.168856519756338	0.155356025540694	0.200161828944567	1.0471975511966	0.128487412381105	0.118297501330908	0.137013028646771	0.140136047950485	0.128044415026236	0	0.15031968334912	0.0885670864275537	0.185483688480219	0.140250946158629
PT6	0.203253314570082	0.158661137871247	0.126031273334778	0.114352464494137	0.127548724482868	1.0471975511966	0.115525245577753	0.173840629714911	0.152793382175303	0.160928332472093	0.0908518282514456	0.15031968334912	0	0.180423224733842	0.230404199110074	0.177820506594816
PT7	0.147440062490624	0.146193939976871	0.215451308379717	0.194785426861917	0.208335587474461	1.0471975511966	0.168903442778044	0.0809088020174336	0.145413601955148	0.152640925933641	0.167645008619266	0.0885670864275537	0.180423224733842	0	0.178795113153763	0.162301062294863
PT8	0.0974784846114336	0.161638998560743	0.235564890908168	0.217634354110233	0.218155104059021	1.0471975511966	0.197560180713266	0.137674277268862	0.167007284029261	0.0966128046550021	0.227702535266999	0.185483688480219	0.230404199110074	0.178795113153763	0	0.163036229042197
PT9	0.182906850051909	0.121635113090416	0.143937530322072	0.141574739051496	0.172096067923438	1.0471975511966	0.134284502524861	0.144390535068265	0.183629305784205	0.13830784737148	0.156019941618675	0.140250946158629	0.177820506594816	0.162301062294863	0.163036229042197	0
