	LN1	LN2	LN3	Normal1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8
LN1	0	0.745866315159862	0.96534231362478	1.0471975511966	0.921465826245917	0.902410303759963	1.32176591767521	1.07648836195413	1.01822765425488	1.03633914562035	0.928135757039538	0.745059241918517
LN2	0.745866315159862	0	0.887481242829271	1.0471975511966	0.381774613888915	0.403594545019548	1.23205151562188	0.743943130571453	1.15153212690977	0.476046201343653	0.417826472155578	0.477055415665101
LN3	0.96534231362478	0.887481242829271	0	1.0471975511966	1.05297769205536	0.999253827163535	1.1599390779049	0.904327769395097	1.23563733714778	1.02395956657115	0.979958740953183	0.948509698008819
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.921465826245917	0.381774613888915	1.05297769205536	1.0471975511966	0	0.119095201514442	1.1019103941915	0.648485354494285	1.02393146617455	0.26288604549086	0.155490804291895	0.446426458565876
PT2	0.902410303759963	0.403594545019548	0.999253827163535	1.0471975511966	0.119095201514442	0	1.0547658205327	0.628966588686463	0.974010754188213	0.228943404147054	0.134998896541779	0.44018281924673
PT3	1.32176591767521	1.23205151562188	1.1599390779049	1.0471975511966	1.1019103941915	1.0547658205327	0	0.785620211273104	0.737037389451047	0.984122109757456	1.03747276300129	1.30344677278258
PT4	1.07648836195413	0.743943130571453	0.904327769395097	1.0471975511966	0.648485354494285	0.628966588686463	0.785620211273104	0	0.931190818676468	0.593455668818402	0.558773873473235	0.947614500832889
PT5	1.01822765425488	1.15153212690977	1.23563733714778	1.0471975511966	1.02393146617455	0.974010754188213	0.737037389451047	0.931190818676468	0	1.03811011064052	0.947026257981559	1.14808312301457
PT6	1.03633914562035	0.476046201343653	1.02395956657115	1.0471975511966	0.26288604549086	0.228943404147054	0.984122109757456	0.593455668818402	1.03811011064052	0	0.249120820579068	0.602529154030777
PT7	0.928135757039538	0.417826472155578	0.979958740953183	1.0471975511966	0.155490804291895	0.134998896541779	1.03747276300129	0.558773873473235	0.947026257981559	0.249120820579068	0	0.501314255066011
PT8	0.745059241918517	0.477055415665101	0.948509698008819	1.0471975511966	0.446426458565876	0.44018281924673	1.30344677278258	0.947614500832889	1.14808312301457	0.602529154030777	0.501314255066011	0
