	Liv1a	Liv1b	Liv1c	LN1	LN10	LN2	LN3	LN4	LN5	LN6	LN7	LN8	LN9	Normal1	PT1	PT2	PT3	PT4
Liv1a	0	0.375069363774804	0.336811642342326	0.393072187510851	0.458720233028913	0.621943409981693	0.428235529670624	0.776003711234077	0.542453689320549	0.510784608147852	0.581061520625021	0.587112296925617	0.503334669478774	1.0471975511966	0.525074771212219	0.557291222679667	0.533707084410596	0.542228737915014
Liv1b	0.375069363774804	0	0.20430467364813	0.278313978639585	0.274436743940939	0.409463390686984	0.230739016781031	0.603629570348046	0.301527211830047	0.238748978861129	0.367948991892281	0.433522103551469	0.285012822736744	1.0471975511966	0.418872180709055	0.422865169733677	0.39740613588593	0.329241944584079
Liv1c	0.336811642342326	0.20430467364813	0	0.288205972171249	0.337138428695899	0.501233201111548	0.222831416755697	0.663378619770765	0.379491244473466	0.340099553733277	0.443183248109118	0.530798724455335	0.373856327284969	1.0471975511966	0.492982438865204	0.498141504698443	0.416350728965594	0.415966728526176
LN1	0.393072187510851	0.278313978639585	0.288205972171249	0	0.30180178772883	0.414514696636756	0.311168479165492	0.647115942195748	0.306868180367101	0.309480408076803	0.404014938320765	0.439635622398587	0.292930559586213	1.0471975511966	0.405670600566796	0.413861226020598	0.231374705004273	0.300915403089223
LN10	0.458720233028913	0.274436743940939	0.337138428695899	0.30180178772883	0	0.217422835352743	0.3270459787684	0.512494883664244	0.326923708057864	0.285453089356178	0.223500199628135	0.329122254438745	0.255131222278509	1.0471975511966	0.288104116612125	0.277955391670328	0.402185431201896	0.26688348536786
LN2	0.621943409981693	0.409463390686984	0.501233201111548	0.414514696636756	0.217422835352743	0	0.462485334728575	0.4214453122402	0.35967028675002	0.353199758674825	0.233084305701344	0.260935702499701	0.285185581542963	1.0471975511966	0.270690209593976	0.26771653664872	0.4547409167729	0.287201570438941
LN3	0.428235529670624	0.230739016781031	0.222831416755697	0.311168479165492	0.3270459787684	0.462485334728575	0	0.604226439453188	0.304595665831242	0.21729643963247	0.399566611138134	0.462175436086004	0.288299346494292	1.0471975511966	0.432671659177501	0.451747021986206	0.451484190350177	0.32623099739863
LN4	0.776003711234077	0.603629570348046	0.663378619770765	0.647115942195748	0.512494883664244	0.4214453122402	0.604226439453188	0	0.503442099327274	0.525482950127874	0.468726892116089	0.373642948625924	0.45247126487973	1.0471975511966	0.41497665246622	0.458778676175266	0.666520173668813	0.50848805511702
LN5	0.542453689320549	0.301527211830047	0.379491244473466	0.306868180367101	0.326923708057864	0.35967028675002	0.304595665831242	0.503442099327274	0	0.202868346566808	0.345274616745326	0.351397241945234	0.225050609196464	1.0471975511966	0.369048185084363	0.378747552382193	0.390970183298486	0.263593102602346
LN6	0.510784608147852	0.238748978861129	0.340099553733277	0.309480408076803	0.285453089356178	0.353199758674825	0.21729643963247	0.525482950127874	0.202868346566808	0	0.321050828029401	0.341880518339073	0.173245789647405	1.0471975511966	0.339398807817	0.335186285838743	0.379101866176926	0.191282222083946
LN7	0.581061520625021	0.367948991892281	0.443183248109118	0.404014938320765	0.223500199628135	0.233084305701344	0.399566611138134	0.468726892116089	0.345274616745326	0.321050828029401	0	0.323979009582456	0.257757300818293	1.0471975511966	0.308427800171141	0.295585500766323	0.471312020090938	0.288370803122228
LN8	0.587112296925617	0.433522103551469	0.530798724455335	0.439635622398587	0.329122254438745	0.260935702499701	0.462175436086004	0.373642948625924	0.351397241945234	0.341880518339073	0.323979009582456	0	0.23234556787939	1.0471975511966	0.158208528590753	0.257597714986299	0.484458254905591	0.32797885504319
LN9	0.503334669478774	0.285012822736744	0.373856327284969	0.292930559586213	0.255131222278509	0.285185581542963	0.288299346494292	0.45247126487973	0.225050609196464	0.173245789647405	0.257757300818293	0.23234556787939	0	1.0471975511966	0.256666977364043	0.298446258115041	0.376387501653496	0.197700307026965
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.525074771212219	0.418872180709055	0.492982438865204	0.405670600566796	0.288104116612125	0.270690209593976	0.432671659177501	0.41497665246622	0.369048185084363	0.339398807817	0.308427800171141	0.158208528590753	0.256666977364043	1.0471975511966	0	0.174590050448463	0.455951473475807	0.296660670693449
PT2	0.557291222679667	0.422865169733677	0.498141504698443	0.413861226020598	0.277955391670328	0.26771653664872	0.451747021986206	0.458778676175266	0.378747552382193	0.335186285838743	0.295585500766323	0.257597714986299	0.298446258115041	1.0471975511966	0.174590050448463	0	0.433321077798367	0.265638492919813
PT3	0.533707084410596	0.39740613588593	0.416350728965594	0.231374705004273	0.402185431201896	0.4547409167729	0.451484190350177	0.666520173668813	0.390970183298486	0.379101866176926	0.471312020090938	0.484458254905591	0.376387501653496	1.0471975511966	0.455951473475807	0.433321077798367	0	0.353901919708401
PT4	0.542228737915014	0.329241944584079	0.415966728526176	0.300915403089223	0.26688348536786	0.287201570438941	0.32623099739863	0.50848805511702	0.263593102602346	0.191282222083946	0.288370803122228	0.32797885504319	0.197700307026965	1.0471975511966	0.296660670693449	0.265638492919813	0.353901919708401	0
