	Liv1a	Liv1b	Liv1c	LN1	LN2	LN3	LN4	Normal1	OvH1	Per1	Per10	Per11	Per12	Per13	Per14	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PTa1	PTa2	PTa3	PTa4	PTa5	PTa6	PTb1	PTb2	PTb3	PTb4	PTb5	PTb6	TD1	TD2	TD3	TD4	TD5	TD6
Liv1a	0	0.148752801847726	0.231605331803618	0.191303063981344	0.361049718030419	0.322822015221683	0.370043566591375	1.0471975511966	0.300613408245591	0.233996059305268	0.265263607713281	0.164809666728539	0.202604252803362	0.197423709548666	0.218811465447871	0.235178730669082	0.167827422694668	0.188752944164514	0.212021594132947	0.168691174467216	0.213682825465582	0.219540453768867	0.219396931832215	0.287428904444757	0.338874183168601	0.524608009327479	0.317127039397692	0.296597654887572	0.298528934713824	0.261965037447588	0.323832163726873	0.270586155687004	0.262107102919829	0.28080167483508	0.305758336400579	0.250445231253074	0.256287145956037	0.188811470454186	0.132398748252748	0.303700365837018	0.192590085372048
Liv1b	0.148752801847726	0	0.204646343098967	0.202966285457436	0.324577026815841	0.318921182093329	0.359557229114205	1.0471975511966	0.277289701033369	0.234946790435058	0.228344340150168	0.164553367078933	0.18892192123351	0.20005545308903	0.211473623746796	0.257198952724609	0.190547779554377	0.190755985896112	0.197268181528311	0.213974384352918	0.221096139027269	0.238271399860704	0.221579473627549	0.253050197195415	0.354154303667168	0.498437173940857	0.282576969670333	0.251824695782092	0.284218228153184	0.230478056513477	0.297712744284633	0.22860706365993	0.237600174249081	0.241170632729359	0.302239350497347	0.216846648950216	0.217315098037402	0.200239996245446	0.151332886971628	0.287150571954541	0.213410181229324
Liv1c	0.231605331803618	0.204646343098967	0	0.175107856824758	0.248454269480517	0.303943196752081	0.338438651275538	1.0471975511966	0.321070376570258	0.207218806655754	0.21715377696564	0.194825107213561	0.13867885295558	0.173012403684461	0.243927311253492	0.185200536607285	0.177800576768678	0.142339978305309	0.167414975721467	0.231975016452922	0.175474512723191	0.249504010165593	0.152687210928141	0.193039239760486	0.326290460225342	0.476162046158703	0.24628069341678	0.273326838635465	0.236369702447834	0.22961315645155	0.271383150008741	0.18314712077937	0.184587584837697	0.199069051149644	0.314457313331563	0.218645166558652	0.192818875933509	0.183024537496918	0.236917241616472	0.273077272505898	0.186185984411579
LN1	0.191303063981344	0.202966285457436	0.175107856824758	0	0.290802301248097	0.246543123821471	0.302635519994689	1.0471975511966	0.294214731913316	0.139378468049761	0.197304384781257	0.144629027566509	0.133277654635588	0.106095579249653	0.244763904721286	0.124619156169647	0.120654921609835	0.0720675155249287	0.10097060586427	0.200940317709982	0.113438960897605	0.123872666191825	0.133283237764524	0.213959239230561	0.290050057227608	0.522207665067519	0.207492685705803	0.267148539858636	0.231105973804704	0.188070066542232	0.255306910645704	0.188458523449249	0.157989044919656	0.167903963700255	0.275194507861739	0.16418692641573	0.159032693465417	0.0818955552142376	0.176724728945875	0.244203168649973	0.0908941086440308
LN2	0.361049718030419	0.324577026815841	0.248454269480517	0.290802301248097	0	0.276844646778798	0.412654033529227	1.0471975511966	0.356599960273927	0.260247796395149	0.28907209618612	0.267535944549714	0.273597295835259	0.271303500645874	0.353508181566563	0.257815281903137	0.268265685642053	0.275357840789545	0.263882116231064	0.301598455865965	0.246386237607535	0.332510708206606	0.233912627152334	0.247051966618709	0.364670836310943	0.464750752700122	0.185603919743633	0.210594578977442	0.307856901898197	0.314349455411064	0.320915420777997	0.2709241963323	0.292676163774655	0.313987584689038	0.453898520489164	0.311607670772275	0.290059684420052	0.286040369424554	0.381976095519988	0.219462848972317	0.281464665567029
LN3	0.322822015221683	0.318921182093329	0.303943196752081	0.246543123821471	0.276844646778798	0	0.418832783374498	1.0471975511966	0.352206346888591	0.218164181811094	0.303359409361126	0.240493332960229	0.250412171030206	0.274665713537008	0.288443791637464	0.210998039451795	0.268344365406216	0.26209636572389	0.258597683281934	0.280079623846953	0.229760220991631	0.313107345161452	0.220797010004696	0.255665639065052	0.422126637724801	0.550939944787641	0.238203695369476	0.278062821537941	0.34904190536362	0.343338625589065	0.370937466066032	0.314242895323038	0.300283928508885	0.3313120062628	0.402753111026323	0.327007297228925	0.309652507835723	0.224382663591358	0.346985658135349	0.28093330056	0.26815211105551
LN4	0.370043566591375	0.359557229114205	0.338438651275538	0.302635519994689	0.412654033529227	0.418832783374498	0	1.0471975511966	0.405305633529016	0.345308141778833	0.333796996335095	0.365327263330378	0.316977805394575	0.347625218081435	0.32139770075208	0.342740596363205	0.347934122215566	0.316942965081532	0.307104153890379	0.377905749340097	0.31253850564151	0.266507718335928	0.346216058525166	0.388521493028609	0.43312144580296	0.475992885375345	0.31731709744445	0.37264021880599	0.34458159691922	0.291544936064576	0.335353867908264	0.321773222346061	0.284714004768186	0.258531125690016	0.257171901650087	0.276999502322731	0.282397373645223	0.337763521437928	0.345633270269392	0.344112675234349	0.278259195869641
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1	0.300613408245591	0.277289701033369	0.321070376570258	0.294214731913316	0.356599960273927	0.352206346888591	0.405305633529016	1.0471975511966	0	0.294975650485194	0.260857812125374	0.26460994535782	0.294613703332237	0.271179136821341	0.249168204519169	0.325267237095693	0.264602137127131	0.291722574147539	0.276435941130725	0.298658327157843	0.273696882331693	0.303744087477497	0.289261481743766	0.285644091940691	0.421421801702542	0.424532213337102	0.360004956174506	0.336708991245283	0.372324978164647	0.274922202775865	0.277076041012971	0.293781916262138	0.319077253548892	0.338005514238927	0.423430868606842	0.286996813466419	0.295453192697925	0.278970708583395	0.329648694449011	0.297350984168911	0.291586487048669
Per1	0.233996059305268	0.234946790435058	0.207218806655754	0.139378468049761	0.260247796395149	0.218164181811094	0.345308141778833	1.0471975511966	0.294975650485194	0	0.170720030738679	0.136745606887946	0.133279208423509	0.127616094222947	0.271652606937148	0.136680015254147	0.130185423436538	0.130299494645658	0.12590936931116	0.205659431717403	0.105901401356249	0.182568019101612	0.104237188147878	0.15825392770898	0.27595516659619	0.504192423551826	0.202536990761059	0.251400017798075	0.267121872127013	0.210905864011072	0.233639312137687	0.187135345843063	0.189605741087088	0.210871739632482	0.306032868612344	0.204841621404414	0.180691719686879	0.128088409233215	0.230705672397349	0.22815989947227	0.133929707742966
Per10	0.265263607713281	0.228344340150168	0.21715377696564	0.197304384781257	0.28907209618612	0.303359409361126	0.333796996335095	1.0471975511966	0.260857812125374	0.170720030738679	0	0.178585629455578	0.179626863761181	0.152462965868961	0.271920799112126	0.204700829858323	0.162313015700115	0.168769621280371	0.161949710140998	0.237371741459499	0.158746419111241	0.203649470921517	0.173842560169032	0.156956683331285	0.267980787245873	0.469069268530682	0.245341177816553	0.26861442619524	0.270623339852554	0.124134013928528	0.146053874010526	0.114398099034659	0.164875820418415	0.178506848100484	0.296802964800268	0.145743561272623	0.123289198706452	0.178519084432202	0.250381972716508	0.236462949771557	0.170761560188532
Per11	0.164809666728539	0.164553367078933	0.194825107213561	0.144629027566509	0.267535944549714	0.240493332960229	0.365327263330378	1.0471975511966	0.26460994535782	0.136745606887946	0.178585629455578	0	0.145215943483055	0.104567739370721	0.252259973435398	0.16208825322232	0.108940813993878	0.120055462873504	0.120475526565706	0.151045645728684	0.119943089899197	0.184278155572776	0.127145037620615	0.169205504198211	0.290334668784957	0.484553276929046	0.232016955664753	0.210132178042513	0.263532345640694	0.198466149652429	0.233006739814166	0.183610788595159	0.206163883015607	0.226972512419216	0.31230049647753	0.198537827932346	0.188075056324099	0.12626557440947	0.17355484557303	0.244721623143502	0.13589406719431
Per12	0.202604252803362	0.18892192123351	0.13867885295558	0.133277654635588	0.273597295835259	0.250412171030206	0.316977805394575	1.0471975511966	0.294613703332237	0.133279208423509	0.179626863761181	0.145215943483055	0	0.133034088740694	0.21855025269572	0.144620847412251	0.134190349581138	0.120950004439182	0.13828762204727	0.20163246616052	0.129403176023372	0.19764203504855	0.112787434030375	0.166250678534179	0.304178137744598	0.462296602064047	0.236104707077946	0.258485652089271	0.238001968828797	0.195186883656565	0.238834541996394	0.164694418022599	0.161014074643321	0.179436412469652	0.258128572609003	0.189111768445354	0.156400286672693	0.131259675775425	0.203690990260124	0.261787443458549	0.13443644948293
Per13	0.197423709548666	0.20005545308903	0.173012403684461	0.106095579249653	0.271303500645874	0.274665713537008	0.347625218081435	1.0471975511966	0.271179136821341	0.127616094222947	0.152462965868961	0.104567739370721	0.133034088740694	0	0.272843112801613	0.129861312963155	0.0714946006285969	0.0816521449082599	0.0918586627587263	0.175974122343704	0.101839294933731	0.14927307292829	0.110412574555621	0.158213528018944	0.251101451377318	0.497944599990453	0.232646894756359	0.253571090003678	0.232034566445617	0.156652679426871	0.197739289420489	0.142456275346708	0.160783914736967	0.178153498489808	0.300325772800362	0.156656032469275	0.144850158361029	0.10405699445548	0.182017218671714	0.252008393946985	0.101194197614768
Per14	0.218811465447871	0.211473623746796	0.243927311253492	0.244763904721286	0.353508181566563	0.288443791637464	0.32139770075208	1.0471975511966	0.249168204519169	0.271652606937148	0.271920799112126	0.252259973435398	0.21855025269572	0.272843112801613	0	0.262212198308108	0.245347961732538	0.253478783838878	0.259511285733125	0.242590725240071	0.249400795810183	0.288379230043833	0.251346200623062	0.289564768096108	0.425046603790557	0.430393334692176	0.317764209564753	0.318944158817101	0.318368942436158	0.277713064938037	0.328604244723949	0.281530371841817	0.26203602192881	0.281610307621431	0.303580692881143	0.26897521094082	0.267266163706697	0.240584795623986	0.261119940662361	0.295128649242363	0.253467242514017
Per2	0.235178730669082	0.257198952724609	0.185200536607285	0.124619156169647	0.257815281903137	0.210998039451795	0.342740596363205	1.0471975511966	0.325267237095693	0.136680015254147	0.204700829858323	0.16208825322232	0.144620847412251	0.129861312963155	0.262212198308108	0	0.134942794748565	0.122994155784063	0.144422556983353	0.171055047627872	0.111583162101705	0.190740458136237	0.111771364285121	0.180527214229874	0.309605058785944	0.520173844497401	0.212786516338396	0.257731660884494	0.230677505886233	0.223633728566453	0.262515203350028	0.197552006937964	0.177823581364022	0.203056712454075	0.308222458025549	0.211678807558912	0.190756250450523	0.124643387143504	0.232604233053754	0.262452024637202	0.13078900033995
Per3	0.167827422694668	0.190547779554377	0.177800576768678	0.120654921609835	0.268265685642053	0.268344365406216	0.347934122215566	1.0471975511966	0.264602137127131	0.130185423436538	0.162313015700115	0.108940813993878	0.134190349581138	0.0714946006285969	0.245347961732538	0.134942794748565	0	0.108956779333426	0.123966958295866	0.152054997691222	0.102339833604882	0.161781313981465	0.115077501556551	0.179536676444432	0.260952892994886	0.487206990543298	0.235448266917715	0.255135873262553	0.248062171999772	0.170058422119828	0.219907387254605	0.16841755510839	0.169901586358574	0.199555945719433	0.305677741160646	0.166929998041413	0.165888192332103	0.0999764575643809	0.179244056427587	0.23469100762946	0.103850155445025
Per4	0.188752944164514	0.190755985896112	0.142339978305309	0.0720675155249287	0.275357840789545	0.26209636572389	0.316942965081532	1.0471975511966	0.291722574147539	0.130299494645658	0.168769621280371	0.120055462873504	0.120950004439182	0.0816521449082599	0.253478783838878	0.122994155784063	0.108956779333426	0	0.0804564873612593	0.181229493372411	0.101936445944692	0.141737087267935	0.108735010416124	0.182641305030815	0.267357813203517	0.510331218787911	0.210289563667021	0.248784087048679	0.229051969486327	0.178058495599685	0.229350125850182	0.160721150756779	0.155751682324682	0.166097698658383	0.288233927280237	0.160600128714592	0.148342839463467	0.0957254095422796	0.168420845910323	0.239638472353233	0.0893899119095142
Per5	0.212021594132947	0.197268181528311	0.167414975721467	0.10097060586427	0.263882116231064	0.258597683281934	0.307104153890379	1.0471975511966	0.276435941130725	0.12590936931116	0.161949710140998	0.120475526565706	0.13828762204727	0.0918586627587263	0.259511285733125	0.144422556983353	0.123966958295866	0.0804564873612593	0	0.21030200343192	0.0800716956787188	0.136477860570738	0.0967053625429366	0.173431382729276	0.276073607953678	0.497681180003957	0.193407302764375	0.232825604520655	0.23926928837168	0.178933681790531	0.215908621912379	0.162155237947568	0.177910877218173	0.175064928334754	0.281091517561475	0.173231230202549	0.158055147709002	0.130175266341702	0.197633900542257	0.230800294874181	0.103018487653317
Per6	0.168691174467216	0.213974384352918	0.231975016452922	0.200940317709982	0.301598455865965	0.280079623846953	0.377905749340097	1.0471975511966	0.298658327157843	0.205659431717403	0.237371741459499	0.151045645728684	0.20163246616052	0.175974122343704	0.242590725240071	0.171055047627872	0.152054997691222	0.181229493372411	0.21030200343192	0	0.180500028133218	0.231266891101013	0.191156264715557	0.231820828932138	0.330774246874586	0.487186181853298	0.282904685216844	0.246280633387227	0.27992324793863	0.247351717579987	0.280092628879207	0.243743170097894	0.240118735299677	0.269566638064465	0.344323415845737	0.241853191774282	0.242484882321529	0.186599716139629	0.183237320945372	0.277413143812275	0.179392871710728
Per7	0.213682825465582	0.221096139027269	0.175474512723191	0.113438960897605	0.246386237607535	0.229760220991631	0.31253850564151	1.0471975511966	0.273696882331693	0.105901401356249	0.158746419111241	0.119943089899197	0.129403176023372	0.101839294933731	0.249400795810183	0.111583162101705	0.102339833604882	0.101936445944692	0.0800716956787188	0.180500028133218	0	0.152222401574103	0.0794297377013003	0.162313381958864	0.292318035783332	0.484372554496158	0.190548912555656	0.231244334349146	0.249691349073926	0.188770102722869	0.217586458911936	0.177407270350587	0.180355429102904	0.195654112083376	0.29146988587817	0.18810460619608	0.171062177059015	0.120579197701201	0.217851051317876	0.219063572320844	0.0939716109477058
Per8	0.219540453768867	0.238271399860704	0.249504010165593	0.123872666191825	0.332510708206606	0.313107345161452	0.266507718335928	1.0471975511966	0.303744087477497	0.182568019101612	0.203649470921517	0.184278155572776	0.19764203504855	0.14927307292829	0.288379230043833	0.190740458136237	0.161781313981465	0.141737087267935	0.136477860570738	0.231266891101013	0.152222401574103	0	0.190472769722801	0.271798182158273	0.284168186573649	0.524764399561073	0.236677750302911	0.276160539408151	0.260527777077385	0.179692200418357	0.232283515139609	0.213390513682135	0.205473977554374	0.196554239433146	0.275537292359754	0.168942897137572	0.181575677937097	0.152911213483514	0.193629775203038	0.25947483290621	0.0868147736547858
Per9	0.219396931832215	0.221579473627549	0.152687210928141	0.133283237764524	0.233912627152334	0.220797010004696	0.346216058525166	1.0471975511966	0.289261481743766	0.104237188147878	0.173842560169032	0.127145037620615	0.112787434030375	0.110412574555621	0.251346200623062	0.111771364285121	0.115077501556551	0.108735010416124	0.0967053625429366	0.191156264715557	0.0794297377013003	0.190472769722801	0	0.144771920822038	0.27757472540695	0.486710703053635	0.199259962260457	0.229024823598451	0.254394902970303	0.218382996290625	0.235492459539356	0.177146039254808	0.19361893914073	0.21260823613173	0.312805104729877	0.214093439882519	0.191985540832508	0.125991683893139	0.234292588867669	0.224508777364132	0.125932815820577
PTa1	0.287428904444757	0.253050197195415	0.193039239760486	0.213959239230561	0.247051966618709	0.255665639065052	0.388521493028609	1.0471975511966	0.285644091940691	0.15825392770898	0.156956683331285	0.169205504198211	0.166250678534179	0.158213528018944	0.289564768096108	0.180527214229874	0.179536676444432	0.182641305030815	0.173431382729276	0.231820828932138	0.162313381958864	0.271798182158273	0.144771920822038	0	0.310983911145676	0.465485088851859	0.24969079434358	0.258239061950211	0.273929725206415	0.211522762685069	0.203581461330018	0.150162722717861	0.193074431596968	0.219792774897691	0.331568405819462	0.222318694421912	0.18446567462257	0.195411128535938	0.28492474271534	0.273675566218373	0.214315451058321
PTa2	0.338874183168601	0.354154303667168	0.326290460225342	0.290050057227608	0.364670836310943	0.422126637724801	0.43312144580296	1.0471975511966	0.421421801702542	0.27595516659619	0.267980787245873	0.290334668784957	0.304178137744598	0.251101451377318	0.425046603790557	0.309605058785944	0.260952892994886	0.267357813203517	0.276073607953678	0.330774246874586	0.292318035783332	0.284168186573649	0.27757472540695	0.310983911145676	0	0.553455877077191	0.306862701444567	0.343692067274634	0.32760567105856	0.275021434488974	0.27866325684279	0.259009638284236	0.287695101284387	0.295618818673595	0.392090798768703	0.284725696933234	0.280653422055594	0.293682177316571	0.326487090046379	0.280343567424366	0.268724262999544
PTa3	0.524608009327479	0.498437173940857	0.476162046158703	0.522207665067519	0.464750752700122	0.550939944787641	0.475992885375345	1.0471975511966	0.424532213337102	0.504192423551826	0.469069268530682	0.484553276929046	0.462296602064047	0.497944599990453	0.430393334692176	0.520173844497401	0.487206990543298	0.510331218787911	0.497681180003957	0.487186181853298	0.484372554496158	0.524764399561073	0.486710703053635	0.465485088851859	0.553455877077191	0	0.511078090804808	0.465549491211477	0.514032442709486	0.453246089307149	0.416661747093498	0.452320073524624	0.479686855227403	0.48966592690227	0.533089043919129	0.478284320093076	0.471583026416303	0.524160857884479	0.552059781543757	0.472795138213069	0.495068114739206
PTa4	0.317127039397692	0.282576969670333	0.24628069341678	0.207492685705803	0.185603919743633	0.238203695369476	0.31731709744445	1.0471975511966	0.360004956174506	0.202536990761059	0.245341177816553	0.232016955664753	0.236104707077946	0.232646894756359	0.317764209564753	0.212786516338396	0.235448266917715	0.210289563667021	0.193407302764375	0.282904685216844	0.190548912555656	0.236677750302911	0.199259962260457	0.24969079434358	0.306862701444567	0.511078090804808	0	0.18431593642593	0.271728029255489	0.267189374222904	0.301778947804564	0.244539937363265	0.237820485564979	0.239696691684288	0.356280363833131	0.249202165020034	0.23600500955284	0.227037208704536	0.315830742591942	0.161820476279155	0.209844514696242
PTa5	0.296597654887572	0.251824695782092	0.273326838635465	0.267148539858636	0.210594578977442	0.278062821537941	0.37264021880599	1.0471975511966	0.336708991245283	0.251400017798075	0.26861442619524	0.210132178042513	0.258485652089271	0.253571090003678	0.318944158817101	0.257731660884494	0.255135873262553	0.248784087048679	0.232825604520655	0.246280633387227	0.231244334349146	0.276160539408151	0.229024823598451	0.258239061950211	0.343692067274634	0.465549491211477	0.18431593642593	0	0.288114905128056	0.292349289308113	0.29539173620797	0.265392153652765	0.298237989223553	0.297968395307332	0.399634457208704	0.288748666300692	0.283047678505898	0.26627860058966	0.303217434520969	0.211039020099614	0.246993177673153
PTa6	0.298528934713824	0.284218228153184	0.236369702447834	0.231105973804704	0.307856901898197	0.34904190536362	0.34458159691922	1.0471975511966	0.372324978164647	0.267121872127013	0.270623339852554	0.263532345640694	0.238001968828797	0.232034566445617	0.318368942436158	0.230677505886233	0.248062171999772	0.229051969486327	0.23926928837168	0.27992324793863	0.249691349073926	0.260527777077385	0.254394902970303	0.273929725206415	0.32760567105856	0.514032442709486	0.271728029255489	0.288114905128056	0	0.244507906558335	0.283159811911077	0.222657996444065	0.225534262485257	0.222333644957055	0.332197744304708	0.237246252216291	0.225217412684192	0.25915710485742	0.274039646068794	0.32078610288601	0.236263545056024
PTb1	0.261965037447588	0.230478056513477	0.22961315645155	0.188070066542232	0.314349455411064	0.343338625589065	0.291544936064576	1.0471975511966	0.274922202775865	0.210905864011072	0.124134013928528	0.198466149652429	0.195186883656565	0.156652679426871	0.277713064938037	0.223633728566453	0.170058422119828	0.178058495599685	0.178933681790531	0.247351717579987	0.188770102722869	0.179692200418357	0.218382996290625	0.211522762685069	0.275021434488974	0.453246089307149	0.267189374222904	0.292349289308113	0.244507906558335	0	0.127860338914408	0.0976196523936555	0.117693556721834	0.12241836412535	0.26419139311354	0.0724879547927261	0.0779573472165254	0.188318625014301	0.225476010385761	0.266975123211443	0.165381329563001
PTb2	0.323832163726873	0.297712744284633	0.271383150008741	0.255306910645704	0.320915420777997	0.370937466066032	0.335353867908264	1.0471975511966	0.277076041012971	0.233639312137687	0.146053874010526	0.233006739814166	0.238834541996394	0.197739289420489	0.328604244723949	0.262515203350028	0.219907387254605	0.229350125850182	0.215908621912379	0.280092628879207	0.217586458911936	0.232283515139609	0.235492459539356	0.203581461330018	0.27866325684279	0.416661747093498	0.301778947804564	0.29539173620797	0.283159811911077	0.127860338914408	0	0.135413230290699	0.202462286264112	0.207300687513128	0.328755200535283	0.177445179434655	0.17085072599318	0.247845959932257	0.300740213589677	0.286426558972779	0.215227300259828
PTb3	0.270586155687004	0.22860706365993	0.18314712077937	0.188458523449249	0.2709241963323	0.314242895323038	0.321773222346061	1.0471975511966	0.293781916262138	0.187135345843063	0.114398099034659	0.183610788595159	0.164694418022599	0.142456275346708	0.281530371841817	0.197552006937964	0.16841755510839	0.160721150756779	0.162155237947568	0.243743170097894	0.177407270350587	0.213390513682135	0.177146039254808	0.150162722717861	0.259009638284236	0.452320073524624	0.244539937363265	0.265392153652765	0.222657996444065	0.0976196523936555	0.135413230290699	0	0.110388479068302	0.121790055812316	0.283995859155066	0.112288718918651	0.0819680190265169	0.18161614558689	0.244861634080287	0.260723926764927	0.173770386059664
PTb4	0.262107102919829	0.237600174249081	0.184587584837697	0.157989044919656	0.292676163774655	0.300283928508885	0.284714004768186	1.0471975511966	0.319077253548892	0.189605741087088	0.164875820418415	0.206163883015607	0.161014074643321	0.160783914736967	0.26203602192881	0.177823581364022	0.169901586358574	0.155751682324682	0.177910877218173	0.240118735299677	0.180355429102904	0.205473977554374	0.19361893914073	0.193074431596968	0.287695101284387	0.479686855227403	0.237820485564979	0.298237989223553	0.225534262485257	0.117693556721834	0.202462286264112	0.110388479068302	0	0.074595811452884	0.24874102975484	0.0981098849592738	0.0772122627445857	0.164682488040514	0.230120843335568	0.264636834615409	0.166618800388256
PTb5	0.28080167483508	0.241170632729359	0.199069051149644	0.167903963700255	0.313987584689038	0.3313120062628	0.258531125690016	1.0471975511966	0.338005514238927	0.210871739632482	0.178506848100484	0.226972512419216	0.179436412469652	0.178153498489808	0.281610307621431	0.203056712454075	0.199555945719433	0.166097698658383	0.175064928334754	0.269566638064465	0.195654112083376	0.196554239433146	0.21260823613173	0.219792774897691	0.295618818673595	0.48966592690227	0.239696691684288	0.297968395307332	0.222333644957055	0.12241836412535	0.207300687513128	0.121790055812316	0.074595811452884	0	0.226912279869898	0.0992905475171667	0.0830833421144659	0.192679561727648	0.228707115403985	0.281034960994706	0.176019975409424
PTb6	0.305758336400579	0.302239350497347	0.314457313331563	0.275194507861739	0.453898520489164	0.402753111026323	0.257171901650087	1.0471975511966	0.423430868606842	0.306032868612344	0.296802964800268	0.31230049647753	0.258128572609003	0.300325772800362	0.303580692881143	0.308222458025549	0.305677741160646	0.288233927280237	0.281091517561475	0.344323415845737	0.29146988587817	0.275537292359754	0.312805104729877	0.331568405819462	0.392090798768703	0.533089043919129	0.356280363833131	0.399634457208704	0.332197744304708	0.26419139311354	0.328755200535283	0.283995859155066	0.24874102975484	0.226912279869898	0	0.268290105015562	0.245191010106603	0.302109320854801	0.271221580926898	0.397987035634611	0.270968135866919
TD1	0.250445231253074	0.216846648950216	0.218645166558652	0.16418692641573	0.311607670772275	0.327007297228925	0.276999502322731	1.0471975511966	0.286996813466419	0.204841621404414	0.145743561272623	0.198537827932346	0.189111768445354	0.156656032469275	0.26897521094082	0.211678807558912	0.166929998041413	0.160600128714592	0.173231230202549	0.241853191774282	0.18810460619608	0.168942897137572	0.214093439882519	0.222318694421912	0.284725696933234	0.478284320093076	0.249202165020034	0.288748666300692	0.237246252216291	0.0724879547927261	0.177445179434655	0.112288718918651	0.0981098849592738	0.0992905475171667	0.268290105015562	0	0.0736641584492451	0.166423927697563	0.209682512874314	0.260340623221301	0.155238833354902
TD2	0.256287145956037	0.217315098037402	0.192818875933509	0.159032693465417	0.290059684420052	0.309652507835723	0.282397373645223	1.0471975511966	0.295453192697925	0.180691719686879	0.123289198706452	0.188075056324099	0.156400286672693	0.144850158361029	0.267266163706697	0.190756250450523	0.165888192332103	0.148342839463467	0.158055147709002	0.242484882321529	0.171062177059015	0.181575677937097	0.191985540832508	0.18446567462257	0.280653422055594	0.471583026416303	0.23600500955284	0.283047678505898	0.225217412684192	0.0779573472165254	0.17085072599318	0.0819680190265169	0.0772122627445857	0.0830833421144659	0.245191010106603	0.0736641584492451	0	0.166119159451879	0.218486331954769	0.261676685311938	0.153367003244355
TD3	0.188811470454186	0.200239996245446	0.183024537496918	0.0818955552142376	0.286040369424554	0.224382663591358	0.337763521437928	1.0471975511966	0.278970708583395	0.128088409233215	0.178519084432202	0.12626557440947	0.131259675775425	0.10405699445548	0.240584795623986	0.124643387143504	0.0999764575643809	0.0957254095422796	0.130175266341702	0.186599716139629	0.120579197701201	0.152911213483514	0.125991683893139	0.195411128535938	0.293682177316571	0.524160857884479	0.227037208704536	0.26627860058966	0.25915710485742	0.188318625014301	0.247845959932257	0.18161614558689	0.164682488040514	0.192679561727648	0.302109320854801	0.166423927697563	0.166119159451879	0	0.187196021595017	0.242767454108283	0.101576582969027
TD4	0.132398748252748	0.151332886971628	0.236917241616472	0.176724728945875	0.381976095519988	0.346985658135349	0.345633270269392	1.0471975511966	0.329648694449011	0.230705672397349	0.250381972716508	0.17355484557303	0.203690990260124	0.182017218671714	0.261119940662361	0.232604233053754	0.179244056427587	0.168420845910323	0.197633900542257	0.183237320945372	0.217851051317876	0.193629775203038	0.234292588867669	0.28492474271534	0.326487090046379	0.552059781543757	0.315830742591942	0.303217434520969	0.274039646068794	0.225476010385761	0.300740213589677	0.244861634080287	0.230120843335568	0.228707115403985	0.271221580926898	0.209682512874314	0.218486331954769	0.187196021595017	0	0.322994662989633	0.177997884126575
TD5	0.303700365837018	0.287150571954541	0.273077272505898	0.244203168649973	0.219462848972317	0.28093330056	0.344112675234349	1.0471975511966	0.297350984168911	0.22815989947227	0.236462949771557	0.244721623143502	0.261787443458549	0.252008393946985	0.295128649242363	0.262452024637202	0.23469100762946	0.239638472353233	0.230800294874181	0.277413143812275	0.219063572320844	0.25947483290621	0.224508777364132	0.273675566218373	0.280343567424366	0.472795138213069	0.161820476279155	0.211039020099614	0.32078610288601	0.266975123211443	0.286426558972779	0.260723926764927	0.264636834615409	0.281034960994706	0.397987035634611	0.260340623221301	0.261676685311938	0.242767454108283	0.322994662989633	0	0.231588270971553
TD6	0.192590085372048	0.213410181229324	0.186185984411579	0.0908941086440308	0.281464665567029	0.26815211105551	0.278259195869641	1.0471975511966	0.291586487048669	0.133929707742966	0.170761560188532	0.13589406719431	0.13443644948293	0.101194197614768	0.253467242514017	0.13078900033995	0.103850155445025	0.0893899119095142	0.103018487653317	0.179392871710728	0.0939716109477058	0.0868147736547858	0.125932815820577	0.214315451058321	0.268724262999544	0.495068114739206	0.209844514696242	0.246993177673153	0.236263545056024	0.165381329563001	0.215227300259828	0.173770386059664	0.166618800388256	0.176019975409424	0.270968135866919	0.155238833354902	0.153367003244355	0.101576582969027	0.177997884126575	0.231588270971553	0
