sample	tissue_type
C100M1a	red
C100M1b	red
C100M1c	red
C100M2a	red
C100M3a	red
C100M3b	red
C100M3c	red
C100M3d	red
C100L1	brown
C100L2	brown
C100L3	brown
C100L4	brown
C100N1	darkgreen
C100N2	darkgreen
C100N3	darkgreen
C100P1a	darkorange
C100P1b	darkorange
C100P1c	darkorange
C100P1d	darkorange
C100P1e	darkorange
C100P1f	darkorange
C100P1g	darkorange
