sample	tissue_type
C102N3	darkgreen
C102N4	darkgreen
C102P1a	darkorange
C102P1b	darkorange
C102P1c	darkorange
C102P1d	darkorange
C102P1e	darkorange
C102P1f	darkorange
C102P1g	darkorange
C102P1h	darkorange
C102P1i	darkorange
C102P1j	darkorange
C102L1	brown
C102L2	brown
C102L3	brown
C102L4	brown
C102L5	brown
C102M1	red
C102M2	red
C102M3	red
C102M4	red
C102M5	red
C102M6	red
C102M7	red
