sample	tissue_type
C90L1	brown
C90L2	brown
C90L3	brown
C90L4	brown
C90L5	brown
C90M1a	red
C90M1b	red
C90M1c	red
C90N1	darkgreen
C90N2	darkgreen
C90N3	darkgreen
C90N4	darkgreen
C90P1a	darkorange
C90P1b	darkorange
C90P1c	darkorange
C90P1d	darkorange
C90P1e	darkorange
C90P1f	darkorange
C90P1g	darkorange
C90P1h	darkorange
C90P1i	darkorange
C90P1j	darkorange
C90P1k	darkorange
C90Ad1	darkgreen
C90Ad2a	darkgreen
C90Ad2b	darkgreen
