E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_1	E18B5_2	E18B5_3	E18B6_1	E18B6_2	E18B6_3	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L1_1	E18L1_2	E18L1_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD1_1	E18LD1_2	E18LD1_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18LD2b_2	E18LD2b_3	E18LD3_1	E18LD3_2	E18LD3_3	E18N1_1	E18N1_2	E18N1_3	E18N2_1	E18N2_2	E18N2_3	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_1	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X2_2	E18X2_3	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
523	395	634	1228	897	855	597	561	667	593	660	554	674	581	622	676	670	491	407	465	435	686	614	601	642	672	535	582	656	509	507	519	543	475	364	334	321	292	214	408	578	456	386	469	304	177	254	196	335	464	383	403	467	275	334	310	202	863	1120	828	1081	1278	1159	1036	1081	1181	466	620	402	431	505	381	385	422	408	441	770	426	571	756	712	372	499	451	545	678	600	567	843	579	446	448	500	590	541	388	342	456	351	340	533	282	460	414	432	664	840	646	798	604	983	803	526	901	698	512	890	645	629	923	398	345	534	605	547	771
928	856	1050	2384	1978	1775	1074	1181	1499	1334	1424	1206	1719	1073	1175	1397	1395	1309	594	645	637	1210	1340	1139	1196	1333	957	1035	1245	907	952	1111	1044	1005	773	366	542	405	397	737	925	660	808	890	558	516	365	542	699	955	630	718	776	483	688	616	414	1554	2006	1717	2151	2911	2432	2237	2401	2392	1092	1123	891	868	874	762	893	867	781	926	1406	833	1256	1571	1393	704	1049	793	1169	1410	1406	1249	1778	1325	464	538	450	1181	1198	793	835	740	873	620	777	475	835	817	877	1038	1467	1232	1354	1208	2072	1542	1210	1928	1410	1150	1907	1401	1242	1826	774	705	927	1156	1036	1574
2583	2168	2845	5720	4338	4394	3042	2959	4163	3667	3527	3472	4094	2867	3411	3744	3620	3138	2195	2530	2122	3605	3764	3470	3602	3862	3056	3278	3675	3082	2840	2795	2900	3042	2210	1224	1046	1156	817	2539	2830	2164	2059	2271	1562	990	856	1209	2151	2896	2143	2217	2288	1412	1671	1398	883	4321	5131	4910	5374	6678	5856	5625	5294	6045	2643	3187	2218	2462	2541	2186	2089	2378	2281	2329	3446	2535	2877	3595	3349	2312	2770	2290	2856	3103	2815	3165	4234	3569	2189	2415	2134	2741	3010	2042	2266	2231	2456	1782	2405	1541	2647	2379	2525	3383	4230	3489	3685	3060	5322	4288	2895	4890	3747	2893	4866	3465	3165	4331	2375	1774	2681	3003	2646	4107
3248	2949	3620	8520	6942	6756	3739	3834	5563	5144	5081	4641	5944	3731	4429	5056	4565	4279	1720	1957	1654	4385	4590	4201	4080	5155	3501	3793	4893	3662	3459	3782	3584	3340	2905	1026	1474	1391	1125	2554	2954	2139	2569	2572	1818	1439	1152	1478	2372	3184	2085	2587	2780	1606	2313	1947	1349	5845	6552	6625	7696	9964	9162	8384	8164	9753	3513	4136	2898	2979	3063	2618	2628	2781	2504	2833	4136	2886	3676	5482	4798	2493	3865	2461	3860	4583	3924	4066	6292	4611	754	925	861	3532	3927	2571	2669	2510	2919	1852	2617	1416	2796	2588	2881	3684	4552	4005	4821	4225	7215	5887	4109	7144	5124	4032	6903	4743	4469	6276	2757	2030	3199	4001	3446	5557
4406	3863	4673	11019	9086	9175	5166	5313	7461	7039	6919	6316	7911	5116	6096	6729	6222	5662	2306	2732	2198	6042	6233	5868	5455	7031	4804	5216	6772	4967	4635	5061	4803	4565	4008	1367	1758	1813	1449	3438	4020	3053	3085	3233	2332	1817	1551	1906	3045	4095	2834	3447	3519	2176	2765	2291	1705	7529	8891	8690	9873	13424	11593	11054	10338	12885	4688	5385	3905	3905	4112	3490	3372	3631	3166	3499	5502	3688	4700	6573	6296	3363	4952	3283	4861	5864	5016	5212	8286	6132	1024	1338	1086	4360	4986	3341	3566	3120	3754	2400	3399	1880	3786	3479	3822	4830	6011	5065	6324	5729	9309	8054	5720	9347	6742	5550	9297	6028	5993	7871	3647	2789	4098	5227	4526	7383
4356	3606	4486	10456	8681	8651	4984	5201	7229	6932	6905	6124	7425	4936	5841	6256	5864	5541	2303	2724	2260	5835	5986	5555	5218	6695	4657	5121	6553	4878	4625	5061	4511	4475	3887	1286	1635	1849	1318	3222	4301	2941	2864	3043	2245	1747	1540	1745	2976	3843	2829	3377	3425	2170	2406	1980	1599	7355	8553	8110	9316	12697	11007	10071	9770	12298	4463	5282	3809	3861	3978	3479	3447	3671	3024	3356	5214	3383	4496	6037	5997	3388	4711	3247	4545	5307	4527	4907	7929	5750	1069	1290	1128	4123	4465	3189	3498	2981	3593	2443	3422	1922	3687	3388	3770	4518	5943	4740	6009	5587	8399	7725	5558	9035	6388	5678	8411	5743	5556	7589	3402	2703	4259	5068	4401	7129
2697	2302	2800	6013	4949	5138	2994	3274	4601	4388	4132	3574	4351	2961	3542	3653	3432	3258	1410	1592	1345	3433	3610	3468	2992	4168	2837	3120	3995	3027	2767	2961	2780	2783	2460	695	952	1213	809	1955	2754	1768	1648	1728	1293	1063	1082	1019	1719	2197	1666	2069	2003	1246	1291	992	883	4184	4602	4506	5343	7083	6221	5891	5458	7364	2643	3079	2237	2508	2511	2302	2247	2398	1855	1870	3211	1988	2623	3576	3394	2156	3151	1936	2785	3185	2582	2737	4482	3301	672	758	748	2400	2606	1918	2113	1728	2216	1605	2156	1279	2349	2038	2387	2566	3526	2878	3490	3436	5028	4756	3315	5539	3692	3547	4955	3684	3260	4509	2132	1717	2522	3012	2638	4274
797	616	776	1533	1344	1341	676	955	927	945	1086	924	1151	724	798	999	837	810	402	441	342	766	924	731	721	932	575	716	1010	638	666	806	658	752	715	197	336	321	272	494	770	483	454	595	428	386	228	348	585	555	458	543	510	366	339	310	266	939	1437	1061	1170	2028	1463	1358	1534	1715	785	729	579	766	697	707	771	643	529	529	940	649	753	887	926	609	810	536	892	889	852	743	1094	836	151	165	175	787	710	605	617	501	617	532	785	499	721	657	726	661	926	711	927	946	1384	1110	879	1157	971	873	1378	909	988	1211	568	483	743	774	759	1106
