E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_3	E18B4_1	E18B5_2	E18B5_3	E18B6_3	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L1_1	E18L1_2	E18L4a_3	E18L4b_1	E18L4b_3	E18LD1_1	E18LD2a_1	E18LD2a_3	E18LD2b_1	E18LD2b_3	E18N1_2	E18N1_3	E18N2_2	E18N2_3	E18N3_2	E18N3_3	E18P10_1	E18P10_3	E18P11_1	E18P11_3	E18P12_1	E18P12_3	E18P1_1	E18P1_3	E18P2_1	E18P2_3	E18P3_1	E18P3_3	E18P4_1	E18P4_3	E18P5_1	E18P5_3	E18P6_1	E18P6_3	E18P7_1	E18P8_1	E18P8_3	E18P9_1	E18P9_3	E18X1_2	E18X1_3	E18X2_2	E18X2_3	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_2	E18X7_3	E18X8_2	E18X8_3
498	979	1222	138	656	637	415	1343	933	1467	446	729	384	452	958	201	964	976	643	951	960	438	1217	513	1225	1519	1022	717	923	524	754	74	407	1011	566	1202	664	1748	443	1794	404	1310	363	643	509	1193	619	273	484	550	250	767	442	799	408	798	388	1187	724	629	405	580	779	438	903	553	658	743	1369	861	73	351	394	1349	362	638	313	481	119	847	343	869	183	1094	263
1003	1938	2617	274	1293	1159	731	2711	1860	2709	775	1461	537	921	1635	378	1817	1790	1192	1624	1915	625	2327	1111	2337	2643	2038	1290	1565	1184	1381	140	587	1828	983	2258	1156	3635	867	3607	744	2762	679	1231	1027	2633	1188	581	959	1085	446	1248	727	1522	787	1539	746	2639	1434	1316	811	1142	1541	805	1801	1015	981	1419	2719	1808	138	649	709	2756	763	1217	550	985	237	1671	632	1471	297	1982	424
2011	4046	5296	553	2538	2623	1463	5580	3953	6141	1360	3065	703	1835	3293	698	3964	3987	2320	3255	4175	1109	5313	2426	4904	6062	4131	1763	2111	2414	2411	283	745	3799	1948	4258	2335	7184	1770	7278	1418	5815	1407	2268	2278	5259	2592	891	1813	1937	792	2604	1408	3324	1645	3209	1523	5532	3050	2741	1598	1749	2891	1291	3428	1864	1739	2633	5314	4115	246	1078	1516	5503	1585	2606	861	1970	468	3197	1421	3128	440	3822	491
3083	5877	7719	816	3539	3940	2147	8644	5820	9366	1915	4452	771	2797	4612	982	6075	5756	3241	4613	6208	1426	7929	3736	7345	9065	6179	1958	2189	3776	3220	421	735	5617	2924	6376	3522	10469	2734	10839	2110	8426	2001	3266	3441	8139	3785	1070	2511	2601	1122	3572	2070	4899	2386	4760	2280	8209	4561	4029	2321	2275	4322	1797	4894	2749	2229	3917	7601	6048	343	1496	2190	7825	2353	3857	1126	2947	668	4850	2176	4489	529	5659	505
3555	6646	9195	948	3772	4500	2494	10333	6785	10849	2099	5205	741	3334	5204	997	7228	6594	3587	4853	7148	1538	9052	4276	8496	10553	7349	1819	1822	4407	3490	468	626	6474	3380	7200	3982	12166	3110	12564	2359	9737	2310	3635	3943	9496	4447	915	2762	2906	1239	3921	2264	5608	2795	5464	2697	9602	5395	4442	2630	2392	4922	1984	5490	3109	2409	4388	8993	6855	407	1677	2440	8823	2709	4429	1246	3503	650	5685	2569	5012	498	6543	416
3117	5762	7847	831	3159	4160	2225	9361	5927	9968	1803	4559	581	2908	4413	743	6567	5798	2920	4029	6523	1307	7890	3818	7425	9420	6386	1296	1311	3866	2944	405	415	5995	3006	6403	3514	10684	2876	11079	2109	8482	2151	3161	3535	8697	3953	519	2403	2450	1085	3390	1969	5062	2381	5008	2341	8529	4599	3959	2244	1839	4427	1670	4686	2645	1913	3770	7375	6123	332	1373	2093	7314	2537	3756	1028	3014	515	4853	2358	4128	394	5697	291
1925	3486	4923	498	1635	2738	1381	5933	3785	6300	1001	2644	283	1767	2481	345	3905	3504	1514	2138	4009	696	4825	2398	4660	5760	3732	598	613	2315	1639	217	219	3699	1784	3691	2057	6627	1810	6832	1321	5072	1330	1836	2142	5431	2456	267	1429	1325	544	1912	1110	2964	1399	2962	1385	5228	2671	2295	1284	1053	2682	954	2741	1473	925	2219	4354	3802	224	793	1190	4379	1608	2272	608	1722	249	2907	1437	2372	220	3480	210
599	1209	1647	127	443	838	469	1999	1160	2036	379	897	113	636	798	95	1313	1231	370	661	1373	270	1586	755	1457	2137	1319	229	243	818	594	65	102	1197	577	1276	795	2424	582	2045	395	1535	390	622	697	1630	776	75	495	485	192	742	412	1001	489	933	510	1792	975	793	491	429	942	316	820	541	318	801	1485	1282	72	272	301	1481	532	642	222	540	69	999	503	765	89	1280	81
