E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_1	E18B5_2	E18B5_3	E18B6_1	E18B6_2	E18B6_3	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L1_1	E18L1_2	E18L1_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD1_1	E18LD1_2	E18LD1_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18LD2b_2	E18LD2b_3	E18LD3_1	E18LD3_2	E18LD3_3	E18N1_1	E18N1_2	E18N2_1	E18N2_2	E18N2_3	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X2_2	E18X2_3	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
240	235	290	397	438	513	796	393	598	796	696	803	864	423	527	496	352	701	414	365	568	957	658	1137	671	508	852	724	531	750	517	210	276	670	409	393	1592	1492	363	451	503	661	423	354	421	1141	1363	145	565	617	749	582	361	545	0	113	0	698	1352	615	427	842	687	431	636	489	524	634	343	313	319	436	423	326	490	816	505	436	401	263	159	133	857	580	861	629	819	378	540	532	456	482	231	608	333	463	324	347	242	449	723	556	1030	514	169	384	678	420	472	483	309	515	394	548	306	622	159	376	413	202	464
2380	1857	2569	4276	3651	5684	9120	6040	7663	8534	7005	8594	7546	5432	6439	6339	4036	6758	4437	3687	4641	8558	6698	9330	7781	5933	9387	6823	6093	8543	5008	3634	2982	5657	4181	5253	4660	3017	1416	5331	6375	8156	4135	3768	3233	1912	2345	1792	6590	6360	8033	6030	4411	5642	1016	1103	522	7019	10332	5746	4400	7168	6624	4808	6340	4207	5785	6510	4409	4089	4548	3773	3664	3647	4133	6499	5876	4927	4505	2802	1567	2373	7628	7192	7554	5498	6145	4480	3717	2175	3341	4561	1703	4961	3997	5102	4136	4044	3119	5329	6389	6354	8936	4392	3538	3797	6410	5004	5345	5557	4215	5800	4898	5572	4248	2780	2253	4005	3883	2543	1584
6576	3576	6554	11379	10033	15658	24927	16774	20785	22390	19447	23562	20221	15570	17422	16879	10880	18532	12078	10201	12168	23608	18141	24013	20546	16258	26340	19466	16702	22767	13094	10557	8928	16542	12193	15383	5161	4616	2806	15580	17043	21954	10488	9661	8952	2615	5349	4919	18261	16751	21549	16581	11692	15389	2727	3121	1499	18774	25466	15308	11565	18372	17226	11589	15419	11567	15862	16946	11838	11530	12801	9160	10480	9758	11075	13886	16792	13879	13434	7530	4121	6216	19486	19142	21217	13831	15825	13773	10358	5577	7680	11353	4473	14513	12295	12509	11937	12032	9378	16664	17094	17054	22602	11465	10035	8350	17737	13670	13850	16274	12033	15697	11405	14193	10465	7669	5957	11123	8440	5562	3703
1656	830	1350	1838	1627	2712	4065	2657	3595	4167	3339	4115	3503	2879	2826	3405	2228	3413	2225	1889	2142	3644	2895	3885	3470	2877	4275	3686	2923	3772	2569	1995	1721	3383	2748	3083	2208	3730	1885	2802	3342	3709	1939	2418	1766	907	1522	1512	2912	3098	4083	3180	2268	2788	635	413	853	2862	3845	2460	2247	2857	2755	1954	2614	1944	2570	2615	1679	1868	2043	1735	2540	2154	2352	3753	2559	2254	2290	1500	758	1058	3125	3163	3327	2305	2496	2259	2284	1417	1452	2699	1066	2839	2024	2028	2184	2612	1821	3579	2705	2764	3536	2219	1804	1586	2686	2398	2493	2855	2167	2658	1972	2830	2323	1712	1197	2327	2865	1682	1594
2251	996	1118	1039	597	1351	2695	1732	2638	3050	2541	3039	2754	2203	2055	2617	1577	1854	1940	1627	1639	2025	1801	2204	2347	2218	2551	2583	2269	2874	2606	1960	1736	4809	3701	3826	1721	1679	1710	2240	2217	2829	1267	1736	1572	592	790	1389	2056	2029	3407	2213	1423	2163	609	187	688	1511	1681	999	963	1365	1426	1285	1225	1173	1327	1609	1176	1300	1178	1220	1565	1000	1257	1594	1545	1298	1457	1064	619	698	1549	1832	1645	1270	1301	1246	1030	1230	1196	2270	952	2996	1632	1466	2079	3322	2447	4213	1481	1488	2039	1837	1431	1123	1455	1487	1428	1835	1634	2002	1506	1839	1805	1645	1047	2365	1611	698	583
3408	1451	1719	1615	926	1938	4112	2910	4515	4498	4082	5037	4275	3314	3479	3888	2612	2850	3023	2541	2560	3444	2912	3563	3525	3595	4202	4112	3803	4682	3901	3192	2898	7759	5978	6389	1051	278	673	3436	3273	4517	1712	2349	2309	530	485	922	3201	3095	5313	2938	1883	2919	836	322	592	2518	2423	1603	1584	2200	2414	1950	1847	2160	2354	2737	2294	2242	2131	1961	1815	1464	1427	1312	2761	2242	2463	1619	1000	1268	2586	3173	2641	1999	2032	2103	1361	1396	1625	3387	1410	4492	2809	2458	3222	5103	3776	6249	2387	2522	3506	2707	2324	1849	2449	2352	2231	3050	2685	2927	2239	2526	2408	2462	1442	3726	2110	1034	454
2414	897	1261	1822	1029	1809	3786	2550	4358	3872	3706	4390	4156	2879	3121	3451	2434	2471	2565	2569	2419	3442	2921	3531	3136	3353	3862	3951	3758	4517	3283	2718	2577	6790	4991	5449	1434	209	212	2976	2653	4163	1450	1673	1526	211	248	425	2795	2575	4557	2537	1577	2321	539	294	388	2420	2403	1681	1719	2278	2544	1942	1752	2356	2481	2727	2526	2515	2256	1931	1591	1484	1419	1147	3074	2424	2726	1405	964	1357	2660	3415	2921	1955	2253	2253	1072	1099	1305	2712	1199	3484	2990	2542	3320	4195	3283	5113	2621	2797	3453	2267	2245	1828	2217	2511	2043	2375	2313	2648	1807	2302	2049	2311	1174	3210	1896	914	349
417	108	121	358	448	688	616	357	692	870	753	739	1086	503	768	774	383	523	495	378	627	956	746	975	621	658	1023	775	851	1043	601	551	469	763	518	580	103	48	0	398	461	460	142	198	194	0	75	0	390	373	736	582	462	350	89	96	86	1119	949	752	784	1218	818	502	720	885	1108	1107	1291	1444	1163	571	563	672	723	460	1218	1246	1272	497	291	288	1343	1363	1234	727	1170	788	147	163	248	364	178	608	1174	1807	947	450	376	457	1133	1676	1382	366	351	342	434	694	568	492	471	514	315	478	571	324	249	478	567	138	93
