E18B10_2	E18B10_3	E18B12_1	E18B12_3	E18B1_2	E18B1_3	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_2	E18B4_3	E18B5_3	E18B6_1	E18B6_2	E18B6_3	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_2	E18B9_3	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD2a_2	E18LD2a_3	E18LD2b_2	E18LD2b_3	E18N1_1	E18N3_3	E18P10_3	E18P11_2	E18P11_3	E18P12_3	E18P1_3	E18P2_3	E18P3_2	E18P3_3	E18P4_3	E18P5_3	E18P6_2	E18P7_2	E18P7_3	E18P8_2	E18P8_3	E18P9_3	E18X1_2	E18X1_3	E18X2_1	E18X3_3	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_3
752	699	665	928	854	852	663	744	546	596	382	664	789	657	759	872	621	863	664	1053	676	736	711	731	1329	996	1506	1844	1402	735	624	461	186	769	854	848	1123	862	1158	538	614	338	488	579	578	320	1110	1197	458	348	769	818	643	129	973	410	308	754	749	726	1427	1240	744	897	1165	1216
2585	2468	2195	3088	2794	2778	2560	2681	1906	1826	1453	2216	2383	2300	2633	2725	1798	2690	2259	3225	2038	2195	2216	2541	3961	3317	5100	5920	3944	2262	1925	1746	849	2272	3156	2785	3194	2487	3284	1652	2305	1197	1309	2148	1840	1213	3631	4417	1693	1345	2750	2707	2184	447	3127	1155	932	2435	2307	2085	3578	3512	2708	2829	3215	3314
5606	5702	5943	7457	6273	6479	5732	6620	5217	4628	3553	6011	5154	6045	6626	7290	4594	6515	5196	8568	5040	4971	5535	5854	9258	7924	12128	13712	10048	5387	4652	4828	2809	6496	6869	7194	7457	5878	7866	4919	5636	3019	3334	5209	4683	3299	8536	9587	4218	3566	6491	6174	5964	1313	8023	2864	2363	6325	6056	5310	8230	8768	6421	6802	7351	8637
8894	9261	11968	10514	10212	10760	9940	11257	9409	8495	6622	10857	9586	12101	12789	12308	7085	10307	7737	15122	7502	7585	8005	8880	17121	13853	19522	21489	14701	9731	8712	9028	5719	13242	11642	13323	13887	10187	13173	9492	10551	6473	6171	9452	9329	5996	15053	16394	8143	6806	12090	10776	10416	2834	12539	4452	3379	11298	8289	7717	11812	12324	11727	8889	11153	13692
14180	14462	19935	18068	17154	17611	17210	18973	15839	14308	11612	17476	15533	19130	21913	22174	12447	16850	12747	22346	11063	10935	12667	14102	24546	18434	24546	26037	17873	14732	12882	14033	9096	22950	19612	19985	21629	15797	19849	17920	19157	12434	11541	17190	16985	11353	22271	23170	12762	11100	18661	17145	15895	5569	19810	7572	5552	18580	13618	12685	18303	18567	17501	13151	16149	22176
19876	19148	26478	25989	24385	24960	24346	25887	21134	19286	15999	22356	20084	25231	26830	26829	18070	23291	18000	27314	15033	13982	18011	19349	26439	20340	24379	25312	18051	17899	15380	17036	11029	26438	27024	25005	26213	20170	26248	25887	26939	18736	17819	25952	25138	16951	25658	25791	16479	14262	23489	23254	20457	7852	26067	10792	7897	24256	19499	18624	25674	25469	20581	17835	20127	26417
18117	17331	24333	26145	24110	23907	23534	24275	19363	18818	15231	20203	17621	22722	26388	26829	18098	22304	17610	22066	13571	12326	17641	17583	18171	13770	12044	12966	9808	14563	11959	14428	9408	25848	26860	21353	21843	17243	22624	26427	27025	19650	19161	27331	25962	17725	20241	21143	13960	12783	18638	21044	17771	7743	24691	11005	8109	22898	20010	18203	25824	24639	15633	15417	17012	25751
9897	9042	12304	14577	13031	12878	12142	11885	9421	10033	7437	9426	7933	10859	13074	15236	10325	11931	9849	10592	7199	6264	9922	9783	6520	5023	3961	4136	3020	6881	5406	6860	4336	11275	13445	10504	10572	8740	12304	14587	15372	10766	11040	16002	13795	9973	9056	10178	6788	6164	9152	11798	9278	4144	12388	6026	4575	11806	11769	10504	14966	12806	7078	8695	8753	12474
2160	1935	1633	3049	2350	2238	1932	2015	1813	1457	993	1689	1333	1614	2236	2803	1902	1813	1710	1567	1211	1118	2158	2299	891	898	543	758	461	1546	1142	1064	814	1297	2191	1431	1552	981	1405	1927	2245	1286	1312	2355	1802	1414	2234	2465	1173	1198	1187	2311	1979	540	2776	980	894	1764	2499	2084	2958	2552	1515	1796	1925	2227
