E11B1_2	E11B2a_1	E11B2b_1	E11B2c_1	E11B3_1	E11B4_2	E11H1_3	E11L1_2	E11L2p_2	E11L3_3	E11L5_1	E11L6_3	E11N2_1	E11N4_1	E11N6_1	E11P10_1	E11P11_1	E11P13_1	E11P3_3	E11P7_1	E11P8_3	E11P9_3	E11X2_2
1688	3487	8223	5997	3235	3669	3958	0	1328	792	2656	1538	315	1890	260	7056	6234	5306	713	7962	6250	11516	4816
2212	3997	9729	8003	4151	3405	5345	472	2243	1149	4411	2216	709	3485	733	7461	7570	6196	1137	9880	7543	12902	5550
1849	2963	7751	7574	3385	2764	5493	522	2227	1097	5480	2487	950	5440	1133	5481	5886	4666	956	8058	6650	10134	4087
1116	2427	5387	5936	2162	1289	4613	319	1802	814	5964	2319	700	6380	1080	2849	3685	2631	504	6056	5043	6009	1491
311	1307	2243	3525	707	627	3007	164	1163	441	4835	1550	376	5386	803	1037	1033	1043	114	2318	1995	2076	343
363	1260	2297	2938	705	714	2482	128	922	474	4272	1170	192	4819	626	1309	1108	968	167	1900	1940	2009	484
154	640	1075	1429	287	404	1228	103	542	235	2602	580	98	2497	332	751	523	440	102	930	880	1009	233
0	0	0	0	0	0	256	0	0	79	0	109	0	0	0	0	0	100	0	0	192	242	0
