E11B1_3	E11B2a_3	E11B2b_3	E11B2c_1	E11B3_3	E11B4_3	E11H1_1	E11L1_3	E11L2p_3	E11L2s_3	E11L3_2	E11L5_1	E11L6_1	E11L7_1	E11N2_1	E11N4_1	E11P10_1	E11P11_1	E11P13_3	E11P1_3	E11P2_1	E11P3_2	E11P7_1	E11P8_2	E11P9_1	E11X2_3	E11X3_3	E11X4_1
322	466	591	657	351	920	618	112	280	81	106	671	175	281	179	210	517	585	288	125	106	132	1103	466	835	654	341	149
1600	2164	3053	3234	1808	3771	2899	435	1802	317	389	3915	628	1096	993	589	2574	2878	1766	594	538	482	4470	2656	4332	3495	1840	521
5586	7842	11567	10604	6463	13698	9897	1531	6559	683	1270	13942	2716	3449	2726	1535	8870	9865	6124	1961	1705	1855	15093	9184	14889	12807	6663	1933
10649	14641	22743	20274	12343	26841	18630	2425	12471	883	2185	26486	5339	6014	4375	2203	17036	18411	11564	3417	2945	3517	28542	17167	28321	24590	12830	3501
10496	15096	23289	20570	12162	26984	18707	2226	12951	775	2237	27302	5375	5995	3664	1893	17803	19326	11403	3503	2907	3609	28942	17906	29267	25153	12508	3288
3177	4297	6665	5780	3364	7564	5344	749	3606	325	632	7743	1294	1861	1138	657	5005	5464	3390	1149	932	972	8287	5061	8249	6862	3588	970
393	647	943	834	408	1117	722	102	625	107	128	1167	174	272	138	92	692	660	486	172	160	67	1220	645	964	903	424	113
0	121	185	182	77	208	134	0	257	0	0	270	0	0	0	0	135	110	90	0	0	0	255	122	175	203	76	0
