C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1h_1
0	68	0	135	266	0	0	0	0	0	0	0	0	0	85	0	0	1729	0	0	2382	2578	0	1806	1482
263	496	92	1238	1221	370	305	490	0	0	0	0	0	0	1001	984	267	9264	9037	2945	10996	11840	3691	10853	7461
618	1322	350	404	666	239	545	773	246	225	85	167	148	63	3695	3067	1151	4571	4869	1509	764	774	274	4471	4777
397	383	160	819	942	331	661	782	1442	1252	522	1026	814	428	5049	4069	1626	995	1253	304	329	327	98	5514	694
584	612	265	942	1340	350	248	257	6264	5490	1989	4790	3988	1682	2725	1995	971	1223	1461	364	1093	1330	344	1065	1547
628	807	341	741	1246	359	164	214	12309	11183	3929	9700	8568	3442	1858	1450	658	2536	3031	785	2251	2860	740	1418	3284
371	491	241	601	1106	315	139	137	9659	8917	3288	7801	7531	2878	1391	1074	485	2229	2718	717	2061	2658	651	1171	2533
57	151	60	167	165	73	0	0	1865	1780	717	1581	1738	665	311	210	97	383	405	98	425	508	129	228	338
