C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
0	63	64	0	0	0	0	0	0	0	52	0	0	91	0	0	0	0	0	2141	1553	3443	3987	512	542	434	775	0	2457	2297
0	0	0	88	98	92	0	65	116	0	80	0	0	0	0	203	312	391	13060	15063	11301	14711	17192	2381	5204	4888	6945	1788	3561	3679
205	143	155	382	428	519	359	386	448	56	274	228	0	232	127	1269	1531	1945	4885	5418	4483	1678	1955	291	13380	12531	17065	8599	16467	15883
616	494	701	974	1172	1446	903	1005	1086	739	1380	1234	517	949	780	4486	5513	6419	5066	5412	4445	3206	3920	608	8290	7937	10407	11971	22837	23736
1744	1723	1788	1516	1871	2023	1127	1235	1392	2484	4585	4253	2024	3547	2343	6318	7953	8330	6388	6926	5680	7149	8528	1298	1533	1558	2086	3191	6266	6389
2540	2603	2600	1459	1803	1753	904	948	1205	9049	14855	12431	6931	11036	8087	6812	8405	9693	4357	4536	3552	8034	9676	1450	897	688	1236	2732	5442	5364
2495	2814	2609	1192	1493	1375	685	665	925	15496	25087	21255	11974	18718	13538	5432	6743	8093	4550	4952	4272	6175	7622	1062	1507	1213	1939	4398	8805	8699
1960	2197	1968	917	1020	981	368	376	498	15346	25096	21509	11903	18919	13911	4223	5455	6151	4207	4475	4086	4905	5936	820	1483	1097	1859	4489	8738	8529
920	921	907	423	497	525	190	155	239	9422	15273	13369	7448	11847	8728	1869	2411	3076	2204	2685	2460	2456	2920	438	826	691	1043	2374	4860	4936
572	529	492	317	317	361	111	86	113	4759	8372	7427	3887	6415	4642	1078	1401	1656	1523	1921	1643	1722	1956	269	608	456	647	1518	3470	3133
144	154	143	90	97	98	0	0	58	1072	2265	1994	955	1452	1056	234	423	469	349	485	406	518	562	79	139	142	175	330	890	888
