C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
946	390	210	948	1366	962	3414	296	371	700	238	307	601	295	389	868	866	1021	2089	769	852	1968	1148	989	2395	679	1316	1595
2920	1328	719	2666	2026	1528	4546	643	823	1433	603	752	1295	1060	1401	2437	1497	1736	2953	1361	1475	3029	1866	1815	3649	1180	2201	2426
5299	2675	1806	4382	1703	1256	4582	2142	3745	4076	2019	3147	3908	1547	1787	3261	1412	1580	2718	1267	1491	2844	1342	1233	2611	1242	2699	2550
3919	2032	1355	3922	4074	2034	13569	2117	3020	3841	1880	2440	3678	1470	1225	4030	3983	2987	10717	3892	2832	10611	5517	3173	13873	3300	4095	8669
8252	3788	1036	10740	7000	3428	21108	3524	3001	7873	3010	2075	6841	5424	4166	14119	7849	5715	20332	8096	5671	20584	10690	6427	25605	6355	7789	17460
17343	8511	2974	20729	5577	2901	15932	12793	11624	27237	10639	8181	24162	7711	6231	19187	7206	5108	18969	7764	5296	19789	7505	4449	18443	6843	8373	18618
13131	6736	3385	15043	1890	712	5206	12837	11905	27458	11013	8765	24254	3654	2932	9513	3970	2830	10909	3858	2875	10833	2675	1461	6542	4563	5705	13012
920	570	182	1272	92	0	339	1675	1156	4079	1335	857	3362	154	80	839	158	84	855	160	0	800	153	0	383	192	0	1176
