C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
2047	1505	1069	1838	2385	1445	956	752	493	407	462	58	211	269	0	2539	2701	1164	4819	4007	2367	3330	2690	1827	2554	2264	1437	4233	9428	3682
5051	4203	2627	4767	5303	3243	5126	4426	2471	1031	1158	484	893	995	490	11913	13560	5942	18321	16887	9597	19033	16366	10203	11750	11996	6749	16109	28339	11372
947	787	458	2848	3194	1536	8214	7711	4628	3942	4352	2151	3245	3627	1929	17374	18680	8603	13353	12252	6699	28951	28469	17660	21571	22294	12737	12523	24363	8196
931	868	435	1425	1579	759	7305	6834	4199	14511	17460	8625	12950	13753	7677	9314	9645	4818	11019	10040	5506	10579	9040	5341	9931	9606	5525	6006	12105	3795
1694	1680	910	1798	1990	1125	4083	3711	2436	29307	28835	18087	27003	28977	16366	7295	7154	3618	9868	8706	4736	10107	8111	4593	12740	11616	7366	6908	14337	4836
1804	2060	1004	2118	2334	1434	2468	1919	1355	29640	28615	21348	29458	29752	19797	6219	5990	2971	9508	9012	4757	11014	8862	5002	14880	14391	8833	7528	16144	5669
917	992	563	1106	1098	695	1263	980	623	21655	25744	12612	19259	22041	11438	3177	3141	1412	4901	4624	2587	5747	4199	2823	9817	9317	5354	3518	8560	3008
167	161	117	310	253	211	292	232	143	5648	6064	3146	4395	5538	2705	951	829	430	1426	1295	685	1387	1258	716	2460	2490	1574	925	2057	745
