C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
3124	7391	6080	3047	9471	3607	2558	3503	8263	135	183	422	140	149	280	3645	4580	11622	733	558	1623	2064	1339	5453	2089	938	6642	1389	948	3399
399	452	450	2675	6380	7722	5983	9325	18473	191	242	641	204	187	576	2517	3061	10572	917	684	2556	2416	1115	5787	1552	593	5036	2995	2947	8127
199	309	276	626	867	920	1357	1697	3729	472	596	1393	458	463	1174	1551	2017	4934	7528	7178	15866	11493	9818	26025	19426	12727	22812	15797	10565	27319
428	661	525	467	709	464	1638	2170	3010	1103	1345	3338	996	973	2646	1584	2365	5835	6773	6657	18446	2328	1783	7041	3061	1842	10350	3182	2409	6616
1223	2950	1738	1195	2794	1987	8376	10143	16907	4888	5460	12178	4171	3915	9742	4898	6648	15244	4662	4666	14984	5403	4774	16598	6989	4593	22746	9065	6646	15914
2579	5508	3039	3076	6271	4944	1476	1574	2256	12093	13186	27076	10991	10211	25420	5938	7739	17158	6042	6481	18687	8797	8108	25912	9833	6871	23107	13662	9848	25543
3899	8977	5245	6034	11380	9723	2042	2488	3316	24446	27047	27236	22333	21109	27549	9736	11841	25514	7224	6839	19172	9289	8609	25960	5107	3333	15296	15472	10907	27390
2470	3880	2759	3456	6569	6061	397	684	964	9650	10653	24564	9635	8499	21815	2711	2782	6689	1556	1461	4748	2795	1851	6253	1586	769	4699	4988	3057	10205
1324	1246	839	2899	4860	4839	375	551	858	5782	6406	15270	5910	5264	12945	1177	1378	3021	1535	1063	3979	1893	1054	4080	1248	509	3517	2900	1963	5373
254	316	356	366	499	735	128	186	212	1121	1437	3490	1327	1116	3102	457	386	1265	446	323	1204	546	324	1106	399	134	1035	798	642	1743
