C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_2	C92P1h_3
2035	2112	5659	3545	2608	6946	1363	944	2434	52	76	200	0	0	91	4019	2433	5227	80	89	157	741	553	1106	240	144	329	411	828
5713	6559	15520	7027	5443	15809	5563	4921	11956	338	380	936	191	221	670	11823	8634	16497	556	545	1295	3356	3056	5934	1381	991	2317	2278	4834
2721	2989	8064	2629	2252	7134	7336	7042	16495	1329	1344	3708	849	910	2400	6423	5226	9680	2142	2128	5017	5659	5882	10248	5000	3976	7973	8486	17438
2385	2621	7973	2686	2007	7947	3334	3719	8175	4663	4831	11567	3024	3454	8103	4501	3652	6617	4220	4431	9247	3924	4060	6637	7421	6075	11273	12892	26479
1369	1748	4531	2511	1703	7944	3121	3362	8135	8804	9281	21423	5712	6424	14625	2722	2011	3496	5423	5707	11134	3698	3480	5827	4480	3346	6351	8936	18109
557	1217	2892	1273	928	3589	1685	1716	3537	8531	8446	20679	5392	5551	13035	1421	944	1461	2966	2801	5180	2694	2388	3773	2993	1994	3419	3872	8564
284	433	962	493	453	1590	616	574	1377	4769	4185	11333	2780	2734	6542	586	447	580	1487	1101	2025	1425	1141	1817	1396	911	1452	1559	3311
288	272	605	335	320	934	278	323	529	2758	2386	6725	1578	1501	3906	398	279	353	1025	1055	1772	903	788	1325	657	348	660	983	2478
78	109	169	92	57	272	52	64	149	693	742	2041	367	468	1139	114	86	106	471	465	862	309	252	418	196	84	138	268	693
