E3B1_1	E3B1_2	E3B1_3	E3L1_1	E3L1_2	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P1a_1	E3P1a_2	E3P1a_3	E3P3a_1	E3P3a_2	E3P3a_3	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3
1078	816	481	77	125	568	309	156	817	614	397	670	562	351	109	87	0	126	115	74	1452	1711	1034	1009	1127	835	755	924	503	643	761	629	731	778	494
2267	1733	1195	387	426	1174	808	415	1995	1706	1183	1697	1510	982	756	523	230	768	753	584	3658	3621	2739	2459	2875	1960	2141	2265	1367	2159	2100	1879	2157	1896	1367
4089	3747	2203	1438	1225	2371	1659	824	4107	3699	2630	3362	2977	1981	2358	1869	733	3075	2777	1817	7081	7163	5239	4927	5955	3414	4281	4579	2498	5335	4994	4104	4051	3736	2856
7109	7189	4189	2989	2940	5606	4291	2065	9382	8815	6020	7162	6617	4247	6281	5271	2200	8222	7315	5195	11179	10788	8512	10459	11079	6542	8102	9395	5241	9462	9424	6906	8078	7848	5467
8496	9303	5373	4476	4292	7928	6268	3000	12933	12002	7873	10078	9293	5895	8870	8555	3345	12717	11395	7707	12731	12265	10035	14403	13903	8503	10029	12519	7234	10420	10019	7651	11301	10502	7527
5416	6278	3137	3448	3326	5859	4758	2215	8968	7629	5109	7540	6723	3931	6646	6849	2898	10527	8972	5717	8305	7562	6146	10140	9688	5827	7013	8367	5047	4904	4561	3804	6904	6658	4662
1845	1403	886	1798	2261	2627	1991	856	3074	2668	2021	2646	2182	1531	3942	3500	1587	5881	5105	3404	2618	1684	2069	3710	3510	2100	2942	3225	1946	1990	1740	1517	2563	2332	1682
597	422	367	870	1297	1310	941	434	1215	1073	856	962	774	593	2882	2255	1164	3906	3289	2503	814	456	738	1432	1182	884	1143	1106	661	1021	672	684	1101	759	577
230	140	164	414	617	578	477	213	418	343	413	403	245	224	1586	1477	755	2290	2079	1462	350	64	285	534	382	302	451	351	275	455	203	299	398	278	198
