E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3P1a_1	E3P1a_2	E3P1a_3	E3P3a_1	E3P3a_2	E3P3a_3	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3
328	268	78	411	206	137	643	570	407	395	364	237	163	204	68	154	142	307	319	215	382	456	316	238	298	204	324	255	233	461	325	247
414	424	138	828	445	248	1268	1170	782	727	717	400	370	393	124	238	258	625	652	464	748	951	615	526	597	404	594	506	434	921	676	475
563	625	197	1653	1028	479	2483	2318	1445	1580	1463	750	650	803	238	400	385	1262	1308	870	1639	1973	1205	995	1217	815	1131	996	790	1744	1485	936
683	762	233	2456	1539	776	3578	3356	2134	2207	2055	1071	1074	1281	422	616	584	1911	2013	1343	2525	3038	1869	1527	1914	1313	1620	1526	1147	2523	2327	1380
680	773	243	2794	1682	885	3859	3695	2317	2303	2225	1097	1323	1547	552	755	719	2138	2443	1602	2945	3418	2206	1729	2223	1454	1801	1675	1304	2839	2655	1536
488	566	197	2312	1390	757	2983	2781	1763	1700	1594	836	1232	1444	466	701	625	1893	2146	1397	2532	2937	1938	1458	1833	1252	1464	1377	1087	2348	2300	1314
227	240	98	1130	735	441	1351	1241	802	734	613	356	818	912	322	465	409	1136	1317	823	1465	1585	1107	820	1056	689	806	721	579	1295	1300	736
115	93	47	384	246	189	481	423	292	232	194	111	405	355	142	225	155	413	408	293	508	528	346	304	329	195	288	250	196	430	452	246
