E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P1a_1	E3P1a_2	E3P1a_3	E3P3a_1	E3P3a_2	E3P3a_3	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3
151	165	185	104	83	106	173	191	171	164	103	137	137	184	102	66	179	149	220	111	300	254	157	305	69	108	219	138	0	158	162	106	164
575	687	762	661	599	597	1250	1123	985	840	521	692	630	1016	595	323	756	665	822	531	1362	1215	714	1350	417	538	1009	643	205	795	1092	656	985
1374	1927	1686	2125	2151	1889	4241	4299	3268	2402	2105	2386	1810	3458	1689	1165	2638	2267	2543	1771	3800	3571	2394	4304	1589	1573	3070	2236	816	2737	3427	2151	3201
2566	3209	3644	5227	5419	4958	9826	9862	8350	5537	5072	5949	4491	7665	4583	3029	6170	5592	5177	4144	7678	6027	4223	7112	3943	3813	6899	4738	2328	5648	7282	5062	7226
3102	3754	4977	7916	8054	7664	14740	14643	12665	8452	7461	9220	6876	11169	7282	5009	9176	8652	7847	6292	10537	7240	5149	8174	6306	5910	9904	6698	3851	7808	10714	7519	10541
2569	2737	3406	7657	7855	7213	13598	13272	11714	7824	7020	9136	6514	10117	7216	5129	8570	8377	7375	5763	9221	5056	3593	5521	6028	5574	9050	5803	3719	6841	10033	7126	9782
1628	1218	1611	4201	4262	3943	6934	6603	6153	4235	3633	5167	3660	5694	4263	2881	4413	4925	3952	2969	4150	1978	1239	1832	3208	3022	4408	2644	2019	3472	5208	3507	4696
500	358	593	1057	1084	939	1666	1549	1583	1045	791	1266	1011	1357	1098	768	889	1183	906	680	1058	483	287	429	876	847	1016	709	472	790	1315	770	1111
