C6L2_1	C6L2_2	C6L2_3	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
295	257	84	63	111	0	1133	1004	748	199	109	71	89	116	154	0	0	0	0	0	0	284	244	238	319	295	465	153	91	118	1594	1407	1559
4219	3573	2634	1316	1602	921	5918	7046	4987	1166	1481	974	915	992	1934	87	0	0	0	66	51	4563	5705	5380	6143	8299	9923	2196	2000	2247	6538	6414	6836
15870	15284	14154	6258	7998	5869	7079	6838	6223	4670	6996	5141	4388	6952	9940	774	663	721	731	717	1108	20679	23469	23747	23381	25795	28428	10633	9697	9985	8619	9213	9383
10511	9825	9990	3738	4061	4173	7987	9317	8781	7579	10054	6445	7046	11977	13087	4911	4586	4582	4647	5165	5761	20515	23414	23645	10896	11849	11239	14529	13444	10808	9470	9224	9045
5814	6233	6265	3082	4679	4121	7221	7382	9332	6014	6010	5693	4571	5187	6392	16208	16333	15037	16082	17077	19313	9196	9286	10290	6066	4140	3879	6201	7548	6438	9825	9727	9498
7420	7955	8373	3988	5728	5076	9536	9338	11884	7355	7644	6979	5325	6296	5883	24662	25082	23542	24300	26418	28690	10467	10254	12132	5612	4453	3214	5190	8364	5875	13190	13539	13502
3057	3397	3168	1146	1497	1093	3480	2863	3895	2060	1830	2277	1365	1878	1924	9665	10166	9141	10876	12986	14793	3827	4098	5453	1961	1907	1769	1788	2353	2321	3927	4444	4290
1699	1831	1947	643	1267	437	1612	883	1263	1642	645	486	663	894	1004	3841	4061	4211	5089	5832	7761	1767	2171	3051	820	1028	933	726	942	1047	1363	1744	1726
