C6L2_1	C6L2_3	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
2796	3436	497	504	462	1201	557	1048	445	466	865	1632	868	1267	451	320	793	592	965	3252	0	4789	917	1133	1927	1016	1656	1133	616	0	1401
1900	2661	754	944	648	1435	1221	2504	856	965	1744	1826	1810	1292	1158	972	1413	873	1224	1051	1435	1461	980	1534	1690	572	893	826	1398	2331	2987
3359	4843	1459	1323	1322	2417	2434	5161	1543	1684	2943	1271	1464	952	2750	2273	2868	2104	3384	1592	1968	2148	1979	3021	3210	1220	1746	1834	3130	5519	6958
4390	7191	1832	1833	1994	2697	3435	6028	2232	2533	4613	2084	2487	1673	5626	4742	5457	5336	8747	2844	3595	4367	2624	4402	4514	2027	2966	2856	4759	8559	10068
4644	7625	1718	1968	2109	2621	3896	6194	2780	3362	6154	2635	3116	2531	8229	6370	7838	8167	12394	4364	5728	6825	2811	5188	5965	2400	3518	3490	5676	10247	11096
3888	6700	1407	2119	1948	2272	3576	5525	1646	1830	3514	2465	3028	1895	6972	5943	6703	8453	12123	3208	3874	5289	2245	3759	4001	2146	3525	3404	5030	9461	9823
2026	3130	609	746	946	1128	1993	2709	814	1058	2019	1349	1607	986	4341	3666	4001	5110	7037	2154	2625	3817	1236	2328	2166	1191	2024	1900	3217	5541	5514
987	1211	361	422	295	671	909	1546	603	741	1251	712	768	439	2319	1741	1815	2103	3085	1470	1855	2665	891	1536	1331	630	958	850	1327	2182	2537
