C6L2_1	C6L2_2	C6L2_3	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
1400	796	2076	219	298	344	397	366	973	263	421	719	818	520	1118	705	0	604	0	415	784	1169	716	2010	579	271	938	519	374	1029	539	721	1717
1619	795	2229	567	712	1036	1018	1063	2899	1192	1785	3042	3638	2275	5176	1131	656	1400	604	605	1548	3724	2524	6502	2207	1166	3762	1321	1284	3276	1474	1543	4566
3044	1437	4094	1032	712	1931	2253	2147	6795	686	722	1442	1692	989	2320	2511	1730	4034	1501	1590	3988	2219	1107	3761	1393	711	2905	2230	2253	5734	3216	3630	9234
5394	2910	7323	1274	1772	2589	2913	2984	8694	3277	4391	7444	10497	6666	14070	3620	3149	7664	2432	2482	7483	13130	8351	22707	6385	3201	10848	3700	3581	9200	4289	5039	13773
7420	3937	10368	3263	2663	5795	8126	7638	20891	2167	2888	5320	6803	4029	8110	6650	5535	13247	4953	4400	14571	11492	7719	20781	6057	2659	10545	8187	7595	19559	14214	16709	23237
8000	4850	11988	3185	2693	5042	6832	6342	17410	1907	2760	6081	5639	3758	7234	17317	14497	24363	12890	11524	24908	13331	10160	24805	4979	2528	9915	7684	5890	15235	12541	14817	23485
4597	2742	6139	1612	1239	2635	3132	2816	7472	935	1523	3559	3539	2304	4248	12406	10300	23536	9447	8328	23486	6393	4490	11502	2217	1095	3782	3513	2120	5782	6549	7065	17840
3019	1543	3350	985	942	1604	1798	1723	3994	598	954	2298	2257	1782	2796	9496	7123	16982	7075	6294	16401	2780	1863	4979	961	401	1088	1860	1169	3426	4436	4449	11260
1007	417	1039	387	265	491	734	592	1185	185	324	676	886	565	820	3039	2107	4886	2269	1745	4664	1163	665	1946	282	129	394	609	476	1278	1577	1425	4023
