E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2a_3	E3A2b_1	E3A2b_2	E3A2b_3	E3A2c_1	E3A2c_2	E3A2c_3	E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P1a_1	E3P1a_2	E3P1a_3	E3P20c_1	E3P20c_2	E3P3a_1	E3P3a_2	E3P3a_3	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3	E3P7b_1	E3P7b_2	E3P7b_3	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2	E3P9b_3
1664	1080	776	2626	3031	2319	2225	2543	2452	1414	1381	1334	328	268	78	411	206	137	643	570	407	395	364	237	163	204	68	154	142	178	240	186	172	188	158	55	0	0	76	65	38	123	124	95	265	241	166	196	140	89	226	248	252	599	461	591	307	319	215	111	73	382	456	316	238	298	204	324	255	233	461	325	247	167	244	122	92	157	97	112	56	156
3523	2232	1555	6002	6714	4550	4999	5678	4937	2963	2761	2659	414	424	138	828	445	248	1268	1170	782	727	717	400	370	393	124	238	258	360	541	379	357	366	343	81	71	77	151	122	93	234	266	178	528	466	342	352	311	180	563	543	520	1282	997	1166	625	652	464	153	119	748	951	615	526	597	404	594	506	434	921	676	475	330	455	235	227	345	208	238	121	229
6623	4376	3015	11116	12577	8014	9024	10626	8863	6090	5430	4830	563	625	197	1653	1028	479	2483	2318	1445	1580	1463	750	650	803	238	400	385	732	1017	792	593	764	649	135	134	126	229	282	169	422	499	344	1046	996	706	664	671	384	1217	1126	955	2613	2121	2272	1262	1308	870	246	263	1639	1973	1205	995	1217	815	1131	996	790	1744	1485	936	579	791	453	439	610	433	506	284	364
9331	6411	4634	14514	16243	10197	11264	13214	11843	9133	8324	6966	683	762	233	2456	1539	776	3578	3356	2134	2207	2055	1071	1074	1281	422	616	584	1044	1501	1162	948	1258	1052	229	258	226	366	441	268	726	797	533	1647	1540	1108	1010	1048	631	1862	1785	1474	4055	3436	3642	1911	2013	1343	342	447	2525	3038	1869	1527	1914	1313	1620	1526	1147	2523	2327	1380	812	1095	613	717	985	651	782	432	617
10158	7000	5066	13514	15440	9688	10638	12274	11179	9820	9186	7839	680	773	243	2794	1682	885	3859	3695	2317	2303	2225	1097	1323	1547	552	755	719	1139	1757	1314	1172	1512	1258	310	347	274	486	526	301	846	957	610	1999	1881	1284	1150	1202	724	2040	2054	1635	4689	3989	4249	2138	2443	1602	393	527	2945	3418	2206	1729	2223	1454	1801	1675	1304	2839	2655	1536	907	1204	648	869	1228	788	963	514	813
8635	5816	4345	9383	10445	6599	7196	8016	7494	8475	7642	6542	488	566	197	2312	1390	757	2983	2781	1763	1700	1594	836	1232	1444	466	701	625	950	1495	1098	1090	1406	1203	290	328	293	438	468	246	812	845	505	1770	1599	1097	1015	1045	639	1753	1733	1461	4136	3582	3763	1893	2146	1397	334	444	2532	2937	1938	1458	1833	1252	1464	1377	1087	2348	2300	1314	866	1005	533	777	1164	702	969	518	839
5514	3464	2561	3848	4299	2693	2884	3220	3060	5161	4562	3838	227	240	98	1130	735	441	1351	1241	802	734	613	356	818	912	322	465	409	549	831	667	782	941	807	190	213	180	316	283	163	505	519	264	1112	954	633	645	575	328	941	972	843	2470	2133	2250	1136	1317	823	167	253	1465	1585	1107	820	1056	689	806	721	579	1295	1300	736	593	622	328	506	774	457	709	369	640
2499	1478	980	1417	1579	1014	1067	1113	1350	2220	2089	1899	115	93	47	384	246	189	481	423	292	232	194	111	405	355	142	225	155	236	359	243	346	384	323	86	88	83	126	98	76	177	155	132	468	375	211	256	214	133	357	330	295	881	740	870	413	408	293	57	83	508	528	346	304	329	195	288	250	196	430	452	246	297	287	157	293	337	192	377	199	308
