E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2a_3	E3A2b_1	E3A2b_2	E3A2b_3	E3A2c_1	E3A2c_2	E3A2c_3	E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P12b_1	E3P12b_2	E3P12b_3	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P1a_1	E3P1a_2	E3P1a_3	E3P20c_1	E3P20c_2	E3P20c_3	E3P3a_1	E3P3a_2	E3P3a_3	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3	E3P7b_1	E3P7b_2	E3P7b_3	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2	E3P9b_3
562	457	403	658	600	896	714	783	800	318	348	367	151	165	185	104	83	106	173	191	171	164	103	137	137	184	102	66	179	149	228	300	294	415	227	80	50	90	60	234	234	209	186	190	423	369	270	255	250	128	209	471	305	539	241	276	212	174	283	385	220	111	300	338	94	55	254	157	305	69	108	219	138	0	158	162	106	164	193	135	343	815	435	987	317	98	479
2773	2525	2253	3138	3069	3904	3426	3622	4019	1845	1785	2018	575	687	762	661	599	597	1250	1123	985	840	521	692	630	1016	595	323	756	665	1027	1286	1083	1959	961	425	211	383	225	834	923	932	758	739	1694	1347	1155	1081	1045	786	969	1695	1399	2008	1166	1133	940	1221	1538	1844	822	531	1362	958	531	349	1215	714	1350	417	538	1009	643	205	795	1092	656	985	698	622	1503	2605	1632	3003	1422	555	1902
9343	8841	7588	10865	11206	12911	11679	13326	12645	6417	6367	6476	1374	1927	1686	2125	2151	1889	4241	4299	3268	2402	2105	2386	1810	3458	1689	1165	2638	2267	3069	3652	3051	5705	2818	1246	635	1039	617	2409	2504	2370	2132	2769	4578	3865	3206	3391	2626	2624	3301	3728	3354	4683	3133	3460	2314	4263	4621	5593	2543	1771	3800	2212	1375	989	3571	2394	4304	1589	1573	3070	2236	816	2737	3427	2151	3201	1806	1948	4822	7271	4215	7902	3948	1873	5471
16855	17006	15440	18501	18907	22091	18074	21192	20780	12314	13318	13264	2566	3209	3644	5227	5419	4958	9826	9862	8350	5537	5072	5949	4491	7665	4583	3029	6170	5592	4643	5353	4725	9343	5476	2779	1082	1667	1017	4580	4496	4399	3768	4640	7539	6892	5590	5783	5142	4824	5986	5252	4696	5642	5417	6596	4483	7884	8398	10831	5177	4144	7678	3135	2658	1718	6027	4223	7112	3943	3813	6899	4738	2328	5648	7282	5062	7226	3568	3899	8546	9391	5752	10784	6830	3241	10057
20685	21296	18878	21462	21971	26031	19649	22625	21849	15820	17424	17116	3102	3754	4977	7916	8054	7664	14740	14643	12665	8452	7461	9220	6876	11169	7282	5009	9176	8652	4952	5518	4731	10609	7063	3582	1275	1874	1307	5590	5712	5418	4651	5276	8477	8565	6575	6967	6815	5966	7243	5369	4975	5019	7146	8450	6134	9761	10299	13353	7847	6292	10537	3551	3069	2163	7240	5149	8174	6306	5910	9904	6698	3851	7808	10714	7519	10541	5183	5030	10307	8708	5314	9492	8259	4094	11970
15049	15559	13813	13263	13523	15628	10276	11667	10938	11963	13535	12547	2569	2737	3406	7657	7855	7213	13598	13272	11714	7824	7020	9136	6514	10117	7216	5129	8570	8377	2345	1855	1910	6727	4648	2531	908	1148	853	3873	3846	3906	2850	3255	4878	5367	4251	4447	5890	4586	5868	4896	4174	4300	5319	6030	4624	6682	6471	9284	7375	5763	9221	2326	2337	1354	5056	3593	5521	6028	5574	9050	5803	3719	6841	10033	7126	9782	4217	3710	7612	5376	2918	4895	5339	2786	7440
5839	5851	5084	3710	4159	4613	2613	2547	2428	4913	5600	4984	1628	1218	1611	4201	4262	3943	6934	6603	6153	4235	3633	5167	3660	5694	4263	2881	4413	4925	805	493	417	2108	1560	1014	418	288	260	2003	1987	2260	680	787	1465	2997	2672	2325	3552	2256	2853	3468	2426	2709	2978	3668	2472	3636	3523	5414	3952	2969	4150	1372	1515	666	1978	1239	1832	3208	3022	4408	2644	2019	3472	5208	3507	4696	1794	1401	3143	1429	797	1168	1582	905	2471
1385	1370	1333	889	887	1054	540	473	474	1190	1348	1321	500	358	593	1057	1084	939	1666	1549	1583	1045	791	1266	1011	1357	1098	768	889	1183	225	116	123	513	375	168	155	43	104	621	596	683	106	171	309	801	669	673	916	582	852	1852	1185	1382	861	829	884	1079	1010	1703	906	680	1058	416	415	185	483	287	429	876	847	1016	709	472	790	1315	770	1111	527	384	955	328	142	260	458	264	676
