E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2a_3	E3A2b_1	E3A2b_2	E3A2b_3	E3A2c_1	E3A2c_2	E3A2c_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P12b_1	E3P12b_2	E3P12b_3	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P7b_1	E3P7b_2	E3P7b_3	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2	E3P9b_3
562	457	403	658	600	896	714	783	800	318	348	367	137	184	102	66	179	149	228	300	294	415	227	80	50	90	60	234	234	209	186	190	423	193	135	343	815	435	987	317	98	479
2773	2525	2253	3138	3069	3904	3426	3622	4019	1845	1785	2018	630	1016	595	323	756	665	1027	1286	1083	1959	961	425	211	383	225	834	923	932	758	739	1694	698	622	1503	2605	1632	3003	1422	555	1902
9343	8841	7588	10865	11206	12911	11679	13326	12645	6417	6367	6476	1810	3458	1689	1165	2638	2267	3069	3652	3051	5705	2818	1246	635	1039	617	2409	2504	2370	2132	2769	4578	1806	1948	4822	7271	4215	7902	3948	1873	5471
16855	17006	15440	18501	18907	22091	18074	21192	20780	12314	13318	13264	4491	7665	4583	3029	6170	5592	4643	5353	4725	9343	5476	2779	1082	1667	1017	4580	4496	4399	3768	4640	7539	3568	3899	8546	9391	5752	10784	6830	3241	10057
20685	21296	18878	21462	21971	26031	19649	22625	21849	15820	17424	17116	6876	11169	7282	5009	9176	8652	4952	5518	4731	10609	7063	3582	1275	1874	1307	5590	5712	5418	4651	5276	8477	5183	5030	10307	8708	5314	9492	8259	4094	11970
15049	15559	13813	13263	13523	15628	10276	11667	10938	11963	13535	12547	6514	10117	7216	5129	8570	8377	2345	1855	1910	6727	4648	2531	908	1148	853	3873	3846	3906	2850	3255	4878	4217	3710	7612	5376	2918	4895	5339	2786	7440
5839	5851	5084	3710	4159	4613	2613	2547	2428	4913	5600	4984	3660	5694	4263	2881	4413	4925	805	493	417	2108	1560	1014	418	288	260	2003	1987	2260	680	787	1465	1794	1401	3143	1429	797	1168	1582	905	2471
1385	1370	1333	889	887	1054	540	473	474	1190	1348	1321	1011	1357	1098	768	889	1183	225	116	123	513	375	168	155	43	104	621	596	683	106	171	309	527	384	955	328	142	260	458	264	676
