E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2a_3	E3A2b_1	E3A2b_2	E3A2b_3	E3A2c_1	E3A2c_2	E3A2c_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P12b_1	E3P12b_2	E3P12b_3	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P7b_1	E3P7b_2	E3P7b_3	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2	E3P9b_3
344	318	241	500	502	555	790	704	540	356	281	265	109	87	0	126	115	74	688	406	395	466	291	222	177	160	223	256	176	139	551	365	395	364	253	119	1103	905	680	308	431	538
1402	1202	1016	1826	1403	1669	2637	2183	1714	1369	1142	1260	756	523	230	768	753	584	1989	1219	1183	1232	999	864	740	473	640	718	582	426	1189	767	814	1084	880	563	2327	2090	1500	789	1218	1463
3422	2997	2762	3895	3391	3936	5620	4868	3564	4035	3543	3310	2358	1869	733	3075	2777	1817	3707	2284	2341	2442	2335	2051	2176	1023	1425	1539	1364	970	1929	1097	1071	2561	2137	1440	3131	3232	2136	1786	2805	2699
9122	7607	6621	8816	7728	8053	10927	9813	7468	9574	8685	8944	6281	5271	2200	8222	7315	5195	7381	4179	4779	5669	5357	4599	3821	2839	3275	3887	3419	2293	4560	2548	1953	5969	5545	3595	5432	4999	3464	4447	6754	5579
15434	13441	11564	14565	13627	13892	18129	17101	13968	16738	15478	15550	8870	8555	3345	12717	11395	7707	10084	6180	7916	9445	8357	7165	4700	4708	4567	7668	6603	4595	7418	4703	2777	8782	8183	5262	7534	7476	4974	7282	10348	8771
14764	13363	11505	15764	14888	14614	20052	19291	16379	16261	14927	14162	6646	6849	2898	10527	8972	5717	9705	6983	8272	9040	7515	6801	4963	4747	3854	9561	7412	5540	5549	4195	2613	8016	7207	4094	7862	7943	4800	7495	9851	8586
10598	9328	8289	12180	11631	11580	16581	16002	14717	10650	9954	9897	3942	3500	1587	5881	5105	3404	6599	5567	7189	6997	5513	5226	4737	3379	2846	9220	6337	4943	4369	3612	2330	5588	4743	2727	7029	7237	4001	6352	7313	6557
6964	5759	5417	7316	6953	7134	9442	8694	9147	6725	6374	6518	2882	2255	1164	3906	3289	2503	3568	3083	4248	4233	2953	3194	3721	1687	1606	5338	3139	2832	2512	1887	1380	3539	2980	1745	4118	4281	2473	4124	4165	3861
3201	2762	2787	2284	2759	2429	2385	2189	2472	3442	3191	2928	1586	1477	755	2290	2079	1462	979	942	1217	1878	1247	1143	854	605	643	1703	973	715	777	544	408	1661	1487	877	1455	1442	695	1654	1562	1502
