Sample_ID	Real_Sample_ID
C90L1	LN1
C90L2	LN2
C90L3	LN3
C90L4	LN4
C90L5	LN5
C90M1a	Liv1a
C90M1b	Liv1b
C90M1c	Liv1c
C90N1	Normal1
C90N2	Normal2
C90N3	Normal3
C90N4	Normal4
C90P1b	PT1
C90P1c	PT2
C90P1d	PT3
C90P1e	PT4
C90P1f	PT5
C90P1g	PT6
C90P1h	PT9
C90P1j	PT7
C90P1k	PT8
C90Ad1	Ad1
C90Ad2a	Ad2a
C90Ad2b	Ad2b
