C100M1a_1	C100M1a_2	C100M1a_3	C100M1b_1	C100M1b_2	C100M1b_3	C100M1c_1	C100M1c_2	C100M1c_3	C100M2a_1	C100M2a_2	C100M2a_3	C100M3a_1	C100M3a_2	C100M3a_3	C100M3b_1	C100M3b_2	C100M3b_3	C100M3c_1	C100M3c_2	C100M3c_3	C100M3d_1	C100M3d_2	C100M3d_3	C100L1_1	C100L1_2	C100L1_3	C100L2_1	C100L2_2	C100L2_3	C100L3_1	C100L3_2	C100L3_3	C100L4_1	C100L4_2	C100L4_3	C100N1_1	C100N1_2	C100N1_3	C100N2_1	C100N2_2	C100N2_3	C100N3_1	C100N3_2	C100N3_3	C100P1b_1	C100P1b_2	C100P1b_3	C100P1c_1	C100P1c_2	C100P1c_3	C100P1d_1	C100P1d_2	C100P1d_3	C100P1g_1	C100P1g_2	C100P1g_3
218	175	614	274	675	1376	114	488	917	819	547	2018	531	1056	2304	1654	864	2236	1436	1139	2284	559	919	1878	394	235	967	656	446	1369	364	434	899	284	120	647	256	586	2076	1584	1076	2888	2095	1018	2489	522	684	1653	797	791	2067	827	0	1882	897	527	1627
1771	2953	5573	2038	6121	11281	1273	4938	10814	6353	5501	17592	4261	9096	19384	8636	8081	18343	10258	7850	17103	4952	7975	15682	4459	2607	9529	5775	4585	12410	3141	4274	8591	1597	1876	4663	2388	5061	14691	10879	7775	18834	12551	7571	17852	5128	7277	16685	7303	8444	16474	7870	0	17198	5996	6092	13382
3765	5135	11033	4411	12626	23061	2763	9592	21371	12717	10534	26148	8333	17116	28082	15533	15652	28433	19080	14749	28819	9729	15233	28337	7921	5249	18135	10658	8702	21447	6590	8339	15402	2975	3608	8691	4106	8481	23471	18400	13141	28861	20861	12865	28612	9613	13291	28011	12731	15304	28065	14555	10553	28317	10685	11195	24153
1833	2386	6669	1347	3929	7737	1246	4711	10833	4183	3048	10687	3446	7282	14709	5945	6367	14133	7733	5180	12532	3149	4615	9940	1940	1303	4432	3276	2701	7618	2848	3237	7553	721	1139	2350	660	1164	4424	3047	1763	5487	3109	1892	4924	2553	3158	8628	3566	4238	8769	4384	0	9882	5321	4691	11986
2636	3143	9438	2206	6351	11834	1593	6895	14393	5636	4070	14254	2691	5756	12151	4588	5267	11532	6385	4266	10094	2681	3965	8633	2281	1739	5842	4311	3541	10309	3805	4285	9804	500	970	1592	754	1093	4895	3040	1828	5663	2997	2078	5080	3002	3769	9777	4231	4525	8938	4348	0	9827	7720	6622	16147
2225	2649	7833	2499	6731	12533	1421	5908	11557	5586	4145	14179	516	1158	2354	927	1137	2503	1655	787	2307	1298	1704	3865	2456	1964	6123	4291	3526	9829	3398	3826	7872	184	317	351	1378	2137	8009	5585	3710	10178	5702	3997	9600	2892	3707	9333	3897	4310	8454	3334	0	7542	6984	5945	14353
221	235	876	1163	2703	5307	255	729	1760	2420	2042	6263	461	975	2179	879	953	2394	1653	877	2202	1385	2026	4331	1171	858	3231	1840	1290	4314	1049	987	1668	167	305	317	1590	2490	8686	6684	4760	12260	7001	5091	11701	1225	1266	4081	1851	2276	3976	2182	0	4986	1456	1005	3289
50	116	275	411	938	2637	146	312	558	1494	1259	3842	454	665	1378	742	594	2380	1095	573	1554	1004	1270	2719	825	479	2103	1273	843	2703	561	630	664	118	236	192	986	1636	5585	4507	3077	8197	4801	3234	7548	721	932	3310	1168	1417	2605	1251	0	2855	946	589	1800
